miRNA,SRR17067428
hsa-miR-10a-5p,1638
hsa-miR-191-5p,1008
hsa-miR-199a-5p,627
hsa-miR-26a-5p,466
hsa-miR-199a-3p,358
hsa-miR-7704,221
hsa-miR-3195,296
hsa-miR-92a-3p,198
hsa-miR-99a-5p,228
hsa-miR-99b-5p,222
hsa-let-7a-5p,135
hsa-miR-182-5p,165
hsa-miR-423-5p,115
hsa-miR-361-5p,95
hsa-let-7b-5p,97
hsa-miR-27b-3p,90
hsa-miR-151a-5p,93
hsa-miR-125a-5p,160
hsa-miR-183-5p,110
hsa-miR-4516,160
hsa-miR-378a-3p,64
hsa-miR-615-3p,100
hsa-miR-146b-5p,67
hsa-miR-186-5p,104
hsa-miR-25-3p,56
hsa-miR-320a-3p,77
hsa-miR-320a-5p,41
hsa-miR-4497,59
hsa-miR-4488,71
hsa-let-7g-5p,37
hsa-let-7c-5p,38
hsa-let-7f-5p,41
hsa-miR-30d-5p,46
hsa-miR-151a-3p,57
hsa-miR-92b-3p,57
hsa-miR-3960,33
hsa-miR-9901,116
hsa-miR-100-5p,61
hsa-miR-30c-5p,28
hsa-miR-10396a-3p,41
hsa-miR-769-5p,22
hsa-miR-423-3p,23
hsa-miR-128-3p,36
hsa-miR-10401-3p,120
hsa-miR-21-5p,47
hsa-miR-3665,18
hsa-miR-484,24
hsa-miR-200b-3p,28
hsa-miR-125b-5p,36
hsa-miR-320b,15
hsa-miR-26b-5p,18
hsa-miR-4485-3p,64
hsa-miR-148a-3p,19
hsa-miR-365b-3p,11
hsa-miR-12136,35
hsa-miR-30e-5p,11
hsa-miR-345-5p,14
hsa-miR-4508,49
hsa-miR-7110-3p,20
hsa-miR-1180-3p,12
hsa-let-7i-5p,14
hsa-miR-27a-3p,13
hsa-miR-185-5p,14
hsa-miR-375-3p,9
hsa-miR-10396b-3p,29
hsa-miR-214-3p,24
hsa-miR-200c-3p,8
hsa-miR-874-3p,16
hsa-miR-30b-5p,7
hsa-miR-28-3p,15
hsa-miR-146a-5p,11
hsa-miR-222-3p,11
hsa-miR-486-5p,6
hsa-miR-363-3p,15
hsa-miR-10401-5p,19
hsa-let-7e-5p,8
hsa-miR-22-3p,10
hsa-miR-23a-3p,12
hsa-let-7d-3p,9
hsa-miR-450a-5p,6
hsa-mir-3960-3p,6
hsa-miR-532-5p,9
hsa-miR-1271-5p,9
hsa-miR-29a-3p,12
hsa-miR-505-3p,12
hsa-miR-200b-5p,5
hsa-miR-200a-3p,7
hsa-miR-941,9
hsa-mir-12136-5p,31
hsa-miR-500a-3p,8
hsa-miR-130b-5p,9
hsa-miR-221-3p,8
hsa-miR-192-5p,5
hsa-miR-342-3p,5
hsa-miR-96-5p,11
hsa-mir-3159-5p,6
hsa-mir-3648-1-5p,39
hsa-mir-8086-5p,5
hsa-miR-197-3p,5
hsa-miR-501-3p,5
hsa-miR-1307-3p,9
hsa-miR-106b-3p,7
hsa-miR-16-5p,8
hsa-miR-339-5p,7
hsa-miR-328-3p,6
hsa-miR-671-3p,3
hsa-miR-93-5p,4
hsa-miR-10b-5p,3
hsa-mir-3648-2-5p,32
hsa-miR-1301-3p,8
hsa-miR-4449,11
hsa-miR-3648,24
hsa-miR-224-5p,3
hsa-miR-212-5p,3
hsa-miR-4466,6
hsa-miR-140-3p,5
hsa-miR-576-5p,3
hsa-miR-127-3p,3
hsa-miR-218-5p,2
hsa-miR-149-5p,5
hsa-miR-4485-5p,4
hsa-miR-760,5
hsa-miR-126-3p,2
hsa-miR-181a-5p,3
hsa-miR-425-5p,5
hsa-mir-6124-5p,2
hsa-miR-10395-5p,6
