miRNA,SRR10995914,SRR10995915,SRR10995916,SRR10995917,SRR10995918,SRR10995919,SRR10995920,SRR10995921,SRR10995922,SRR10995923,SRR10995924,SRR10995925,SRR10995926,SRR10995927,SRR10995928,SRR10995929,SRR10995930,SRR10995931,SRR10995932,SRR10995933,SRR10995934,SRR10995935,SRR10995936,SRR10995937,SRR10995938,SRR10995939,SRR10995940,SRR10995941,SRR10995942
hsa-let-7a-3p,27.43,34.67,31.78,37.85,102.48,64.69,3.22,2.08,0.0,17.11,12.02,8.78,2.78,4.4,2.04,5.04,21.03,65.07,57.94,61.02,9.92,26.27,0.88,1.83,0.78,0.0,8.85,21.93,9.31
hsa-let-7a-5p,729.55,1002.61,411.5,1594.33,1351.14,1699.48,921.76,502.49,725.23,791.25,549.02,734.98,555.88,881.47,1204.77,648.37,1219.82,1836.54,2592.51,1832.53,1250.96,615.56,487.67,457.05,570.17,573.62,720.33,754.49,1249.19
hsa-let-7b-3p,0.0,0.0,3.18,1.15,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.47,2.03,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,8613.86,7102.1,8927.44,12669.78,13290.05,10171.67,28843.34,4132.04,21729.69,25234.6,22529.86,27150.25,7951.88,23621.58,32575.76,12230.83,18612.77,12504.2,10449.99,10248.76,78297.24,5615.13,14215.81,20195.98,19256.02,18487.22,15687.88,13468.97,22116.81
hsa-let-7c-3p,0.0,5.78,0.0,10.32,6.89,10.96,0.0,2.08,3.64,2.14,4.01,7.32,0.0,4.4,0.0,1.26,42.06,11.75,10.27,8.14,2.65,5.63,3.53,1.83,1.56,0.75,7.08,4.39,3.72
hsa-let-7c-5p,294.38,1438.91,487.76,610.21,673.42,565.76,1007.02,336.38,419.87,384.93,302.56,528.54,472.5,1046.33,602.39,322.29,546.82,610.07,750.25,642.71,1577.76,339.69,502.69,536.57,518.84,475.16,348.66,377.25,832.17
hsa-let-7d-3p,237.7,323.61,217.66,348.69,407.32,408.97,308.86,29.07,401.69,145.42,156.29,64.42,86.16,120.9,308.34,88.13,21.03,411.23,411.43,632.54,51.6,242.1,205.85,192.87,191.35,451.29,286.71,160.11,115.42
hsa-let-7d-5p,117.02,309.16,96.92,123.88,150.7,134.86,8.04,6.23,3.64,21.39,30.06,40.99,16.68,21.98,8.17,35.25,84.13,178.05,229.55,168.81,29.77,75.07,13.25,22.85,20.22,17.9,38.94,35.09,74.47
hsa-let-7e-3p,3.66,34.67,1.59,3.44,3.44,6.58,0.0,0.0,1.82,2.14,0.0,2.93,2.78,0.0,0.0,1.26,0.0,3.62,6.6,6.1,0.0,0.0,0.88,1.83,0.78,0.75,0.0,2.19,0.0
hsa-let-7e-5p,89.59,141.58,65.14,277.57,210.98,256.57,236.47,53.99,127.23,115.48,130.24,200.58,80.6,160.47,155.19,137.23,231.35,216.91,310.95,219.66,295.04,69.44,98.06,89.58,91.79,107.41,180.52,151.34,234.57
