miRNA,SRR8992368,SRR8992369,SRR8992370,SRR8992371,SRR8992378,SRR8992379,SRR8992380,SRR8992381,SRR8992382,SRR8992383,SRR8992384,SRR8992385,SRR8992387,SRR8992388,SRR8992389,SRR8992390,SRR8992391
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.11,0.0,0.19
hsa-let-7a-3p,21.0,10.93,10.61,10.44,8.85,29.25,7.82,12.55,19.9,21.11,8.23,11.33,10.47,5.48,12.75,16.3,16.39
hsa-let-7a-5p,1943.34,1027.41,1152.86,1046.64,1102.63,1819.82,1053.65,1041.73,1487.95,1540.86,625.53,1382.15,1212.96,720.54,1134.93,978.8,1649.8
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.52,0.19,0.27,0.13,0.19,0.0,0.11,0.0,0.38
hsa-let-7b-5p,17135.3,5859.35,8426.06,5554.36,5784.17,18760.76,5417.76,9319.37,14589.21,15495.57,3462.25,7152.01,6761.52,6523.95,4689.83,4922.72,4789.29
hsa-let-7c-3p,5.53,2.54,3.54,3.07,2.34,7.31,2.8,5.64,5.94,7.55,2.26,3.74,4.57,0.98,2.53,2.13,4.19
hsa-let-7c-5p,1678.11,1507.93,2331.09,1431.34,1621.53,1727.8,1829.14,1211.62,1165.65,1869.14,862.28,2075.1,1912.91,1264.74,1623.61,1279.92,478.45
hsa-let-7d-3p,207.21,172.38,201.94,170.09,166.89,172.47,161.15,120.42,177.04,199.68,123.09,181.87,181.03,109.54,188.02,155.87,171.94
hsa-let-7d-5p,213.84,191.96,214.41,156.58,193.19,213.92,193.32,135.88,141.38,199.48,92.42,199.38,173.8,110.67,175.6,153.04,241.7
hsa-let-7e-3p,7.74,10.42,10.81,10.13,7.81,9.75,7.97,6.55,8.01,8.91,8.5,8.24,9.14,4.36,14.73,8.5,6.29
hsa-let-7e-5p,481.83,184.58,245.3,193.73,189.8,457.7,166.16,252.29,366.24,406.91,103.04,251.68,213.01,143.43,197.14,136.74,142.2
hsa-let-7f-1-3p,12.16,5.59,3.22,2.15,2.86,6.7,2.21,5.82,8.79,11.62,1.46,3.09,4.76,2.25,3.74,4.25,2.86
hsa-let-7f-2-3p,3.87,6.1,2.5,2.76,0.78,6.09,1.77,2.73,2.07,4.07,1.06,1.67,1.9,2.11,3.41,2.48,1.72
hsa-let-7f-5p,1079.69,770.36,985.24,770.32,661.06,1304.23,739.62,581.35,844.38,929.05,495.8,923.11,832.82,469.39,1038.67,795.3,1194.22
hsa-let-7g-3p,8.29,2.54,3.74,0.61,1.04,9.14,1.92,5.09,7.5,6.78,1.59,3.48,4.38,3.94,4.94,3.19,6.29
hsa-let-7g-5p,2251.66,1233.86,1511.19,1118.49,1003.95,2741.93,1433.06,1360.78,1499.32,1915.04,827.49,1738.41,1471.47,1105.28,1897.78,1155.58,1879.5
hsa-let-7i-3p,27.63,19.32,13.73,21.8,8.85,24.38,15.49,16.19,19.38,23.05,9.29,17.0,19.42,11.67,21.87,20.19,27.83
hsa-let-7i-5p,22086.2,29832.7,27724.68,20491.05,24065.92,31498.92,36616.41,15183.95,18208.41,25819.88,17265.45,37386.13,33375.1,42145.23,23446.4,28620.91,12646.57
hsa-miR-1-3p,7.74,14.75,14.04,7.68,10.67,11.58,7.23,7.28,7.24,7.17,4.51,19.06,10.66,11.53,16.48,9.21,13.53
hsa-miR-100-5p,12776.74,5973.51,7385.91,5389.18,6153.88,10728.8,6493.55,6722.77,10594.73,9633.29,4612.66,9048.46,7210.38,8126.18,5586.08,5787.1,7066.03
hsa-miR-101-2-5p,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1486.37,1400.64,899.25,798.88,719.9,2057.51,1050.11,704.86,1171.33,1054.94,602.82,1623.78,1147.1,1590.42,1709.87,1128.65,1559.26
hsa-miR-101-5p,0.0,0.76,0.52,0.0,0.0,0.61,0.3,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.66,0.71,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.1,0.0,0.78,0.61,0.0,0.18,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.52
hsa-miR-103a-2-5p,0.0,0.0,0.21,0.31,0.26,0.0,0.89,0.0,0.0,0.0,0.0,0.26,0.0,0.28,0.0,0.35,0.0
hsa-miR-103a-3p,87.86,4.32,38.99,57.11,1.56,80.45,116.73,14.55,18.87,30.6,18.85,69.29,154.76,21.09,45.16,27.99,152.11
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
