miRNA,SRR18110733,SRR18110734,SRR18110735,SRR18110736,SRR18110737,SRR18110738,SRR18110739,SRR18110740,SRR18110741,SRR18110742,SRR18110743,SRR18110744,SRR18110745,SRR18110746,SRR18110747,SRR18110748,SRR18110749,SRR18110750,SRR18110751,SRR18110752
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0
hsa-let-7a-5p,124.13,133.16,1101.69,1.7,808.82,64.45,47.25,54.22,148.79,88.14,9575.21,16100.76,156.68,603.46,2391.87,5258.51,134.15,947.29,12222.69,29379.91
hsa-let-7b-3p,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,173.21,161.19,1035.02,6.23,428.15,93.3,44.32,55.13,209.27,76.29,3867.6,6237.11,216.8,364.59,1121.49,1811.33,190.95,360.97,5471.92,9480.72
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13
hsa-let-7c-5p,104.89,50.46,421.61,2.27,100.97,19.29,9.41,10.84,55.25,15.26,1358.63,1677.0,56.48,82.62,308.88,486.79,200.23,76.31,1278.86,2245.93
hsa-let-7d-3p,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.29,0.28,0.0,12.48,0.0
hsa-let-7d-5p,2.89,0.0,2.98,0.0,2.46,0.16,0.0,0.0,6.53,0.0,27.59,34.0,4.86,1.8,11.88,8.4,4.22,4.17,73.51,93.78
hsa-let-7e-5p,5.77,1.4,40.6,0.85,35.2,3.63,5.23,2.71,10.88,2.87,393.11,700.17,13.36,28.74,129.1,185.91,9.28,44.41,792.01,1963.04
hsa-let-7f-1-3p,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,74.1,84.1,664.44,2.27,324.45,38.41,55.19,25.3,120.95,45.78,5144.85,6300.48,180.36,211.93,1085.05,2431.62,138.08,564.26,7975.54,10498.18
hsa-let-7g-5p,0.0,2.8,27.93,0.0,14.46,2.14,1.88,2.71,13.92,2.15,144.83,226.69,19.43,1.8,40.39,89.77,14.06,18.78,230.25,245.38
hsa-let-7i-5p,11.55,23.83,79.7,0.28,109.7,6.76,7.32,7.23,21.75,8.98,662.07,1028.87,74.09,50.29,135.43,334.76,107.71,56.63,1019.48,2619.47
hsa-miR-1-3p,5.77,0.0,2.23,0.0,1.64,0.66,0.0,0.0,0.0,0.0,1.38,0.52,3.64,16.16,0.0,0.29,114.46,0.0,1.39,0.0
hsa-miR-100-5p,0.0,1.4,2.23,0.0,1.36,0.49,0.0,0.9,0.0,0.0,11.03,3.61,6.07,0.0,0.0,1.16,0.84,0.89,29.13,7.81
hsa-miR-101-3p,1.92,2.8,13.41,1.13,12.55,0.16,0.21,0.0,0.0,1.44,55.17,73.16,33.4,10.78,15.84,29.25,3.66,7.15,170.61,120.35
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,1.4,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,8.57,0.0,0.0,0.33,0.42,0.0,3.48,0.72,1.38,3.61,7.29,0.0,0.0,0.58,1.41,2.68,33.29,40.64
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,2.89,4.2,10.8,2.83,2.18,3.46,0.0,0.9,0.0,0.0,0.0,0.52,0.0,0.0,2.38,1.16,0.84,5.07,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0
hsa-miR-107,0.0,0.0,2.98,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,5.67,1.21,0.0,0.0,0.29,0.0,0.0,4.16,0.0
hsa-miR-10a-3p,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,3.09,0.61,0.0,0.0,0.0,0.0,0.89,1.39,0.0
