miRNA,SRR13854880,SRR13854881,SRR13854882,SRR13854883,SRR13854884,SRR13854885,SRR13854886,SRR13854887,SRR13854888,SRR13854889
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.91,3.12,4.92,4.72,8.43,2.68,2.21,5.22,3.96,1.56
hsa-let-7a-5p,6504.24,5934.89,18193.41,15938.2,45817.02,3881.79,7563.89,21955.24,4393.11,7998.58
hsa-let-7b-3p,0.32,0.22,1.26,2.12,2.5,0.42,1.86,1.24,0.5,0.12
hsa-let-7b-5p,3754.92,5060.78,9340.4,8155.55,16495.56,2208.1,2894.86,7306.34,2897.28,2977.23
hsa-let-7c-3p,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,367.86,460.88,916.25,727.03,1425.89,261.31,496.96,1457.32,524.62,392.6
hsa-let-7d-3p,7.59,10.58,23.34,35.63,37.04,6.81,19.77,18.33,14.19,6.05
hsa-let-7d-5p,570.75,457.65,1078.51,1590.67,3165.26,270.33,856.68,1859.48,384.69,674.07
hsa-let-7e-3p,0.05,0.22,0.13,0.0,0.15,0.0,0.0,0.09,0.14,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.45,1.26,1.42,1.97,0.42,0.47,0.8,0.07,0.06
hsa-let-7f-2-3p,0.0,1.0,0.0,2.01,0.23,0.61,0.35,0.18,0.65,0.06
hsa-let-7f-5p,4925.17,5103.21,13189.36,13348.58,40480.64,3619.72,8704.69,18149.25,4348.15,6162.96
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.14,1.05,0.35,0.14,0.12
hsa-let-7g-5p,1145.24,1369.17,2520.38,2588.79,6315.03,856.28,2232.87,3917.65,1224.26,1293.04
hsa-let-7i-3p,0.0,0.45,1.01,1.18,0.0,0.42,0.81,0.44,0.94,0.35
hsa-let-7i-5p,2893.45,4868.26,6452.99,7816.98,14068.86,2716.04,6585.33,8797.75,4087.75,3313.69
hsa-miR-1-3p,106.6,189.3,148.0,197.12,489.74,76.61,160.03,101.74,135.17,59.6
hsa-miR-100-5p,0.0,0.33,0.0,0.0,0.61,0.05,0.0,0.09,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
hsa-miR-101-3p,33.2,65.81,88.95,98.03,187.79,36.05,95.02,145.48,60.89,43.23
hsa-miR-101-5p,0.0,0.0,0.0,0.12,0.53,0.0,0.0,0.09,0.0,0.0
hsa-miR-10226,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.05,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.64,0.11,1.51,0.35,0.61,1.22,1.4,0.0,0.5,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
hsa-miR-10396b-3p,0.05,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.11,0.0,0.13,0.0,0.3,0.05,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,2.08,2.56,4.67,4.25,12.3,2.68,2.79,6.99,3.53,2.54
hsa-miR-10399-5p,0.27,0.0,0.38,0.24,0.53,0.0,0.0,0.44,0.14,0.23
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,293.13,70.26,60.56,461.84,208.66,122.47,448.92,173.01,45.18,282.56
hsa-miR-10401-3p,0.0,0.11,0.0,0.71,0.15,0.05,0.23,0.0,0.29,0.12
hsa-miR-10401-5p,0.0,0.67,0.0,0.71,0.53,0.0,0.0,0.0,0.14,0.12
hsa-miR-105-5p,0.11,0.22,0.25,0.12,0.15,0.05,0.0,0.35,0.14,0.12
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.18,0.07,0.0
hsa-miR-106a-3p,0.48,0.0,0.38,0.0,0.0,0.33,0.0,0.0,0.07,0.0
hsa-miR-106a-5p,0.75,1.11,2.9,1.89,5.39,0.52,2.67,3.36,0.65,0.63
hsa-miR-106b-3p,71.8,103.67,89.08,171.05,225.29,35.53,108.97,150.52,83.65,67.67
hsa-miR-106b-5p,6.68,13.7,9.84,14.63,25.73,4.37,12.68,12.66,5.4,3.17
hsa-miR-107,9.46,14.7,2.78,1.53,8.65,4.51,14.07,6.64,1.95,16.54
hsa-miR-10a-3p,1.71,3.79,2.4,2.01,7.51,2.39,2.67,4.07,0.86,2.02
hsa-miR-10a-5p,0.05,0.0,0.63,0.24,0.08,0.09,1.16,0.0,0.0,0.0
hsa-miR-10b-3p,0.48,0.11,0.63,1.89,0.0,0.14,0.23,3.45,0.86,0.63
hsa-miR-10b-5p,0.11,0.22,1.26,0.71,0.15,0.33,0.23,0.09,0.29,0.06
