miRNA,DRR127191,DRR127193,DRR127195
hsa-miR-221-3p,0.0,47.08,0.0
hsa-miR-222-3p,0.0,9.42,0.0
hsa-miR-223-3p,0.0,37.67,0.0
hsa-miR-224-5p,0.0,4.71,0.0
hsa-miR-23a-3p,0.0,225.99,0.0
hsa-miR-23b-3p,0.0,84.75,0.0
hsa-miR-24-3p,5.59,9.42,0.0
hsa-miR-25-3p,3129.21,2151.62,213.08
hsa-miR-25-5p,0.0,9.42,7.36
hsa-miR-26a-5p,33.53,2368.2,9.2
hsa-miR-26b-5p,22.35,386.07,0.0
hsa-miR-27a-3p,0.0,75.33,0.0
hsa-miR-27b-3p,83.82,3394.57,21.46
hsa-miR-27b-5p,5.59,0.0,0.0
hsa-miR-28-3p,1614.9,3286.28,1.53
hsa-miR-28-5p,0.0,122.41,0.31
hsa-miR-296-3p,55.88,32.96,0.31
hsa-miR-296-5p,0.0,9.42,0.0
hsa-miR-29a-3p,0.0,273.07,0.0
hsa-miR-29b-3p,0.0,9.42,0.0
hsa-miR-29c-3p,0.0,9.42,0.0
hsa-miR-301a-3p,0.0,193.03,0.0
hsa-miR-301b-3p,11.18,47.08,0.0
hsa-miR-3074-5p,0.0,9.42,0.0
hsa-miR-30a-3p,44.7,9.42,0.0
hsa-miR-30a-5p,39.12,306.03,0.0
hsa-miR-30b-5p,33.53,113.0,0.0
hsa-miR-30c-5p,11.18,362.53,0.0
hsa-miR-30d-3p,16.76,37.67,0.0
hsa-miR-30d-5p,134.11,2368.2,101.79
hsa-miR-30e-3p,391.15,32.96,35.26
hsa-miR-30e-5p,100.58,3140.33,8.89
hsa-miR-3125,0.0,9.42,0.0
hsa-miR-3127-5p,27.94,9.42,0.0
hsa-miR-3157-5p,0.0,4.71,0.0
hsa-miR-3158-3p,0.0,4.71,0.0
hsa-miR-3176,0.0,4.71,0.0
hsa-miR-3182,0.0,37.67,3.07
hsa-miR-3194-5p,11.18,0.0,0.0
hsa-miR-3196,0.0,0.0,8.58
hsa-miR-32-5p,0.0,136.54,0.0
hsa-miR-320a-3p,385.56,207.16,44.76
hsa-miR-320a-5p,0.0,4.71,0.0
hsa-miR-320b,117.35,136.54,0.0
hsa-miR-320c,0.0,14.12,0.0
hsa-miR-320d,0.0,4.71,0.0
