miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-19a-5p,0.0,0.81,2.55,0.61,4.84,0.85,0.82,15.63,11.17,0.38,8.21,9.43,0.0,0.0,0.0,0.83,0.88,0.15,0.0,0.24,0.74,0.6,4.19,0.46
hsa-miR-19b-1-5p,0.0,4.92,0.0,1.71,0.0,0.0,0.34,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,2.5,9.71,0.0,0.0,1.49,3.85,2.78,6.03,0.0
hsa-miR-19b-3p,1.91,3244.87,2.55,1317.11,12.9,9.61,543.64,48.6,14.43,945.46,111.11,15.79,1.6,4.12,4.98,2261.6,3321.72,3.53,0.92,608.67,1821.89,2281.37,6159.54,7.57
hsa-miR-200a-3p,0.0,9.09,0.0,3.35,0.0,0.0,0.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.43,22.42,0.0,0.0,2.97,4.59,5.57,35.25,0.0
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.24,0.25,0.0
hsa-miR-200b-3p,0.0,7.76,0.0,2.07,0.0,0.0,0.82,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,4.47,13.83,0.0,0.0,5.06,3.34,4.23,9.04,0.0
hsa-miR-200b-5p,0.0,0.17,2.23,0.12,2.26,0.0,0.41,0.0,0.0,0.0,3.38,0.0,0.0,2.25,1.25,0.42,0.71,0.15,1.83,0.32,0.06,0.0,0.25,0.0
hsa-miR-200c-3p,26.48,28.42,21.06,12.86,10.64,4.06,10.13,9.28,7.91,4.28,11.59,2.5,21.55,58.47,21.59,11.39,38.24,7.82,34.2,10.65,10.14,4.6,16.33,8.71
hsa-miR-200c-5p,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,2.25,2.49,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.17,0.0
hsa-miR-202-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
