miRNA,SRR11211725,SRR11211726,SRR11211727,SRR11211728
hsa-let-7a-2-3p,0.22,1.16,0.94,0.58
hsa-let-7a-3p,16.43,7.98,9.94,5.03
hsa-let-7a-5p,14295.55,10176.86,4569.06,3711.2
hsa-let-7b-3p,3.59,5.66,17.66,16.25
hsa-let-7b-5p,5863.04,3526.0,2197.7,2108.88
hsa-let-7c-3p,0.54,0.9,1.05,0.58
hsa-let-7c-5p,1076.7,586.19,254.12,240.01
hsa-let-7d-3p,40.7,33.33,174.36,196.75
hsa-let-7d-5p,458.96,359.82,84.55,92.24
hsa-let-7e-3p,1.74,1.8,0.82,0.35
hsa-let-7e-5p,756.18,565.21,83.15,58.22
hsa-let-7f-1-3p,0.11,0.0,0.35,0.58
hsa-let-7f-2-3p,0.0,0.0,0.12,0.0
hsa-let-7f-5p,3372.14,2999.27,1471.37,1342.2
hsa-let-7g-5p,1443.47,1158.22,505.66,437.46
hsa-let-7i-3p,0.33,0.26,0.7,0.23
hsa-let-7i-5p,1919.84,1520.87,2670.85,2388.52
hsa-miR-1-3p,1.41,1.93,3.16,1382.65
hsa-miR-100-5p,8005.01,3688.28,15935.28,18368.24
hsa-miR-101-3p,60.84,93.56,28.88,33.67
hsa-miR-10392-5p,0.0,0.0,0.23,0.23
hsa-miR-10394-3p,0.11,0.13,0.0,0.47
hsa-miR-10395-3p,0.22,0.9,0.35,0.7
hsa-miR-10396a-3p,0.0,0.0,0.0,0.12
hsa-miR-10396b-3p,0.0,0.0,0.0,0.12
hsa-miR-10399-3p,0.54,0.0,1.52,0.0
hsa-miR-103a-3p,551.79,508.46,18.48,4.44
hsa-miR-10401-3p,0.87,0.13,2.57,5.49
hsa-miR-10401-5p,0.0,0.0,0.23,0.0
hsa-miR-105-5p,0.0,0.0,0.58,0.7
hsa-miR-10526-3p,0.11,0.0,0.58,0.23
hsa-miR-10527-5p,0.0,0.0,0.0,0.35
hsa-miR-106a-5p,0.0,0.0,0.12,0.0
hsa-miR-106b-3p,38.96,15.96,24.56,19.29
hsa-miR-106b-5p,21.98,15.44,3.86,2.46
hsa-miR-107,3.16,46.97,3.86,35.31
hsa-miR-10a-3p,17.3,21.36,0.0,1.4
hsa-miR-10a-5p,3436.35,4045.78,66.07,73.42
hsa-miR-10b-3p,4.14,1.93,1.17,0.58
hsa-miR-10b-5p,1219.17,1260.65,470.11,393.04
hsa-miR-11401,0.0,0.0,0.0,0.23
hsa-miR-1180-3p,11.65,6.31,30.17,42.2
hsa-miR-1180-5p,0.87,0.0,0.0,0.0
hsa-miR-1183,0.0,0.0,1.17,0.0
hsa-miR-1185-1-3p,0.65,1.42,5.26,13.21
hsa-miR-1185-2-3p,0.0,0.26,13.45,17.54
hsa-miR-1185-5p,0.54,0.0,0.0,0.0
hsa-miR-1193,0.0,0.0,0.7,0.23
hsa-miR-1197,0.0,0.0,1.05,0.12
hsa-miR-12114,0.22,0.0,0.0,0.23
hsa-miR-12129,0.0,0.0,0.47,0.7
hsa-miR-12136,23.18,50.45,5.03,2.46
hsa-miR-122-3p,0.22,0.0,0.0,0.0
hsa-miR-122-5p,67.59,2.06,55.08,31.45
hsa-miR-1226-3p,0.22,0.77,0.23,0.0
hsa-miR-1226-5p,0.0,0.0,0.12,0.0
hsa-miR-1228-3p,0.87,0.0,0.7,0.0
hsa-miR-1229-5p,0.0,0.0,0.12,0.0
hsa-miR-122b-5p,0.0,0.77,0.0,0.82
hsa-miR-1237-5p,0.0,0.0,0.0,0.82
hsa-miR-124-3p,1.63,0.51,0.0,0.58
hsa-miR-124-5p,0.22,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.12
hsa-miR-1245a,0.0,0.0,0.0,0.35
hsa-miR-1245b-5p,0.0,0.13,0.0,0.0
hsa-miR-1246,5.66,31.14,1752.97,3250.7
hsa-miR-1247-5p,0.11,0.0,6.67,6.66
hsa-miR-1248,0.0,0.0,0.35,0.23
hsa-miR-1249-3p,2.39,1.93,0.35,0.23
hsa-miR-1249-5p,0.65,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.47,0.0
hsa-miR-1255b-5p,0.33,0.0,0.12,0.0
hsa-miR-125a-3p,5.77,3.6,76.6,111.41
hsa-miR-125a-5p,727.45,554.4,569.04,480.49
hsa-miR-125b-1-3p,18.18,22.91,384.16,483.06
hsa-miR-125b-2-3p,0.22,0.13,0.58,1.4
hsa-miR-125b-5p,3038.88,2308.45,694.87,861.95
hsa-miR-126-3p,16.33,22.13,412.46,491.59
hsa-miR-126-5p,5.88,4.25,3.27,3.62
hsa-miR-1260b,4.79,8.11,0.12,0.0
hsa-miR-1262,1.52,0.26,6.9,7.01
hsa-miR-1268a,0.0,0.0,0.0,1.52
hsa-miR-1268b,0.0,0.0,2.1,0.0
hsa-miR-127-3p,168.91,160.22,237.04,254.97
hsa-miR-127-5p,10.77,12.1,4.21,5.73
