miRNA,SRR22385194,SRR22385195,SRR22385196,SRR22385197,SRR22385198,SRR22385199,SRR22385201,SRR22385202,SRR22385203,SRR22385204,SRR22385205,SRR22385206,SRR22385207,SRR22385208,SRR22385209,SRR22385210,SRR22385211,SRR22385212,SRR22385213,SRR22385214,SRR22385215,SRR22385216,SRR22385217,SRR22385219,SRR22385220,SRR22385221,SRR22385222,SRR22385223,SRR22385224,SRR22385225,SRR22385258,SRR22385259,SRR22385260,SRR22385261,SRR22385262,SRR22385263,SRR22385264,SRR22385266,SRR22385267,SRR22385268,SRR22385269,SRR22385270,SRR22385271,SRR22385272,SRR22385273,SRR22385274,SRR22385275,SRR22385276,SRR22385278,SRR22385279,SRR22385280,SRR22385281,SRR22385282,SRR22385283,SRR22385284,SRR22385285,SRR22385286,SRR22385287,SRR22385290,SRR22385291,SRR22385292,SRR22385293,SRR22385294,SRR22385295,SRR22385296,SRR22385297,SRR22385298,SRR22385299,SRR22385301,SRR22385302,SRR22385303,SRR22385304,SRR22385305,SRR22385307,SRR22385308,SRR22385309,SRR22385310,SRR22385311,SRR22385312,SRR22385313,SRR22385314,SRR22385315,SRR22385316,SRR22385318,SRR22385370,SRR22385372,SRR22385373,SRR22385374,SRR22385375,SRR22385376,SRR22385377,SRR22385378,SRR22385379,SRR22385380,SRR22385381,SRR22385383,SRR22385384,SRR22385385,SRR22385386,SRR22385387,SRR22385388,SRR22385389,SRR22385390,SRR22385392,SRR22385393,SRR22385394,SRR22385395,SRR22385396,SRR22385397,SRR22385398,SRR22385399,SRR22385400,SRR22385401,SRR22385432,SRR22385433,SRR22385434,SRR22385436,SRR22385437,SRR22385438,SRR22385439,SRR22385440,SRR22385441,SRR22385442,SRR22385443,SRR22385444,SRR22385445,SRR22385447,SRR22385448
hsa-miR-2355-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.31,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,80.6,0.0,0.0,0.0,127.66,50.07,19.98,62.18,0.0,38.51,28.61,40.95,36.85,15.07,4.4,85.85,10.25,14.32,5.05,29.83,13.97,32.0,155.76,47.72,86.61,42.33,0.0,150.99,3.14,12.46,15.26,0.0,0.0,0.0,18.8,32.43,132.32,61.03,0.0,3.86,78.76,22.23,71.96,0.0,0.0,2.99,0.0,53.6,105.5,50.01,51.44,29.42,16.37,50.38,61.94,24.63,0.0,13.05,0.0,35.36,5.21,0.0,0.0,0.0,0.0,25.15,0.0,13.81,23.39,0.0,0.0,0.0,102.69,31.08,24.06,0.0,20.95,158.6,0.0,17.21,287.67,189.2,144.26,83.91,0.0,7.66,38.92,23.52,62.04,158.24,16.31,0.0,0.0,314.96,63.11,20.47,0.0,7.65,0.0,0.0,0.0,3.63,41.51,59.65,34.66,26.23,318.09,112.88,0.0,10.85,25.58,7.01,8.7,4.44,5.14,13.92,18.87,0.0,67.43,0.0,0.0,131.75,0.0,0.0,0.0,105.99,0.0,84.09
hsa-miR-23b-3p,8.96,0.0,0.0,0.0,25.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,23.29,0.0,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,9.73,0.0,0.0,0.0,0.0,27.8,0.0,20.56,0.0,23.56,8.96,0.0,0.0,32.46,23.34,0.0,0.0,0.0,0.0,0.0,11.86,7.47,0.0,0.0,0.0,31.24,0.0,13.89,37.11,0.0,3.59,0.0,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.74,0.0,30.12,0.0,35.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.33,0.0,38.83,0.0,0.0,0.0,0.0,0.0,0.0,7.27,8.3,0.0,34.66,0.0,0.0,41.39,0.0,5.43,10.96,7.01,0.0,8.89,0.0,0.0,0.0,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,24.7,49.69
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,31.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,0.0,0.0,9.73,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,8.96,0.0,0.0,0.0,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-3p,174.63,144.77,90.3,121.46,510.62,205.3,335.59,0.0,329.97,225.56,28.61,51.18,178.97,97.96,92.48,146.45,71.75,53.71,20.18,64.62,144.41,16.0,202.15,31.82,139.91,143.91,202.93,223.2,6.29,56.09,61.02,101.69,84.69,197.6,83.24,236.78,155.33,185.87,0.0,0.0,97.29,122.26,246.71,0.0,47.12,300.28,48.4,20.1,243.47,753.42,28.58,257.47,9.82,16.79,621.27,125.9,126.94,17.41,14.62,45.47,0.0,31.52,0.0,6.18,0.0,79.04,7.35,217.45,35.09,0.0,220.55,64.77,404.07,82.88,144.35,117.31,83.82,649.1,251.02,12.91,639.27,581.6,0.0,1382.26,0.0,30.64,101.18,113.7,132.93,69.23,384.95,543.15,1016.01,772.41,140.78,311.11,67.05,96.89,16.75,0.0,94.47,58.15,265.66,235.74,422.81,5.83,1189.76,94.07,0.0,276.79,0.0,56.11,60.92,48.87,41.11,69.62,200.0,336.11,119.53,437.42,57.39,124.43,164.06,0.0,101.78,550.25,8.23,336.35
hsa-miR-2467-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-25-3p,949.26,644.23,502.28,684.61,1391.44,811.17,815.02,272.02,797.42,946.27,948.85,327.58,1410.73,1808.5,634.13,876.17,177.66,648.05,355.69,328.09,880.4,616.0,1077.03,843.1,296.47,646.18,591.15,298.69,106.88,233.71,411.92,588.71,2162.98,940.57,3560.52,3029.43,2030.82,1362.11,259.42,235.54,2061.68,1050.34,1300.36,847.44,1036.55,977.04,136.39,643.21,1330.97,770.08,788.73,610.56,481.36,497.06,741.4,3100.87,384.56,52.22,87.71,813.32,98.93,541.1,41.66,74.21,250.28,614.38,1389.28,728.29,2590.83,183.11,412.64,1376.39,1017.99,1269.03,986.38,963.59,146.68,4631.82,4242.61,1721.07,2285.38,2515.61,1253.24,5547.7,2816.9,153.18,840.58,321.5,221.56,1434.04,732.38,567.56,780.97,607.43,859.22,1170.77,286.81,1769.52,150.76,496.72,2267.2,650.5,718.11,999.77,1081.29,894.63,5832.59,2129.7,626.78,895.48,924.47,399.8,478.69,97.74,693.81,802.95,2090.57,1214.32,662.03,2549.86,1131.31,871.02,1713.51,1407.88,559.79,2205.52,1726.51,462.48
hsa-miR-25-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,0.0,0.0,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.31,0.0,0.0,0.0,0.0,36.06,32.63,0.0,0.0,0.0,7.84,0.0,0.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
