miRNA,SRR17237638,SRR17237639,SRR17237640,SRR17237641,SRR17237642,SRR17237643,SRR17237644,SRR17237645,SRR17237646,SRR17237647,SRR17237648,SRR17237649,SRR17237650,SRR17237651,SRR17237652,SRR17237653,SRR17237654,SRR17237655,SRR17237656,SRR17237657,SRR17237658,SRR17237659,SRR17237660,SRR17237661,SRR17237662,SRR17237663,SRR17237664,SRR17237665
hsa-miR-125b-1-3p,50.0,106.0,114.0,52.0,41.0,17.0,70.0,34.0,29.0,54.0,59.0,10.0,25.0,17.0,32.0,17.0,51.0,16.0,10.0,11.0,41.0,9.0,5.0,15.0,11.0,24.0,10.0,29.0
hsa-miR-125b-2-3p,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,4165.0,1176.0,1288.0,939.0,349.0,1278.0,1510.0,503.0,822.0,1021.0,1581.0,278.0,722.0,627.0,2234.0,506.0,1471.0,875.0,710.0,1404.0,1770.0,983.0,393.0,605.0,794.0,1666.0,1270.0,2985.0
hsa-miR-126-3p,421.0,205.0,660.0,152.0,425.0,36.0,553.0,132.0,111.0,636.0,173.0,98.0,175.0,44.0,259.0,36.0,472.0,134.0,104.0,68.0,175.0,88.0,58.0,46.0,50.0,158.0,117.0,71.0
hsa-miR-126-5p,28.0,10.0,20.0,16.0,10.0,0.0,7.0,3.0,1.0,20.0,6.0,3.0,8.0,1.0,12.0,1.0,16.0,5.0,4.0,9.0,10.0,2.0,3.0,2.0,6.0,10.0,9.0,6.0
hsa-miR-1260b,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,4.0,1.0,3.0,1.0,1.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
hsa-miR-1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
