miRNA,GSM4044943,GSM4044944,GSM4044945,GSM4044946,GSM4044947,GSM4044948,GSM4044949,GSM4044950,GSM4044951,GSM4044952,GSM4044953,GSM4044954,GSM4044955,GSM4044956,GSM4044957,GSM4044958,GSM4044959,GSM4044960,GSM4044961,GSM4044962,GSM4044963,GSM4044964,GSM4044965,GSM4044966,GSM4044967,GSM4044968,GSM4044969,GSM4044970,GSM4044971,GSM4044972,GSM4044973,GSM4044974,GSM4044975,GSM4044976,GSM4044977,GSM4044978,GSM4044979,GSM4044980,GSM4044981,GSM4044982,GSM4044983,GSM4044984,GSM4044985,GSM4044986,GSM4044987,GSM4044988,GSM4044989,GSM4044990
hsa-miR-125a-5p,79.42,78.07,26.54,80.06,37.75,43.09,71.43,0.0,30.57,113.31,23.89,63.71,66.53,0.0,5.3,89.51,30.5,178.18,114.71,61.23,220.36,0.0,92.45,56.55,35.58,17.38,14.74,83.43,198.35,41.14,81.29,312.48,79.3,114.03,132.77,35.25,18.55,87.4,16.77,121.07,42.23,190.13,58.81,50.51,34.33,109.34,0.0,100.35
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,0.0,0.0,13.27,32.02,0.0,0.0,9.22,36.66,61.14,8.09,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,42.85,0.0,0.0,10.28,35.58,5.79,0.0,0.0,79.34,6.86,0.0,52.08,0.0,20.73,62.48,30.21,0.0,0.0,0.0,60.54,0.0,20.01,58.81,0.0,17.16,0.0,101.88,0.0
hsa-miR-126-3p,14850.7,4267.83,8889.48,10999.92,6028.04,2844.09,9608.21,8712.23,9323.8,8935.58,1994.67,4029.43,3738.74,2342.28,794.63,10856.64,1738.23,12866.85,14912.7,6276.02,13264.21,1131.19,9926.12,8019.99,4999.02,817.06,4082.17,7404.63,9548.96,7651.43,6611.93,8332.9,7327.05,3711.19,12324.18,3167.3,2782.6,5418.82,3303.82,6337.75,6953.24,11607.66,9704.17,6364.33,3484.02,8044.24,7844.74,5820.37
hsa-miR-126-5p,39.71,0.0,66.34,0.0,37.75,14.36,39.17,24.44,122.28,16.19,0.0,47.78,0.0,30.82,0.0,25.58,0.0,12.73,22.94,15.31,48.97,0.0,42.02,41.13,53.37,11.59,44.21,20.86,68.0,61.71,54.2,52.08,15.86,10.37,78.1,30.21,18.55,61.18,16.77,18.63,42.23,110.07,58.81,8.42,0.0,78.1,0.0,20.07
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,11.94,0.0,0.0,0.0,0.0,0.0,0.0,12.73,22.94,0.0,0.0,10.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,52.08,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.81,0.0,0.0,0.0,101.88,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,52.08,0.0,0.0,7.81,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,0.0,0.0,31.24,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,9.31,0.0,0.0,0.0,0.0,0.0,31.24,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,238.25,260.23,252.09,256.18,239.11,100.55,218.89,219.94,61.14,275.19,119.44,79.63,79.83,92.46,15.89,345.26,106.73,140.0,137.66,214.3,599.86,82.27,285.76,344.45,53.37,28.97,147.37,187.72,141.68,761.03,189.69,520.81,95.16,155.5,976.25,40.28,74.2,235.98,134.17,530.86,126.68,810.53,176.44,134.69,171.63,359.26,50.94,120.42
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,8.42,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,13.27,16.01,25.17,0.0,18.43,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,15.42,0.0,0.0,14.74,0.0,0.0,6.86,0.0,0.0,15.86,0.0,31.24,0.0,0.0,0.0,16.77,9.31,0.0,20.01,0.0,16.84,0.0,0.0,0.0,20.07
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,10.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,16.01,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.89,0.0,18.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,0.0,4.66,0.0,60.04,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,7.81,5.04,0.0,0.0,0.0,4.66,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.94,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,17.16,0.0,0.0,0.0
hsa-miR-1299,0.0,0.0,26.54,0.0,0.0,0.0,9.22,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,0.0,0.0,14.74,0.0,0.0,0.0,0.0,52.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1301-3p,0.0,0.0,13.27,48.03,12.58,0.0,0.0,0.0,0.0,24.28,11.94,0.0,0.0,0.0,0.0,12.79,0.0,12.73,91.77,15.31,18.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,61.71,0.0,0.0,0.0,10.37,0.0,5.04,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,31.24,0.0,40.14
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.0,0.0,11.52,0.0,0.0,0.0,0.0,15.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24,0.0,8.4,5.14,0.0,0.0,0.0,0.0,11.33,0.0,27.1,0.0,31.72,0.0,15.62,5.04,0.0,0.0,0.0,13.97,0.0,40.03,0.0,0.0,17.16,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,10.01,0.0,0.0,0.0,31.24,0.0,0.0
hsa-miR-1307-3p,277.95,52.05,238.82,64.05,88.09,57.46,99.08,171.07,30.57,178.06,71.66,95.56,66.53,0.0,10.6,76.73,30.5,76.36,45.89,30.61,146.9,41.13,100.86,51.41,53.37,40.56,29.47,41.72,68.0,356.52,108.39,52.08,63.44,51.83,226.49,45.32,55.65,253.46,50.31,479.64,42.23,280.18,117.63,58.93,68.65,296.78,101.88,40.14
hsa-miR-1307-5p,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0.0,0.0,8.09,23.89,0.0,13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24,10.28,0.0,0.0,0.0,0.0,0.0,0.0,11.33,6.86,0.0,52.08,15.86,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130a-3p,0.0,26.02,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,15.31,0.0,0.0,8.4,10.28,0.0,0.0,14.74,0.0,0.0,6.86,54.2,0.0,0.0,0.0,23.43,0.0,0.0,8.74,0.0,4.66,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0
hsa-miR-130b-3p,0.0,26.02,0.0,0.0,0.0,0.0,2.3,0.0,0.0,8.09,0.0,0.0,0.0,30.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,17.79,0.0,0.0,20.86,5.67,0.0,0.0,0.0,0.0,20.73,0.0,0.0,0.0,0.0,0.0,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07
hsa-miR-130b-5p,39.71,0.0,0.0,0.0,12.58,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58,0.0,0.0,0.0,15.31,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,41.14,0.0,0.0,15.86,10.37,23.43,10.07,0.0,8.74,16.77,13.97,0.0,30.02,0.0,0.0,17.16,15.62,0.0,0.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-132-5p,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,30.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.71,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.0,52.05,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,6.12,0.0,0.0,10.28,0.0,5.79,29.47,0.0,0.0,68.56,0.0,0.0,0.0,0.0,7.81,0.0,0.0,17.48,0.0,9.31,14.08,0.0,0.0,8.42,0.0,15.62,0.0,0.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-137-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-3p,0.0,0.0,92.88,48.03,0.0,0.0,16.13,24.44,0.0,32.38,11.94,0.0,53.22,30.82,5.3,25.58,0.0,25.45,68.83,15.31,79.57,20.57,25.21,25.71,17.79,5.79,29.47,41.72,17.0,47.99,0.0,156.24,0.0,31.1,101.53,5.04,18.55,26.22,16.77,27.94,28.15,60.04,0.0,16.84,17.16,31.24,0.0,0.0
hsa-miR-139-5p,39.71,78.07,106.14,160.12,163.6,28.73,85.25,85.53,152.85,153.78,11.94,31.85,93.14,0.0,15.89,127.88,45.74,114.54,160.6,91.84,238.72,20.57,84.05,107.96,71.16,5.79,14.74,146.01,141.68,82.27,54.2,260.4,174.45,114.03,164.01,65.46,46.38,78.66,117.39,51.22,112.6,240.16,352.88,143.11,51.49,124.96,0.0,180.63
hsa-miR-140-3p,79.42,26.02,79.61,16.01,0.0,28.73,101.38,48.88,61.14,32.38,35.83,47.78,26.61,0.0,5.3,25.58,0.0,89.09,45.89,45.92,24.48,0.0,33.62,35.99,35.58,0.0,14.74,20.86,51.0,34.28,0.0,104.16,47.58,31.1,140.58,15.11,9.28,43.7,100.62,27.94,14.08,110.07,0.0,8.42,51.49,0.0,101.88,0.0
hsa-miR-140-5p,0.0,0.0,13.27,0.0,0.0,0.0,0.0,12.22,0.0,16.19,0.0,15.93,0.0,0.0,0.0,12.79,0.0,12.73,22.94,30.61,6.12,0.0,8.4,25.71,0.0,0.0,14.74,0.0,5.67,6.86,0.0,0.0,0.0,20.73,70.29,5.04,18.55,17.48,0.0,13.97,0.0,40.03,0.0,0.0,0.0,15.62,0.0,0.0
hsa-miR-141-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0,30.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,0.0,0.0,13.27,64.05,50.34,43.09,39.17,12.22,30.57,80.94,0.0,47.78,0.0,0.0,0.0,63.94,0.0,63.63,68.83,45.92,48.97,20.57,67.24,46.27,17.79,0.0,14.74,20.86,45.34,41.14,81.29,104.16,31.72,0.0,85.91,10.07,9.28,26.22,16.77,23.28,84.45,60.04,0.0,25.26,51.49,62.48,50.94,40.14
hsa-miR-142-5p,79.42,494.44,185.75,400.29,427.88,201.1,573.73,403.23,305.7,307.57,155.27,127.41,79.83,0.0,37.08,383.63,91.49,381.81,114.71,413.3,330.53,71.98,361.41,365.01,177.9,0.0,442.11,208.58,221.01,233.11,325.18,364.56,174.45,72.57,3576.98,120.85,74.2,323.38,402.5,209.55,323.73,1090.72,117.63,202.04,205.95,78.1,152.82,120.42
hsa-miR-143-3p,79.42,52.05,132.68,128.09,37.75,28.73,36.87,97.75,61.14,186.16,47.78,63.71,119.75,0.0,15.89,115.09,0.0,114.54,91.77,153.07,116.3,20.57,117.67,61.69,35.58,40.56,29.47,41.72,68.0,171.4,54.2,208.32,142.73,145.13,648.23,15.11,46.38,87.4,50.31,107.1,84.45,600.4,117.63,33.67,120.14,15.62,203.76,60.21
hsa-miR-144-3p,0.0,52.05,66.34,48.03,0.0,14.36,39.17,73.31,0.0,24.28,0.0,0.0,0.0,0.0,0.0,89.51,0.0,76.36,22.94,30.61,30.6,0.0,33.62,10.28,0.0,5.79,58.95,20.86,28.34,20.57,0.0,52.08,15.86,0.0,328.02,0.0,0.0,43.7,16.77,4.66,14.08,50.03,58.81,16.84,68.65,0.0,0.0,0.0
hsa-miR-144-5p,0.0,52.05,26.54,48.03,12.58,14.36,20.74,24.44,30.57,72.84,0.0,31.85,0.0,0.0,0.0,25.58,0.0,38.18,0.0,61.23,48.97,10.28,67.24,61.69,0.0,5.79,0.0,62.57,39.67,13.71,81.29,0.0,15.86,0.0,62.48,0.0,18.55,8.74,16.77,9.31,28.15,80.05,58.81,16.84,0.0,15.62,0.0,0.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.16,15.86,0.0,39.05,15.11,0.0,8.74,0.0,9.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,0.0,15.31,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,39.71,0.0,53.07,48.03,37.75,100.55,80.64,61.1,0.0,105.22,71.66,47.78,13.31,30.82,15.89,102.3,15.25,140.0,114.71,61.23,91.81,20.57,84.05,82.26,35.58,11.59,88.42,41.72,68.0,315.38,108.39,104.16,142.73,62.2,484.22,15.11,9.28,96.14,33.54,330.62,112.6,210.14,58.81,109.44,17.16,124.96,101.88,20.07
hsa-miR-146b-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,8.09,0.0,0.0,13.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,277.95,156.14,53.07,64.05,125.85,43.09,184.33,146.63,122.28,259.0,35.83,143.34,53.22,61.64,42.38,102.3,60.99,267.26,527.68,137.77,318.29,20.57,126.07,221.06,35.58,28.97,88.42,125.15,51.0,301.67,189.69,104.16,79.3,62.2,507.65,70.5,37.1,235.98,117.39,302.68,154.83,140.09,117.63,159.95,188.79,140.58,152.82,100.35
hsa-miR-147b-3p,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,1786.85,1691.52,2746.45,1409.01,880.92,1407.68,1753.44,2443.82,1069.94,1845.39,2376.89,971.52,1796.19,986.22,365.53,1751.9,1052.09,1081.78,2523.69,1591.97,1340.5,781.55,1395.2,1583.43,1031.83,2399.04,1120.02,2085.81,2703.18,4579.89,1382.0,1145.77,1300.47,9506.04,15432.56,1893.33,723.47,1870.37,1559.67,7893.08,1027.5,7114.7,2293.71,1397.46,3998.9,3248.93,3412.97,923.23
