miRNA,SRR22696370,SRR22696371,SRR22696372,SRR22696373,SRR22696374,SRR22696375,SRR22696376,SRR22696377,SRR22696378,SRR22696379,SRR22696380,SRR22696381,SRR22696382,SRR22696383,SRR22696384,SRR22696385,SRR22696386,SRR22696387,SRR22696388,SRR22696389,SRR22696390,SRR22696391,SRR22696392,SRR22696393
hsa-let-7a-3p,9.98,0.0,1.85,0.0,0.0,0.0,0.4,16.37,2.39,13.87,20.16,8.04,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,3027.32,8651.64,9344.24,2597.94,3528.91,737.24,2274.1,6497.04,7955.77,20988.94,15045.54,6730.76,116.49,5159.48,12836.45,4489.95,2356.46,25158.79,4453.82,12277.07,1320.54,7226.6,12417.5,1885.79
hsa-let-7b-3p,5.18,0.0,0.0,0.0,0.0,0.0,0.0,15.78,0.0,0.0,0.0,3.45,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,16.55,0.0
hsa-let-7b-5p,9640.68,30074.96,17677.71,2639.59,2550.8,1429.67,10808.63,13545.33,16470.22,20907.53,17957.21,12768.72,309.92,14721.37,16261.95,11995.72,7220.75,14775.43,7362.42,16800.7,4728.36,10392.19,15612.14,5872.24
hsa-let-7c-5p,81.53,299.85,265.83,86.25,66.88,2.24,122.67,184.73,219.49,130.86,526.83,121.79,0.0,86.64,315.98,130.32,51.2,300.5,147.48,138.24,64.25,85.6,159.52,94.47
hsa-let-7d-3p,248.14,757.43,450.37,32.27,1.04,1.12,365.21,835.95,350.71,761.62,348.76,987.8,0.0,188.39,328.83,1206.93,96.45,731.09,108.94,328.27,135.85,181.15,537.11,37.05
hsa-let-7d-5p,795.36,1591.6,1326.68,126.14,182.87,50.42,421.92,1054.58,653.31,2354.82,1469.61,763.47,0.72,630.64,1285.51,659.68,532.73,2189.08,470.52,1854.6,418.56,631.84,2311.34,177.83
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,5.57,0.0,0.0,14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06,0.0
hsa-let-7e-5p,148.87,361.31,566.59,154.3,0.0,0.0,68.78,399.27,260.45,367.85,1295.57,454.69,0.72,114.85,907.04,251.07,258.94,818.04,393.01,554.38,219.07,426.8,753.9,38.28
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1098.37,2262.87,2296.34,909.39,668.79,71.71,591.65,1991.08,1643.01,5837.9,4116.52,1978.76,0.72,1369.08,3229.85,1085.94,833.96,11047.66,1589.63,4692.58,474.86,2064.74,4908.62,442.73
hsa-let-7g-3p,0.77,0.0,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0,22.26,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,854.26,2174.59,1275.68,303.91,526.67,1.12,1092.0,1044.65,760.27,3446.9,2049.53,789.03,1.44,956.54,1190.9,792.02,988.29,3909.32,511.16,2467.2,388.57,830.52,2596.01,344.55
hsa-let-7i-3p,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,3427.4,4076.16,1680.91,317.41,122.26,302.52,2572.14,2706.03,1832.28,4552.85,1823.07,1078.85,92.76,1367.06,1177.46,1186.26,3813.67,5513.4,745.79,3809.93,393.47,724.61,2839.54,734.18
hsa-miR-1-3p,0.0,0.0,20.4,0.0,44.93,0.0,0.0,0.0,0.0,21.71,35.61,12.64,0.0,41.81,0.0,24.2,0.0,0.0,29.33,0.0,3.06,11.94,26.73,17.29
hsa-miR-100-5p,14.96,0.0,0.0,1.76,0.0,0.0,0.4,1.75,0.4,0.6,2.02,9.48,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,1.84,0.0,0.42,0.0
hsa-miR-101-3p,5306.17,1131.7,562.88,281.03,96.14,38.09,844.64,1015.42,161.04,2942.77,680.04,668.97,66.15,477.52,650.64,791.01,1498.76,1995.7,246.36,2335.75,108.31,180.75,2095.82,260.58
hsa-miR-101-5p,8.25,0.0,0.0,0.0,0.0,0.0,30.57,0.0,0.0,14.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,97.93,824.22,267.38,95.05,0.0,0.0,1193.76,2298.57,254.09,1250.68,1601.99,430.85,127.99,239.77,273.92,1232.64,1754.73,2233.6,279.88,2012.13,113.21,93.56,282.55,106.82
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,15.16,27.18,12.36,0.0,0.0,0.0,0.0,14.61,0.0,18.09,0.0,4.88,0.0,0.0,0.0,11.85,0.0,0.0,0.0,2.14,0.0,20.7,55.58,0.0
