miRNA,GSM3939089,GSM3939090,GSM3939091,GSM3939092,GSM3939093,GSM3939094,GSM3939095,GSM3939096,GSM3939097,GSM3939098,GSM3939099,GSM3939100,GSM3939101,GSM3939102,GSM3939103,GSM3939104,GSM3939105,GSM3939106
hsa-miR-137-5p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.15,1.12,0.67,0.0,0.4,0.0,0.0,0.26,0.0,0.27,0.31,0.0,0.0,0.31,1.93,0.0,0.27,0.0
hsa-miR-139-3p,1.31,1.76,0.0,0.0,0.0,0.29,1.81,0.52,0.0,0.54,0.0,0.74,0.0,0.31,0.41,0.0,0.27,0.38
hsa-miR-139-5p,4.36,11.19,1.34,0.0,5.24,1.74,0.0,3.63,0.51,1.35,0.92,0.74,0.0,1.84,0.28,0.79,2.47,0.0
hsa-miR-140-3p,76.64,91.42,6.01,1.6,12.89,12.21,0.91,15.3,11.4,12.18,11.7,11.13,0.0,19.0,130.67,14.67,19.49,15.66
hsa-miR-140-5p,3.64,7.51,0.67,0.53,2.01,2.03,0.0,3.11,2.53,1.62,1.54,2.47,0.0,2.76,14.64,0.79,1.37,0.57
hsa-miR-141-3p,914.73,2343.75,43.4,1654.14,1309.33,269.12,541.3,511.51,545.35,608.52,463.37,545.58,142.86,380.54,900.06,120.81,169.63,376.11
hsa-miR-141-5p,39.41,89.66,4.01,138.78,39.48,19.47,47.15,45.91,43.82,34.92,28.33,39.59,21.39,29.72,83.98,20.7,20.86,60.74
hsa-miR-142-3p,150.95,487.16,44.74,417.92,326.33,317.36,1068.99,443.03,343.47,232.53,185.35,169.0,26.74,127.77,5.25,49.53,127.64,26.55
hsa-miR-142-5p,38.54,99.73,3.34,28.71,60.03,53.18,50.77,65.36,52.69,40.06,34.79,29.44,0.76,32.17,1.38,14.15,34.04,6.3
hsa-miR-143-3p,86.96,183.17,22.03,0.53,66.88,66.55,0.91,81.71,57.25,49.81,34.48,49.73,0.0,45.04,0.41,30.66,38.98,14.52
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.26,0.0,0.27,0.62,0.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-3p,1.75,4.48,0.0,0.0,4.43,4.94,0.0,4.41,5.07,2.44,2.16,1.48,0.0,3.37,0.14,0.0,0.27,0.0
hsa-miR-144-5p,8.43,15.02,1.34,1.6,6.45,6.97,2.72,4.67,4.31,4.33,4.31,3.46,0.0,7.35,0.41,2.62,6.04,1.53
hsa-miR-145-5p,4.65,12.47,0.0,0.53,1.21,1.74,0.0,4.93,2.28,1.89,1.85,2.97,0.0,2.45,0.0,1.05,2.2,0.19
hsa-miR-1468-5p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-146a-5p,1984.48,3812.59,62.1,6.91,516.08,208.38,1.81,406.2,356.39,356.78,343.91,546.33,0.0,458.98,1395.53,380.76,219.86,331.8
hsa-miR-146b-3p,0.44,0.8,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.99,0.0,0.31,1.11,0.26,0.27,0.19
hsa-miR-146b-5p,39.99,55.78,1.34,0.0,12.09,8.43,0.0,11.93,17.73,7.04,11.39,17.07,0.0,13.48,96.55,9.7,7.41,6.3
hsa-miR-147b-3p,20.65,48.43,0.0,0.0,8.86,2.03,0.0,6.23,3.8,6.5,4.0,12.12,0.0,3.37,7.6,4.45,2.74,6.49
hsa-miR-147b-5p,0.58,0.8,1.34,0.0,2.42,0.87,0.0,0.78,0.76,0.54,1.23,2.47,0.0,0.0,3.32,0.52,1.37,1.15
hsa-miR-148a-3p,1392.02,3508.12,130.87,0.0,518.9,268.25,0.0,482.46,465.82,397.38,391.63,767.04,0.0,537.11,1205.46,455.18,314.56,438.77
hsa-miR-148a-5p,2.18,2.24,0.0,0.0,0.4,0.0,0.0,1.3,0.76,1.08,0.0,0.99,0.0,0.92,2.35,0.26,0.27,0.57
hsa-miR-148b-3p,1120.07,1291.11,16.02,1.06,103.54,43.88,0.91,71.59,73.96,61.99,56.04,104.91,0.0,84.57,181.09,52.15,42.27,46.61
hsa-miR-148b-5p,3.34,5.75,0.67,0.0,4.43,0.29,0.0,1.04,0.51,1.35,0.92,0.99,0.0,0.31,2.62,1.31,0.27,1.15
hsa-miR-149-3p,0.44,1.12,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.27,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-149-5p,73.88,132.66,2.0,0.0,16.92,16.27,0.0,30.09,42.81,30.86,28.63,46.76,0.0,26.35,113.4,14.41,31.02,16.43
hsa-miR-150-5p,12.22,25.41,4.67,0.0,33.44,31.68,0.0,56.29,48.38,28.15,29.56,37.86,0.0,19.92,0.14,8.12,46.66,6.3
hsa-miR-151a-3p,960.97,2008.27,97.48,6.38,292.89,184.26,0.91,386.22,296.36,274.76,254.31,362.24,0.76,432.32,1108.91,341.72,336.25,579.74
hsa-miR-151a-5p,7.27,17.42,0.67,0.0,8.86,4.36,0.0,7.26,6.08,3.79,6.77,11.13,0.0,4.9,43.93,2.36,4.94,4.58
hsa-miR-151b,6.69,4.16,0.0,0.0,0.0,0.0,0.0,0.52,0.51,0.54,0.0,0.25,0.0,0.92,1.38,0.0,0.0,0.0
hsa-miR-152-3p,201.41,473.26,11.35,155.79,62.44,40.11,74.35,56.03,71.18,46.83,63.73,77.69,16.04,68.02,238.55,45.6,37.6,49.28
hsa-miR-152-5p,0.58,0.8,0.0,0.0,0.0,0.0,0.0,0.78,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-miR-153-3p,0.0,0.16,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1537-3p,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.19
hsa-miR-154-5p,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-155-5p,89.0,257.33,24.04,0.0,65.67,38.65,0.91,99.86,52.94,59.82,32.94,61.61,0.76,50.86,104.98,36.16,73.29,83.28
hsa-miR-15a-3p,0.58,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.19
hsa-miR-15a-5p,37.37,70.65,0.67,46.79,16.92,8.43,9.07,15.3,15.45,5.68,9.24,13.36,6.88,8.27,63.82,4.98,6.59,7.07
hsa-miR-15b-3p,50.9,83.75,2.0,2.13,17.73,12.21,0.0,24.64,21.02,19.22,15.7,17.57,0.0,16.55,77.49,17.56,15.1,9.93
hsa-miR-15b-5p,138.15,232.07,6.01,0.53,39.88,34.0,0.0,44.61,54.97,39.25,36.33,78.19,0.76,28.19,311.21,17.56,17.57,21.39
hsa-miR-16-1-3p,0.15,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.49,0.0,0.31,0.55,0.0,0.27,0.19
hsa-miR-16-2-3p,4.51,7.67,0.0,0.0,2.42,0.58,0.0,1.56,4.05,1.62,2.46,2.47,0.0,1.84,6.08,0.79,1.37,0.96
hsa-miR-16-5p,12307.4,21467.93,590.92,133.46,4029.11,2750.17,66.19,4489.43,4459.34,3171.47,3301.76,4888.99,25.21,4448.25,17624.46,3356.1,2708.09,3652.06
hsa-miR-17-3p,2.76,5.11,1.34,0.0,2.01,1.74,0.0,2.08,2.28,1.35,1.85,3.96,0.0,2.45,25.83,1.57,0.55,4.78
hsa-miR-17-5p,55.55,89.03,3.34,0.0,20.95,12.5,0.0,25.94,20.77,15.97,12.93,19.55,0.0,16.55,101.53,8.91,12.63,14.33
hsa-miR-181a-2-3p,23.41,24.93,2.67,0.0,8.06,10.17,0.0,15.3,20.26,16.24,14.78,23.75,0.76,18.38,124.59,9.7,13.45,40.88
hsa-miR-181a-3p,9.89,14.38,1.34,0.0,6.45,6.97,0.0,8.3,13.17,8.93,8.31,13.36,0.0,6.43,32.18,4.45,7.69,15.66
hsa-miR-181a-5p,172.18,237.35,17.36,0.0,93.47,44.17,0.0,80.93,71.68,45.48,53.57,97.49,0.0,57.3,234.41,37.21,42.55,63.61
hsa-miR-181b-2-3p,0.58,0.0,0.0,0.53,0.0,0.29,0.0,0.26,0.0,0.27,0.0,0.49,1.53,0.0,1.66,0.26,0.0,0.0
hsa-miR-181b-3p,0.15,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.54,0.31,0.25,0.0,0.31,1.52,0.0,0.27,0.38
hsa-miR-181b-5p,205.63,373.52,12.69,55.3,70.1,45.63,28.11,70.29,63.83,52.24,62.81,85.61,20.63,65.57,156.64,45.6,42.0,62.84
hsa-miR-181c-3p,0.44,1.6,0.67,0.0,0.0,0.29,0.91,0.78,1.27,0.54,0.92,0.99,0.0,0.31,2.76,0.52,0.27,1.15
hsa-miR-181c-5p,2.91,2.56,0.0,0.0,1.21,0.87,0.0,0.78,1.27,0.81,0.62,0.74,0.0,0.0,2.76,0.0,0.0,0.19
hsa-miR-181d-3p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.52,0.25,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0
hsa-miR-181d-5p,3.49,7.35,0.67,2.13,6.04,0.87,0.91,1.82,1.77,1.62,1.23,3.22,0.0,0.92,2.62,0.52,0.55,2.48
hsa-miR-182-3p,0.29,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,314.99,498.19,46.07,44.13,245.35,90.38,26.29,187.79,166.42,144.82,141.32,289.74,8.4,159.33,866.77,115.83,110.07,244.5
hsa-miR-1827,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-3p,0.29,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.27,0.31,0.0,0.0,0.0,1.11,0.0,0.0,0.19
hsa-miR-183-5p,252.31,463.19,50.08,0.53,126.1,68.3,0.91,129.17,104.61,85.0,93.29,141.04,0.0,120.41,475.58,109.8,71.92,158.93
hsa-miR-184,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.25,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1843,4.94,6.23,0.67,1.06,1.21,0.87,0.91,1.04,0.51,0.0,0.31,1.73,0.0,0.92,3.32,0.52,1.1,1.15
hsa-miR-185-3p,1.16,2.4,0.0,0.53,0.0,0.29,0.91,1.56,0.51,0.54,0.92,0.25,0.0,0.92,2.76,0.79,0.55,0.76
hsa-miR-185-5p,90.89,154.24,2.67,1.06,36.66,19.47,0.0,34.76,28.62,19.76,24.63,31.92,0.0,29.11,193.24,21.75,22.51,25.79
hsa-miR-186-3p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.92,0.0,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-186-5p,175.38,269.47,11.35,1.06,64.86,40.69,0.91,75.48,72.95,51.16,56.34,70.52,0.0,56.07,236.2,39.05,40.08,33.05
hsa-miR-187-3p,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.51,0.0,0.0,0.25,0.0,0.0,0.55,0.0,0.27,1.91
hsa-miR-188-3p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-188-5p,0.58,2.72,0.0,0.0,0.0,0.0,0.0,0.26,0.51,0.27,0.0,0.25,0.0,0.0,0.69,0.0,0.27,0.0
hsa-miR-18a-3p,5.53,9.27,0.0,4.25,2.42,1.74,2.72,4.15,2.28,1.62,4.31,0.99,1.53,3.37,5.39,1.05,4.67,2.48
hsa-miR-18a-5p,9.16,15.66,0.67,0.0,3.22,6.97,0.0,17.12,9.88,8.66,9.85,6.93,0.0,6.13,42.41,2.1,3.84,1.91
hsa-miR-18b-5p,0.0,0.64,0.67,0.53,0.0,0.0,0.0,0.26,0.25,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.1,0.0
hsa-miR-1908-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
hsa-miR-1908-5p,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1909-3p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1909-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.27,0.0
hsa-miR-190a-5p,1.02,0.8,0.0,0.0,1.61,1.74,0.0,1.56,0.25,1.08,0.92,0.25,0.0,0.31,6.08,0.26,0.82,0.0
hsa-miR-190b-5p,1.75,9.91,0.0,0.0,0.81,0.58,0.0,0.78,0.51,0.27,0.62,1.48,0.0,0.0,3.04,0.52,0.27,0.38
hsa-miR-191-3p,3.64,4.32,0.0,0.0,0.81,0.29,0.0,0.26,1.77,1.08,0.62,0.49,0.0,0.92,5.66,0.79,0.0,1.72
hsa-miR-191-5p,618.06,977.36,48.07,1.6,239.71,246.74,0.0,382.85,310.04,228.74,251.23,393.41,0.76,304.86,1290.69,198.9,328.84,332.56
hsa-miR-1910-3p,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1910-5p,2.91,5.59,0.67,0.0,0.4,0.29,0.0,1.82,1.01,1.62,0.31,0.49,0.0,0.61,0.41,1.05,1.1,0.0
hsa-miR-1914-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.26,0.0,0.0
hsa-miR-1914-5p,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
hsa-miR-1915-3p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.25,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-1915-5p,0.44,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-3p,0.29,0.0,0.0,0.0,0.4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.19
hsa-miR-192-5p,105.0,181.89,8.01,0.53,89.44,31.97,0.0,38.13,34.45,33.02,36.33,25.49,0.0,40.44,126.11,25.42,19.21,15.66
hsa-miR-193a-3p,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193a-5p,2.91,3.04,0.0,0.0,0.81,0.87,0.0,0.0,0.51,0.27,0.62,0.49,0.0,0.31,0.28,0.52,0.27,0.19
hsa-miR-193b-3p,5.09,7.51,0.0,0.0,0.81,0.58,0.0,0.78,0.51,1.08,0.92,0.74,0.0,0.92,2.76,0.52,0.55,0.19
hsa-miR-193b-5p,8.14,25.41,0.0,0.0,1.61,1.74,0.0,2.59,3.8,3.52,1.85,4.45,0.0,1.53,4.7,0.52,3.29,6.3
hsa-miR-194-3p,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.31,0.0,0.0,0.0,0.41,0.0,0.0,0.0
hsa-miR-194-5p,8.58,17.42,0.0,7.98,5.64,2.62,6.35,4.15,5.83,4.87,4.93,3.96,0.76,3.68,15.19,1.83,1.65,1.34
hsa-miR-195-3p,1.02,0.16,0.0,0.0,0.0,0.0,0.0,0.52,0.25,0.27,0.62,0.0,0.0,0.0,0.41,0.52,0.55,0.19
hsa-miR-195-5p,3.34,3.04,0.0,1.06,2.01,0.87,0.91,1.56,1.77,0.27,2.16,0.99,0.0,0.31,3.87,0.0,0.55,0.0
hsa-miR-196a-5p,84.2,136.81,7.34,27.12,35.86,16.27,19.04,41.76,35.97,28.42,16.01,41.32,8.4,21.14,125.42,13.1,22.51,55.01
hsa-miR-196b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
hsa-miR-196b-5p,224.97,362.66,22.03,138.24,109.18,38.07,66.19,81.97,61.55,47.64,51.42,101.69,23.68,54.54,274.19,41.4,43.92,72.59
hsa-miR-197-3p,17.89,24.77,1.34,0.0,6.85,6.39,0.0,8.82,14.18,10.83,13.24,16.83,0.0,11.95,13.81,6.03,12.9,4.58
hsa-miR-197-5p,0.58,0.64,0.0,0.53,0.0,0.29,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.61,0.28,0.0,0.82,0.19
hsa-miR-1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1976,0.44,0.48,0.0,0.0,0.81,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.26,0.27,0.19
hsa-miR-198,0.0,0.32,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,27.92,143.05,9.35,0.53,32.23,45.63,2.72,72.11,34.45,11.1,22.78,27.96,0.0,7.35,3.32,18.34,10.71,4.2
hsa-miR-199a-5p,2.33,7.67,0.0,0.0,2.01,2.03,0.0,3.63,2.28,1.08,0.62,1.98,0.0,0.61,0.14,0.79,2.47,0.0
hsa-miR-199b-3p,49.59,49.87,0.67,0.0,13.29,4.94,0.0,1.56,7.85,22.2,9.54,5.2,0.0,26.96,0.0,2.88,20.86,4.2
hsa-miR-199b-5p,6.4,11.19,0.67,0.0,2.01,0.87,0.0,3.11,3.04,3.25,2.46,2.72,0.0,3.37,0.14,1.05,2.2,0.38
hsa-miR-19a-3p,18.76,50.19,2.0,0.0,10.47,6.97,0.0,11.67,15.2,6.77,8.93,10.14,0.0,9.8,63.82,4.98,3.84,4.2
hsa-miR-19a-5p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-19b-1-5p,0.58,0.16,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.19
hsa-miR-19b-3p,95.84,263.24,4.67,1.06,54.39,29.35,0.0,42.54,57.5,33.57,37.87,37.36,1.53,31.56,345.05,21.23,21.14,20.82
hsa-miR-200a-3p,384.51,745.29,32.72,0.53,336.4,142.11,0.91,261.2,234.05,239.57,166.57,286.52,0.0,193.64,902.96,94.08,118.58,178.79
hsa-miR-200a-5p,10.18,23.97,2.0,13.82,4.03,2.62,3.63,5.97,5.32,4.87,1.54,4.7,0.76,5.52,25.69,3.41,2.47,7.26
hsa-miR-200b-3p,170.73,337.4,10.68,4.25,204.66,71.2,1.81,136.96,124.37,102.32,99.45,156.38,0.0,85.18,445.19,42.71,52.98,63.8
hsa-miR-200b-5p,25.01,44.59,0.67,15.95,7.65,4.36,14.51,9.08,7.35,6.5,7.39,9.9,3.82,9.19,28.59,4.98,3.29,8.98
hsa-miR-200c-3p,1330.21,2682.43,196.97,2865.89,1683.19,503.07,902.16,1183.57,920.49,871.1,792.8,1705.29,425.51,652.32,3090.8,332.28,779.54,1236.65
hsa-miR-200c-5p,9.02,26.69,0.0,51.58,4.43,4.65,17.23,7.52,4.81,5.96,5.23,5.94,6.88,7.66,21.96,3.67,2.74,12.23
hsa-miR-202-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203a-3p,62.53,113.64,17.36,0.53,47.14,23.54,2.72,54.73,45.34,9.2,26.48,44.29,0.0,39.53,94.34,4.72,19.76,9.36
hsa-miR-203a-5p,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-203b-3p,0.29,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.26,0.0,0.0
hsa-miR-204-3p,0.29,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,1.02,1.6,0.0,0.0,0.4,0.58,0.0,0.52,0.25,0.54,0.0,0.25,0.0,0.61,0.14,0.0,1.37,0.0
hsa-miR-205-3p,8.0,13.91,0.67,0.53,3.22,5.23,0.91,4.41,6.08,2.98,5.54,7.67,0.0,3.37,35.22,1.31,2.47,3.06
hsa-miR-205-5p,23406.02,41851.73,1623.19,152.07,9968.63,5846.17,44.43,10169.96,10096.02,6715.97,7611.85,13665.85,17.57,15695.11,27623.16,9064.37,8867.04,10508.05
hsa-miR-2053,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,0.87,4.79,0.0,0.53,0.0,0.29,0.91,0.78,0.0,0.0,0.92,0.0,0.0,0.61,0.0,0.26,0.0,0.0
hsa-miR-208b-3p,0.73,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-3p,0.15,0.96,0.0,0.0,0.0,0.29,0.0,1.56,0.76,0.0,0.0,0.25,0.0,0.0,2.07,0.26,0.0,0.0
hsa-miR-20a-5p,109.51,217.53,4.01,0.0,77.75,63.36,0.0,105.57,103.09,65.51,56.65,76.95,0.0,77.82,431.93,30.4,36.78,41.45
hsa-miR-20b-5p,1.89,2.08,0.0,0.0,0.4,0.58,0.0,1.04,1.27,0.54,0.62,0.25,0.0,0.31,9.95,1.57,0.27,0.0
hsa-miR-21-3p,39.12,90.94,6.01,0.0,26.59,15.69,0.0,26.46,31.16,24.09,25.86,22.27,0.0,21.14,122.66,18.34,7.14,32.85
hsa-miR-21-5p,11866.9,33954.67,976.85,130.27,8452.22,3365.71,27.2,5579.37,6813.0,5030.34,5014.84,8468.81,8.4,6492.83,15811.22,3136.5,2431.68,5307.99
hsa-miR-210-3p,38.83,98.62,0.0,1.06,4.83,7.56,0.0,18.42,33.94,20.57,20.32,43.05,0.0,18.38,51.94,10.48,9.88,6.69
hsa-miR-210-5p,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-211-5p,0.29,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,5.53,8.63,0.0,0.0,1.21,0.87,0.0,1.3,1.27,1.08,0.31,2.97,0.0,1.84,3.04,0.26,0.82,0.57
hsa-miR-2116-3p,1.6,2.4,0.67,0.0,0.81,0.58,0.0,0.52,0.76,0.81,0.92,0.49,0.0,1.23,1.66,0.52,1.1,0.57
hsa-miR-2116-5p,0.44,0.32,0.0,0.0,0.0,0.29,0.0,0.0,0.25,0.0,0.0,0.49,0.0,0.31,0.69,0.0,0.27,0.57
hsa-miR-212-3p,0.29,0.64,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.61,0.28,0.0,0.0,0.0
hsa-miR-212-5p,0.44,0.48,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.27,0.31,0.0,0.0,0.0,0.14,0.0,0.27,0.19
hsa-miR-214-3p,0.44,4.48,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.26,0.55,0.0
hsa-miR-215-5p,1.31,4.64,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.54,0.62,0.0,0.0,0.31,0.69,0.26,0.0,0.0
hsa-miR-216a-5p,0.0,0.16,0.67,0.0,0.0,0.0,0.0,0.52,0.0,0.27,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0
hsa-miR-216b-3p,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.16,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0
hsa-miR-218-1-3p,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.31,0.14,0.0,0.0,0.0
hsa-miR-218-2-3p,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,8.87,14.54,2.0,0.0,4.03,1.74,0.91,6.23,4.05,4.87,3.39,5.94,0.0,5.21,21.96,1.31,2.47,0.57
hsa-miR-219a-1-3p,1.02,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.31,0.41,0.79,0.0,0.19
hsa-miR-219a-5p,1.45,1.92,0.0,0.0,0.0,0.0,0.0,0.78,0.51,0.0,0.0,0.0,0.0,0.31,1.24,0.52,0.27,0.38
hsa-miR-219b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-22-3p,158.08,304.32,3.34,1.6,66.07,16.86,0.0,27.75,41.79,28.42,33.87,39.34,0.0,27.88,87.3,12.32,18.12,14.52
hsa-miR-22-5p,5.67,7.83,0.67,0.0,3.22,0.58,0.0,0.26,1.77,0.81,0.92,1.24,0.0,1.23,2.49,0.52,0.55,0.57
hsa-miR-221-3p,2837.55,5340.57,76.79,15.95,675.21,381.59,10.88,744.95,740.14,524.88,580.36,656.43,5.35,618.31,1731.74,306.6,390.32,468.95
hsa-miR-221-5p,14.98,20.94,1.34,0.53,7.25,7.27,0.0,10.89,13.68,9.75,6.77,16.58,0.0,12.26,51.8,4.72,9.88,16.62
hsa-miR-222-3p,147.32,222.0,8.01,14.89,83.39,53.47,9.97,87.15,91.95,66.32,73.28,86.6,2.29,89.47,286.21,30.66,43.64,74.11
hsa-miR-222-5p,2.18,5.59,0.67,0.0,2.01,4.07,0.0,3.63,4.31,1.62,2.46,2.47,0.0,4.9,21.96,1.31,2.2,14.14
hsa-miR-223-3p,70.68,176.77,14.02,35.62,85.81,99.97,69.82,130.21,96.25,73.36,65.58,57.9,2.29,49.94,0.55,25.68,65.33,11.08
