miRNA,GSM3939089,GSM3939090,GSM3939091,GSM3939092,GSM3939093,GSM3939094,GSM3939095,GSM3939096,GSM3939097,GSM3939098,GSM3939099,GSM3939100,GSM3939101,GSM3939102,GSM3939103,GSM3939104,GSM3939105,GSM3939106
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,31.56,9.75,5.34,0.0,3.22,4.94,0.0,8.3,4.56,4.06,7.08,4.21,0.0,7.97,2.35,6.03,13.72,9.74
hsa-miR-10401-5p,1.31,0.32,0.67,0.0,0.4,0.58,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.61,0.0,0.26,0.82,0.38
hsa-miR-105-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.44,1.6,0.0,0.0,0.0,0.0,0.0,0.78,0.51,0.54,0.31,0.0,0.0,0.31,0.41,0.26,0.82,0.0
hsa-miR-10527-5p,0.44,0.16,0.0,0.0,0.0,0.0,0.0,0.52,1.27,0.27,0.31,0.99,0.0,0.0,1.38,0.26,0.82,0.38
hsa-miR-106a-5p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.19
hsa-miR-106b-3p,147.17,211.46,9.35,0.0,31.02,31.68,0.0,59.4,63.07,41.42,46.8,62.11,0.0,60.97,234.13,38.0,56.82,50.43
hsa-miR-106b-5p,1.75,3.36,0.0,0.0,2.42,0.87,0.0,4.67,2.28,1.08,0.92,1.98,0.0,2.14,11.05,1.05,0.82,1.91
hsa-miR-107,63.41,346.67,2.67,73.91,1.61,3.49,14.51,15.82,12.41,7.85,3.08,11.63,3.06,12.26,66.44,0.52,4.94,4.01
hsa-miR-10a-3p,25.3,44.11,0.0,0.0,3.22,3.78,0.0,2.59,5.32,2.71,2.16,7.18,0.0,4.6,27.35,5.24,1.92,8.02
hsa-miR-10a-5p,219.01,421.31,24.71,49.98,134.56,102.88,13.6,168.34,183.14,122.08,135.78,274.65,0.0,142.78,538.29,90.67,110.34,233.42
hsa-miR-10b-3p,1.75,8.31,0.0,0.0,0.4,0.29,0.0,1.56,0.76,0.54,1.23,0.74,0.0,0.31,3.32,0.26,0.0,0.38
hsa-miR-10b-5p,58.9,151.36,10.68,0.0,77.35,39.52,0.0,68.22,65.1,42.77,49.57,77.2,0.0,60.67,67.68,23.32,49.96,51.57
hsa-miR-11399,0.44,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.15,0.48,0.0,0.53,0.0,0.29,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
hsa-miR-1180-3p,15.42,29.73,1.34,0.0,6.85,7.56,0.0,12.19,10.89,6.23,8.93,7.67,0.0,10.42,14.23,6.55,4.67,9.17
hsa-miR-1180-5p,0.29,0.0,0.0,0.0,0.0,0.29,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-miR-1181,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
