miRNA,SRR21848191,SRR21848192,SRR21848193,SRR21848194,SRR21848195
hsa-let-7a-2-3p,59.38,0.0,2.92,0.0,0.0
hsa-let-7a-3p,0.0,1.21,34.07,46.72,12.57
hsa-let-7a-5p,23049.28,46127.88,96503.11,42520.12,18812.5
hsa-let-7b-3p,0.0,0.0,4.87,4.58,0.91
hsa-let-7b-5p,8161.82,26634.64,68580.64,14964.39,11229.33
hsa-let-7c-5p,37.39,583.64,621.68,49.22,70.59
hsa-let-7d-3p,446.47,270.67,82.09,65.29,20.46
hsa-let-7d-5p,862.15,2246.34,3161.3,2849.71,799.76
hsa-let-7e-3p,0.0,0.0,1.3,0.0,0.0
hsa-let-7e-5p,435.47,312.96,263.79,35.28,14.8
hsa-let-7f-1-3p,0.0,0.0,0.0,1.39,0.63
hsa-let-7f-2-3p,0.0,0.0,0.97,2.69,1.19
hsa-let-7f-5p,21817.64,48324.67,50507.42,112115.23,16341.72
hsa-let-7g-3p,30.79,3.63,3.24,3.33,0.7
hsa-let-7g-5p,10350.18,8891.1,45647.53,13488.53,2409.27
hsa-let-7i-3p,0.0,3.63,5.84,15.65,1.33
hsa-let-7i-5p,7759.34,7582.45,9445.28,17838.32,4028.69
hsa-miR-1-3p,211.14,50.75,23.04,0.42,2.3
hsa-miR-100-3p,0.0,14.5,0.0,0.0,0.0
hsa-miR-100-5p,334.3,94.25,38.29,2.13,5.31
hsa-miR-101-2-5p,0.0,0.0,0.0,0.19,0.0
hsa-miR-101-3p,593.83,5551.2,729.73,11551.19,2311.45
hsa-miR-101-5p,0.0,35.04,5.84,48.2,8.94
hsa-miR-10395-3p,0.0,9.67,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,6.04,1.3,2.41,1.12
hsa-miR-10399-5p,0.0,0.0,0.0,0.14,0.0
hsa-miR-103a-2-5p,0.0,0.0,1.3,0.56,0.07
hsa-miR-103a-3p,2276.34,4.83,2682.06,5279.84,693.29
hsa-miR-10401-3p,0.0,0.0,1.3,0.46,0.21
hsa-miR-106a-3p,0.0,0.0,0.32,2.13,0.21
hsa-miR-106a-5p,0.0,8.46,24.34,47.37,10.33
hsa-miR-106b-3p,1671.51,2628.18,1152.51,4330.29,1936.46
hsa-miR-106b-5p,292.51,470.05,61.65,1078.45,151.02
hsa-miR-107,420.08,142.59,303.05,260.72,994.9
hsa-miR-10a-3p,48.39,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,33447.85,12959.64,1542.2,19.03,28.0
hsa-miR-10b-5p,31325.47,11342.86,1226.82,8.33,21.85
hsa-miR-11401,0.0,0.0,1.95,4.49,1.12
hsa-miR-1179,0.0,0.0,1.3,0.32,0.0
hsa-miR-1180-3p,0.0,106.34,52.89,153.91,37.84
hsa-miR-12129,39.59,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.97,0.0,0.0
hsa-miR-122-5p,0.0,15.71,0.0,0.37,0.42
hsa-miR-1224-5p,0.0,0.0,0.0,0.09,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.32,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.19,0.07
hsa-miR-1233-3p,0.0,0.0,0.65,0.09,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-124-3p,0.0,0.0,5.19,0.0,0.0
hsa-miR-1246,0.0,9.67,6.49,0.05,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.7
hsa-miR-1249-3p,37.39,26.58,14.6,0.14,0.28
hsa-miR-1250-5p,0.0,0.0,0.97,0.0,0.0
hsa-miR-1255a,0.0,3.63,0.32,11.48,1.4
hsa-miR-1255b-5p,17.59,0.0,3.89,8.94,1.05
hsa-miR-1256,0.0,0.0,0.0,0.0,0.14
hsa-miR-125a-3p,0.0,0.0,0.97,0.05,0.63
hsa-miR-125a-5p,1253.63,530.47,178.78,0.56,1.4
hsa-miR-125b-1-3p,57.18,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,393.69,62.83,6.81,0.69,0.42
hsa-miR-126-3p,39.59,647.68,316.68,820.79,121.2
hsa-miR-126-5p,4.4,265.84,385.79,1039.42,310.83
hsa-miR-1260b,59.38,10.88,8.44,0.0,1.19
hsa-miR-1262,0.0,0.0,1.62,0.0,0.0
hsa-miR-1269b,0.0,0.0,10.06,0.0,0.0
hsa-miR-127-3p,0.0,0.0,2.27,0.42,0.35
hsa-miR-127-5p,0.0,0.0,0.65,0.0,0.0
hsa-miR-1270,0.0,0.0,7.46,6.67,4.19
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.07
hsa-miR-1273h-3p,46.19,0.0,7.46,0.23,0.0
hsa-miR-1273h-5p,0.0,0.0,1.95,0.0,0.0
hsa-miR-1275,0.0,1.21,2.27,0.0,0.0
hsa-miR-1276,0.0,0.0,0.0,0.05,0.0
hsa-miR-1277-3p,0.0,0.0,0.0,0.74,0.0
hsa-miR-1278,0.0,0.0,0.0,1.67,0.77
hsa-miR-128-1-5p,0.0,0.0,0.0,0.56,0.63
hsa-miR-128-3p,437.67,398.76,99.61,387.64,77.5
hsa-miR-1283,37.39,24.17,27.26,1.16,1.19
hsa-miR-1284,0.0,0.0,0.65,0.51,0.0
hsa-miR-1285-3p,0.0,4.83,4.54,5.42,1.68
hsa-miR-1285-5p,0.0,0.0,0.32,0.56,0.0
hsa-miR-1286,0.0,0.0,0.0,0.05,0.0
hsa-miR-1287-5p,0.0,7.25,2.92,6.76,1.12
hsa-miR-1288-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-1289,0.0,0.0,0.0,0.65,0.63
hsa-miR-129-1-3p,0.0,0.0,1.3,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.19,0.0
hsa-miR-129-5p,0.0,10.88,0.65,0.23,0.0
hsa-miR-1292-5p,0.0,0.0,0.97,1.81,0.35
hsa-miR-1294,0.0,51.96,3.89,29.45,2.86
hsa-miR-1296-5p,79.18,0.0,0.0,0.14,0.0
hsa-miR-1299,0.0,12.08,4.22,10.56,3.0
hsa-miR-1301-3p,0.0,0.0,5.84,0.79,0.21
hsa-miR-1302,0.0,0.0,0.0,0.19,0.0
hsa-miR-1303,30.79,0.0,1.95,8.57,0.84
hsa-miR-1304-5p,0.0,0.0,0.0,0.42,0.0
hsa-miR-1306-3p,0.0,0.0,1.3,1.57,0.63
hsa-miR-1306-5p,129.76,4.83,6.16,1.34,1.05
hsa-miR-1307-3p,184.75,132.92,48.02,8.15,2.79
hsa-miR-1307-5p,76.98,155.88,6.81,58.76,31.91
hsa-miR-130a-3p,35.19,84.59,24.98,108.76,9.57
hsa-miR-130a-5p,0.0,0.0,0.0,0.14,0.0
hsa-miR-130b-3p,63.78,16.92,9.73,60.61,7.61
hsa-miR-130b-5p,404.68,132.92,30.5,14.58,8.38
hsa-miR-132-3p,37.39,18.13,8.76,7.45,1.82
hsa-miR-132-5p,0.0,0.0,0.0,2.22,0.21
hsa-miR-1323,235.33,53.17,57.11,4.44,5.66
hsa-miR-133a-3p,134.16,54.38,9.09,0.09,0.0
hsa-miR-134-5p,0.0,0.0,2.27,0.19,0.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.19,0.0
hsa-miR-135b-3p,0.0,0.0,0.32,0.0,0.0
hsa-miR-135b-5p,83.58,73.71,3.24,0.19,0.0
hsa-miR-136-3p,0.0,13.29,2.27,1.11,1.75
hsa-miR-136-5p,15.4,0.0,0.0,0.93,0.35
hsa-miR-137-3p,0.0,0.0,0.97,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,0.05,0.0
hsa-miR-139-3p,0.0,0.0,0.65,0.0,0.0
hsa-miR-139-5p,0.0,0.0,1.62,0.05,0.0
hsa-miR-140-3p,536.64,711.72,273.53,1004.97,283.04
hsa-miR-140-5p,26.39,15.71,3.89,28.06,2.58
hsa-miR-141-3p,2.2,32.63,18.82,8.24,4.12
hsa-miR-142-3p,24.19,44.71,38.94,74.08,15.92
hsa-miR-142-5p,497.06,4727.1,3945.21,11757.37,3959.36
hsa-miR-143-3p,831.36,257.38,253.73,47.09,95.72
hsa-miR-144-3p,153.96,6783.72,927.66,20072.55,2797.66
hsa-miR-144-5p,171.55,6981.9,8186.02,29977.58,7277.02
hsa-miR-145-5p,0.0,0.0,4.22,0.19,0.42
hsa-miR-1468-5p,0.0,0.0,3.89,2.82,3.0
hsa-miR-146a-3p,0.0,0.0,0.32,0.0,0.0
hsa-miR-146a-5p,662.01,356.47,488.33,79.5,15.36
hsa-miR-146b-3p,2.2,0.0,0.32,0.19,0.0
hsa-miR-146b-5p,2377.51,1338.86,1596.39,190.99,98.58
hsa-miR-147b-3p,4.4,0.0,0.0,0.09,0.0
hsa-miR-147b-5p,0.0,0.0,0.0,0.65,0.14
hsa-miR-148a-3p,83.58,172.8,65.22,69.5,28.42
hsa-miR-148a-5p,0.0,0.0,3.89,3.61,1.26
hsa-miR-148b-3p,428.87,105.13,310.19,44.17,30.3
hsa-miR-148b-5p,32.99,45.92,12.33,54.54,9.91
hsa-miR-149-5p,0.0,0.0,1.62,0.0,0.0
hsa-miR-150-5p,94.57,22.96,13.95,1.11,0.42
hsa-miR-151a-3p,261.72,259.8,353.02,281.47,49.78
hsa-miR-151a-5p,112.17,588.47,518.18,1097.95,413.46
hsa-miR-151b,41.79,65.25,5.52,7.22,16.69
hsa-miR-152-3p,30.79,94.25,27.58,5.14,0.35
hsa-miR-153-3p,0.0,19.33,1.62,0.74,0.0
hsa-miR-1537-3p,0.0,0.0,0.65,1.62,0.0
hsa-miR-1538,0.0,0.0,0.0,0.37,0.0
hsa-miR-154-5p,0.0,0.0,1.95,0.0,0.0
hsa-miR-155-5p,4051.22,1949.08,2782.64,8.75,0.91
hsa-miR-15a-3p,0.0,0.0,0.0,0.42,1.05
hsa-miR-15a-5p,224.33,2403.42,243.03,11881.41,1076.24
hsa-miR-15b-3p,30.79,107.54,127.52,197.94,52.22
hsa-miR-15b-5p,151.76,398.76,88.58,819.81,80.29
hsa-miR-16-1-3p,0.0,0.0,0.0,4.68,1.68
hsa-miR-16-2-3p,68.18,2291.05,2114.24,2376.74,1051.52
hsa-miR-16-5p,4312.94,21106.4,3693.43,48634.46,3738.87
hsa-miR-17-3p,0.0,29.0,16.22,50.7,14.31
hsa-miR-17-5p,1695.71,735.89,258.28,282.53,65.35
hsa-miR-181a-2-3p,230.93,76.13,56.46,6.57,4.05
hsa-miR-181a-3p,48.39,50.75,7.46,4.12,1.68
hsa-miR-181a-5p,4946.36,4409.3,3089.59,5311.1,2356.07
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.14,0.35
hsa-miR-181b-3p,0.0,0.0,0.65,0.23,0.0
hsa-miR-181b-5p,2819.58,1100.81,751.79,64.73,12.22
hsa-miR-181c-5p,19.79,16.92,24.66,75.52,33.23
hsa-miR-181d-5p,0.0,0.0,13.63,0.51,0.07
hsa-miR-182-3p,30.79,0.0,0.0,1.44,0.28
hsa-miR-182-5p,6989.56,5905.25,2121.7,2800.63,2755.0
hsa-miR-183-3p,0.0,0.0,0.0,1.39,0.07
hsa-miR-183-5p,411.28,165.55,248.87,50.01,132.23
hsa-miR-184,19.79,12.08,5.84,0.65,0.56
hsa-miR-1843,32.99,35.04,25.31,44.26,22.27
hsa-miR-185-3p,0.0,14.5,3.57,1.94,1.33
hsa-miR-185-5p,178.15,1124.98,617.79,4406.04,461.63
hsa-miR-186-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-186-5p,994.11,1182.98,448.09,2146.67,1250.78
hsa-miR-187-3p,0.0,0.0,0.65,0.0,0.0
hsa-miR-188-3p,0.0,0.0,0.0,0.09,0.56
hsa-miR-188-5p,19.79,0.0,0.0,0.65,0.14
hsa-miR-18a-3p,57.18,70.08,14.93,9.31,4.12
hsa-miR-18a-5p,618.02,395.13,41.53,89.55,17.38
hsa-miR-18b-3p,0.0,0.0,2.6,1.71,0.84
hsa-miR-18b-5p,0.0,15.71,1.95,40.37,11.24
hsa-miR-1908-5p,0.0,0.0,2.92,1.99,0.49
hsa-miR-190a-3p,0.0,0.0,0.0,0.09,0.0
hsa-miR-190a-5p,294.71,454.34,74.3,322.44,68.28
hsa-miR-190b-5p,0.0,16.92,12.98,1.39,0.56
hsa-miR-191-3p,0.0,0.0,0.65,0.05,0.0
hsa-miR-191-5p,4783.61,2270.51,1723.9,592.61,1352.86
hsa-miR-1913,0.0,0.0,0.97,0.0,0.0
hsa-miR-192-3p,0.0,0.0,0.0,0.23,0.0
hsa-miR-192-5p,2681.02,3138.11,1532.79,7282.38,4382.03
hsa-miR-193a-3p,17.59,16.92,0.0,0.32,0.0
hsa-miR-193a-5p,41.79,0.0,13.95,0.79,0.0
hsa-miR-193b-3p,17.59,18.13,5.19,1.11,3.21
hsa-miR-193b-5p,0.0,0.0,0.32,0.19,0.0
hsa-miR-194-3p,0.0,4.83,0.65,0.14,0.0
hsa-miR-194-5p,0.0,45.92,12.98,84.78,4.33
hsa-miR-195-3p,0.0,0.0,0.0,0.0,0.07
hsa-miR-195-5p,0.0,0.0,0.97,0.37,0.21
hsa-miR-196a-5p,26.39,7.25,2.92,0.05,0.0
hsa-miR-196b-3p,0.0,0.0,0.0,0.42,0.21
hsa-miR-196b-5p,1422.99,534.09,107.07,16.99,1.47
hsa-miR-197-3p,127.56,94.25,48.67,9.45,10.05
hsa-miR-197-5p,0.0,0.0,1.3,3.01,0.91
hsa-miR-1976,0.0,0.0,1.62,3.01,1.75
hsa-miR-199a-3p,241.93,123.25,67.81,6.99,10.4
hsa-miR-199a-5p,0.0,0.0,8.11,0.23,0.07
hsa-miR-199b-3p,0.0,12.08,23.69,16.39,0.49
hsa-miR-199b-5p,0.0,0.0,1.62,0.37,0.07
hsa-miR-19a-3p,879.74,1062.15,147.63,597.2,172.94
hsa-miR-19a-5p,0.0,0.0,2.27,1.39,0.7
hsa-miR-19b-3p,2865.76,3315.74,300.78,2517.87,698.25
hsa-miR-200a-3p,334.3,204.21,18.49,0.56,0.56
hsa-miR-200a-5p,2.2,14.5,2.27,0.0,0.0
hsa-miR-200b-3p,508.05,131.71,16.55,0.28,0.0
hsa-miR-200c-3p,0.0,0.0,2.92,0.83,0.63
hsa-miR-202-5p,0.0,8.46,0.0,1.11,0.21
hsa-miR-203a-3p,171.55,41.08,7.14,0.19,0.0
hsa-miR-204-5p,0.0,0.0,1.3,0.0,0.0
hsa-miR-205-5p,59.38,35.04,9.73,0.32,0.42
hsa-miR-20a-3p,0.0,0.0,0.32,1.25,0.28
hsa-miR-20a-5p,3226.46,1854.83,384.17,507.32,106.82
hsa-miR-20b-3p,0.0,0.0,2.27,4.77,2.51
hsa-miR-20b-5p,0.0,14.5,15.25,49.45,9.77
hsa-miR-21-3p,0.0,0.0,1.3,5.83,2.93
hsa-miR-21-5p,127877.31,51969.08,9886.88,5527.69,653.63
hsa-miR-210-3p,837.96,355.26,67.81,71.26,12.64
hsa-miR-210-5p,0.0,0.0,0.32,0.0,0.28
hsa-miR-211-5p,0.0,0.0,3.89,0.0,0.0
hsa-miR-2110,0.0,15.71,13.3,11.3,2.79
hsa-miR-2114-3p,0.0,0.0,0.0,0.09,0.14
hsa-miR-2115-3p,0.0,0.0,1.3,0.05,0.0
hsa-miR-2115-5p,0.0,14.5,0.0,0.0,0.0
hsa-miR-2116-3p,0.0,0.0,2.92,0.0,0.0
hsa-miR-2116-5p,0.0,0.0,2.92,0.0,0.0
hsa-miR-212-3p,0.0,8.46,5.19,0.23,0.0
hsa-miR-212-5p,0.0,0.0,1.62,0.0,0.0
hsa-miR-214-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-214-5p,0.0,12.08,0.0,0.0,0.0
hsa-miR-215-5p,0.0,1.21,0.0,15.23,0.42
hsa-miR-218-5p,0.0,0.0,2.92,0.51,0.07
hsa-miR-219a-1-3p,72.58,6.04,1.62,0.14,0.28
hsa-miR-219a-5p,0.0,0.0,0.0,0.46,0.0
hsa-miR-219b-3p,0.0,0.0,0.0,0.6,0.0
hsa-miR-22-3p,848.95,8071.83,1794.31,6998.04,2290.02
hsa-miR-22-5p,0.0,14.5,5.52,52.14,7.89
hsa-miR-221-3p,10512.93,4400.84,2049.02,513.39,150.25
hsa-miR-221-5p,54.98,18.13,1.95,0.19,0.42
hsa-miR-222-3p,4598.86,1738.83,373.14,14.31,3.28
hsa-miR-222-5p,43.99,6.04,0.97,0.14,0.0
hsa-miR-223-3p,43.99,96.67,41.21,74.82,3.14
hsa-miR-223-5p,0.0,0.0,0.65,0.51,0.07
hsa-miR-2277-3p,0.0,0.0,0.0,0.32,0.0
hsa-miR-2277-5p,0.0,0.0,0.0,0.23,0.0
hsa-miR-2278,0.0,0.0,0.0,0.05,0.0
hsa-miR-23a-3p,365.09,177.63,48.99,4.95,7.05
hsa-miR-23a-5p,0.0,0.0,0.32,0.0,0.0
hsa-miR-23b-3p,120.96,76.13,21.09,23.57,1.68
hsa-miR-23b-5p,0.0,0.0,0.0,0.14,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,0.19,0.0
hsa-miR-24-2-5p,0.0,0.0,0.97,0.69,0.07
hsa-miR-24-3p,1548.35,587.26,68.14,49.68,41.12
hsa-miR-25-3p,8914.0,8375.13,1928.97,8711.52,2234.79
hsa-miR-25-5p,15.4,10.88,30.82,4.82,0.91
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.05,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.32,0.56,0.0
hsa-miR-26a-5p,2964.74,3417.24,1402.35,5320.17,1094.46
hsa-miR-26b-3p,65.98,55.58,8.44,8.94,9.15
hsa-miR-26b-5p,2982.33,4045.58,963.02,7738.82,735.04
hsa-miR-27a-3p,536.64,373.38,128.49,72.65,11.17
hsa-miR-27a-5p,2.2,0.0,0.0,0.0,0.0
hsa-miR-27b-3p,732.39,317.8,81.77,207.94,58.72
hsa-miR-27b-5p,0.0,0.0,0.32,0.19,0.0
hsa-miR-28-3p,593.83,263.42,113.24,41.12,8.17
hsa-miR-28-5p,266.12,60.42,65.54,21.3,1.33
hsa-miR-296-3p,0.0,0.0,0.0,0.14,0.0
hsa-miR-296-5p,0.0,0.0,2.92,1.06,1.47
hsa-miR-299-3p,0.0,0.0,1.62,0.0,0.0
hsa-miR-29a-3p,167.15,68.88,34.39,17.73,3.28
hsa-miR-29a-5p,0.0,0.0,0.0,0.05,0.0
hsa-miR-29b-1-5p,0.0,0.0,0.97,0.0,0.0
hsa-miR-29b-2-5p,0.0,7.25,5.19,3.47,0.7
hsa-miR-29b-3p,83.58,7.25,6.16,33.52,3.42
hsa-miR-29c-3p,120.96,26.58,11.36,90.47,10.19
hsa-miR-29c-5p,0.0,0.0,5.84,5.05,0.91
hsa-miR-301a-3p,263.92,136.54,19.14,77.65,17.04
hsa-miR-301a-5p,0.0,0.0,1.62,1.06,0.7
hsa-miR-301b-3p,0.0,21.75,0.65,1.94,0.14
hsa-miR-3064-3p,0.0,0.0,0.97,0.0,0.28
hsa-miR-3064-5p,0.0,3.63,0.0,0.05,0.07
hsa-miR-3065-3p,21.99,0.0,0.0,0.0,0.0
hsa-miR-3065-5p,0.0,9.67,2.92,0.05,0.0
hsa-miR-3074-3p,0.0,0.0,0.0,0.0,0.35
hsa-miR-3074-5p,0.0,0.0,0.65,0.28,0.84
hsa-miR-30a-3p,79.18,55.58,11.03,0.14,0.21
hsa-miR-30a-5p,8603.89,3670.99,599.62,107.6,18.22
hsa-miR-30b-3p,0.0,0.0,2.27,1.94,0.63
hsa-miR-30b-5p,1955.23,1039.19,344.26,1593.37,296.03
hsa-miR-30c-1-3p,30.79,18.13,10.06,0.37,0.0
hsa-miR-30c-2-3p,61.58,39.88,2.92,0.0,0.0
hsa-miR-30c-5p,12672.7,6793.39,6967.96,987.05,364.59
hsa-miR-30d-3p,30.79,7.25,4.54,12.5,1.61
hsa-miR-30d-5p,5183.89,4678.76,1073.02,3351.11,931.09
hsa-miR-30e-3p,697.2,250.13,331.28,7.36,3.63
hsa-miR-30e-5p,5672.15,4741.6,3593.16,5947.7,1170.56
hsa-miR-31-3p,0.0,18.13,0.0,0.0,0.0
hsa-miR-31-5p,3378.21,1201.11,123.95,0.0,0.0
hsa-miR-3117-3p,0.0,0.0,0.0,1.11,0.0
