miRNA,SRR20232393,SRR20232394,SRR20232395,SRR20232396,SRR20232397,SRR20232398,SRR20232399,SRR20232400,SRR20232401,SRR20232402,SRR20232403,SRR20232404,SRR20232405,SRR20232406,SRR20232407,SRR20232408,SRR20232409,SRR20232410,SRR20232411,SRR20232412,SRR20232413,SRR20232414,SRR20232415,SRR20232416,SRR20232417,SRR20232418,SRR20232419,SRR20232420,SRR20232421,SRR20232422,SRR20232423,SRR20232424,SRR20232425,SRR20232426,SRR20232427,SRR20232428,SRR20232429,SRR20232430,SRR20232431,SRR20232432
hsa-miR-202-3p,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.49,0.0,0.0
hsa-miR-203a-3p,0.0,0.0,2.76,0.0,2.29,0.0,0.0,0.0,3.62,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,4.8,0.33,0.0,2.32,0.0,0.0,0.6,0.0,0.0,0.0
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.43,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0
hsa-miR-206,19.91,2.22,0.55,4.58,0.0,0.0,0.0,24.64,0.0,36.73,6.26,4.84,18.71,1.15,23.99,10.23,9.21,3.54,4.05,6.16,0.0,13.97,8.23,16.43,22.61,7.53,17.97,13.47,11.47,10.32,20.11,28.65,12.33,11.02,10.19,9.84,65.87,4.14,11.75,11.69
hsa-miR-20a-5p,0.77,0.55,0.55,2.03,1.15,0.0,1.17,0.0,1.21,0.0,0.0,0.61,0.0,0.0,0.49,0.0,0.92,0.44,0.0,3.98,0.0,0.0,8.23,0.0,1.44,0.94,1.71,0.42,0.0,1.03,7.81,4.33,1.59,0.0,0.0,0.58,0.6,0.83,0.0,2.12
hsa-miR-20b-5p,0.0,9.98,0.0,0.0,1.15,0.0,0.0,0.0,0.0,2.94,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.57,0.48,0.0,0.0,0.42,0.0,0.52,1.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-21-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-21-5p,26.81,51.0,33.16,43.72,73.28,3.39,10.52,32.86,31.33,4.41,20.48,19.98,4.4,9.16,29.38,20.47,24.86,19.49,4.05,13.4,3.22,15.08,97.84,3.97,59.65,28.73,69.32,22.73,9.04,22.2,39.63,105.93,35.01,6.38,9.81,4.63,3.59,12.43,6.91,13.81
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
hsa-miR-2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2115-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-212-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.66,0.0,0.0
hsa-miR-215-5p,1.53,0.0,1.66,1.02,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.98,0.0,4.14,0.0,8.69,11.95,0.0,0.0,16.47,0.0,5.29,0.0,3.0,0.0,0.0,9.29,0.0,4.33,5.97,0.0,0.0,0.0,0.0,1.66,1.38,3.19
hsa-miR-217-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.83,1.38,1.06
hsa-miR-218-5p,0.0,6.1,2.21,4.58,10.31,0.0,2.34,0.0,0.0,17.63,0.0,0.0,0.0,0.76,0.0,0.0,5.53,0.0,1.16,4.35,0.0,0.0,17.92,0.0,11.06,6.12,0.43,0.0,0.0,2.06,6.0,11.99,6.37,0.0,0.0,0.0,49.1,2.49,4.15,0.0
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,1.06
hsa-miR-22-3p,0.77,0.0,6.63,6.1,19.47,0.0,0.0,0.0,10.85,0.0,0.0,1.21,0.55,0.0,0.49,0.0,2.3,0.0,0.0,0.36,0.0,0.0,0.0,1.7,0.48,0.47,8.13,0.42,0.7,8.26,0.3,13.66,0.0,1.16,0.0,1.16,0.0,0.0,0.0,0.0
hsa-miR-22-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,0.0,4.99,2.21,1.02,19.47,0.0,23.38,0.0,0.0,0.0,2.84,0.61,0.0,5.73,0.49,0.0,0.92,0.44,0.0,0.72,2.58,0.56,0.97,17.56,10.58,0.0,20.97,5.47,0.35,2.06,26.42,20.32,3.18,16.81,0.0,0.0,0.0,4.14,0.0,0.0
hsa-miR-222-3p,6.13,0.0,2.76,0.51,2.29,24.88,0.0,34.5,0.0,0.0,11.95,0.0,11.0,0.0,1.47,0.0,0.0,0.89,0.0,0.0,0.0,0.0,14.05,0.0,8.66,15.54,6.85,8.0,0.0,1.55,2.1,5.0,0.0,0.0,0.0,0.0,49.7,0.0,0.0,0.0
hsa-miR-223-3p,1300.49,2647.45,1212.18,5776.95,10446.33,1005.33,2289.58,3676.89,1297.87,1531.02,1186.07,1766.45,675.07,432.16,832.33,660.97,2907.27,1297.29,399.11,2629.74,560.65,889.94,4657.48,644.18,3769.78,1888.79,5326.33,3253.8,894.63,1363.81,9159.3,7218.53,1906.5,689.97,273.19,1235.94,1355.68,6682.8,2799.06,4589.69
hsa-miR-223-5p,68.93,108.65,50.3,459.55,596.57,75.77,195.18,353.23,20.49,102.85,27.87,147.76,36.31,30.16,26.93,62.0,109.13,59.79,19.69,105.77,32.87,81.56,133.68,49.86,127.47,101.24,210.09,90.49,53.2,82.08,542.77,265.84,88.72,18.55,10.19,46.29,58.68,699.53,155.58,293.23
