miRNA,SRR11057475,SRR11057476,SRR11057477,SRR11057478,SRR11057479,SRR11057480,SRR11057481,SRR11057482,SRR11057483,SRR11057484,SRR11057485,SRR11057486,SRR11057487,SRR11057488,SRR11057489,SRR11057490,SRR11057491,SRR11057492,SRR11057493,SRR11057494,SRR11057495,SRR11057496,SRR11057497,SRR11057498,SRR11057499,SRR11057500,SRR11057501,SRR11057502,SRR11057503,SRR11057504,SRR11057505,SRR11057506,SRR11057507,SRR11057508,SRR11057509,SRR11057510,SRR11057511,SRR11057512,SRR11057513,SRR11057514,SRR11057515,SRR11057516,SRR11057517,SRR11057518,SRR11057519,SRR11057520
hsa-miR-1909-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.31,0.55,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190b-5p,1.18,0.89,0.99,0.44,0.19,0.52,0.86,4.72,1.54,0.47,3.84,3.97,0.61,0.0,1.02,0.36,0.4,2.67,0.0,1.93,5.82,3.41,2.07,0.7,0.5,3.89,0.87,2.12,2.14,2.01,11.04,13.55,1.98,0.92,11.16,8.97,2.19,2.73,2.38,2.45,0.71,0.46,0.84,0.41,0.92,0.91
hsa-miR-191-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.25,0.18,0.09,0.0,0.31,0.33,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.26,0.0
hsa-miR-191-5p,92.35,45.03,63.87,54.94,51.33,71.65,71.69,416.61,124.7,68.21,388.33,348.93,29.64,39.28,29.18,38.69,46.05,63.33,65.94,50.65,147.73,69.31,88.78,61.26,33.55,165.14,38.7,47.58,64.58,60.44,449.11,585.15,50.32,90.15,299.81,274.11,48.22,38.79,56.54,65.25,24.39,20.97,29.51,22.01,59.33,24.59
hsa-miR-1910-3p,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1910-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1911-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-5p,43.99,25.13,46.61,37.95,26.98,42.16,47.42,291.48,78.51,45.04,250.46,234.18,22.0,38.03,33.53,27.97,40.87,78.04,56.44,57.27,160.14,51.13,53.1,24.36,32.06,144.94,31.77,41.72,52.6,46.27,420.63,321.97,33.88,30.31,177.51,200.05,34.5,27.49,28.52,36.81,13.91,14.75,18.71,9.78,20.39,11.06
hsa-miR-193a-3p,1.01,0.38,0.4,0.0,0.37,1.03,0.12,1.24,1.54,0.12,2.88,3.25,0.0,0.0,0.0,0.0,0.2,0.33,1.78,0.41,0.89,1.14,0.0,0.0,0.33,0.56,0.58,0.0,0.64,0.44,4.27,8.27,1.17,0.31,1.33,0.44,0.12,0.38,0.3,0.41,0.47,0.58,0.96,0.0,1.32,0.91
hsa-miR-193a-5p,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-3p,0.67,0.26,1.19,0.22,0.94,0.26,0.12,1.74,0.0,0.12,4.16,2.53,0.0,0.0,0.26,0.18,0.2,0.33,2.38,0.0,0.25,1.14,0.41,0.7,0.33,1.3,0.29,0.0,0.86,1.31,9.08,15.14,1.08,1.38,1.23,0.44,0.24,0.0,0.1,0.31,0.59,0.35,0.6,1.02,1.97,0.65
hsa-miR-193b-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.13,0.0
hsa-miR-194-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,1.52,0.77,1.39,0.22,0.37,1.55,2.71,15.39,4.62,2.01,12.8,9.74,1.22,1.25,1.02,0.91,1.59,1.67,4.16,1.38,6.46,1.14,1.24,2.09,1.49,6.3,1.88,1.14,1.28,0.79,5.16,9.15,1.26,0.77,18.13,18.93,2.55,2.54,2.48,3.77,0.71,0.58,1.32,0.41,1.71,0.65
hsa-miR-195-3p,0.0,0.0,0.4,0.0,0.37,0.0,0.0,0.99,0.0,0.0,1.28,1.08,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.14,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,1.25,1.58,0.09,0.0,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.1,0.0,0.0
hsa-miR-195-5p,0.51,0.64,0.79,0.88,0.75,1.03,0.62,2.23,1.54,0.71,4.48,3.97,0.31,1.25,0.51,0.36,0.2,0.5,0.59,0.28,0.89,4.55,0.0,1.39,0.5,3.52,0.14,0.81,1.07,1.31,4.81,10.03,0.81,1.38,2.15,2.44,0.61,0.28,0.3,0.51,1.18,0.81,1.08,0.41,1.05,0.26
