miRNA,SRR22806505,SRR22806506,SRR22806507,SRR22806508,SRR22806509,SRR22806510,SRR22806511,SRR22806512,SRR22806513,SRR22806514,SRR22806515,SRR22806516,SRR22806517,SRR22806518,SRR22806519,SRR22806520,SRR22806521,SRR22806522,SRR22806523,SRR22806524,SRR22806525,SRR22806526,SRR22806527,SRR22806528
hsa-miR-377-5p,1.44,0.0,0.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,1.19
hsa-miR-378a-3p,51.33,148.03,84.55,279.28,32.55,16.86,55.38,186.02,14.68,43.66,300.08,132.17,159.67,457.23,331.74,28.91,173.61,67.79,11.42,168.12,177.16,27.85,45.2,230.5
hsa-miR-378a-5p,0.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,5.16,0.0,2.39,0.0,4.18
hsa-miR-378c,0.0,0.0,0.49,2.79,1.76,1.23,1.63,7.68,0.0,0.0,1.91,3.73,8.12,14.2,20.06,0.0,0.97,0.0,0.0,9.86,14.95,3.58,4.5,6.27
hsa-miR-378d,0.0,0.0,0.0,7.8,1.76,0.0,0.0,6.32,0.0,1.62,21.25,3.73,1.35,11.64,4.75,0.0,7.44,1.67,6.98,3.64,0.35,0.0,0.0,7.46
hsa-miR-378e,0.0,0.0,0.0,0.14,0.0,0.61,0.0,0.0,0.0,7.28,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.15,1.04,0.0,0.0,0.3
hsa-miR-378f,0.36,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-378h,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378i,0.0,0.0,0.0,0.14,0.0,0.61,0.0,0.45,0.0,0.4,0.24,0.0,0.0,0.28,0.18,0.0,0.32,0.42,0.0,0.61,0.17,0.0,0.0,0.3
hsa-miR-379-3p,0.0,0.0,4.4,2.93,0.0,0.0,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.85,4.05,0.0,0.0,0.0,1.27,3.79,6.43,0.8,0.0,0.0
hsa-miR-379-5p,57.07,56.85,83.08,258.79,29.03,18.08,44.52,138.16,23.07,231.65,154.22,27.18,189.89,117.86,269.09,34.8,65.95,100.85,61.22,203.01,148.82,60.86,62.95,151.68
hsa-miR-380-5p,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,6.86,1.61,1.29,0.0,0.0,2.88,0.0,0.0,0.0,3.58
hsa-miR-381-3p,78.61,321.27,295.66,1103.19,66.86,81.53,160.18,327.34,40.89,557.5,672.5,107.12,464.13,392.48,1345.26,92.62,552.5,220.95,130.69,905.68,510.8,60.07,452.95,559.84
hsa-miR-382-3p,0.0,6.44,18.08,157.06,8.8,0.0,1.09,12.64,3.15,23.85,44.17,7.99,0.0,0.0,158.57,25.7,25.86,10.88,6.03,137.77,11.47,1.99,14.44,83.3
hsa-miR-382-5p,159.02,325.56,320.1,858.05,62.47,52.41,109.68,215.82,41.94,508.59,362.39,28.25,287.32,337.1,991.17,88.88,279.32,272.01,164.0,878.82,366.15,73.19,218.19,607.91
hsa-miR-383-5p,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,5.96,3.17,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,1.61,0.0,0.0,0.0,3.19,2.43,0.4,0.0,2.99
hsa-miR-3910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3911,0.0,0.0,2.44,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0
hsa-miR-3912-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3913-5p,6.46,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1.58,2.68,6.47,0.0,0.0,4.86,1.56,0.0,4.73,5.08
hsa-miR-3916,1.44,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,1.06,0.0,0.0,0.0,0.0,1.21,0.17,0.0,0.0,0.6
hsa-miR-3918,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3922-3p,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3928-3p,0.72,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.52,0.0,0.0,0.0,0.0
hsa-miR-3929,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,15.36,0.0,0.0,6.31,0.0,1.41,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0
hsa-miR-3934-3p,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3934-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,2.99
hsa-miR-3936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
hsa-miR-3940-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,0.0,2.14,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.84,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0.0,1.29,3.35,0.0,0.0,0.17,1.59,0.0,0.0
hsa-miR-3944-3p,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,1.08,0.0,1.47,8.36,1.76,0.61,0.54,0.0,3.15,5.26,4.54,0.0,1.8,0.85,3.52,3.75,0.0,2.09,4.44,8.04,3.13,0.4,0.0,0.0
hsa-miR-409-3p,276.03,938.59,491.63,2418.76,168.04,139.76,192.21,735.05,110.09,896.7,1386.07,83.67,815.04,614.56,1533.57,316.42,602.29,541.08,513.89,2789.55,1364.63,172.24,852.66,924.1
hsa-miR-409-5p,0.0,0.0,4.4,16.03,0.0,0.0,0.0,0.0,0.0,5.26,0.72,0.0,0.0,5.11,20.59,3.21,4.53,2.51,6.34,20.03,3.65,2.78,5.92,8.06
hsa-miR-410-3p,4.67,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,25.52,1.07,8.08,6.7,0.0,17.9,9.04,0.0,5.68,5.08
hsa-miR-411-3p,0.36,0.0,2.44,25.09,1.76,3.07,0.0,0.0,0.0,12.94,11.94,2.66,0.0,6.25,27.81,1.07,0.0,12.97,10.15,19.88,17.91,2.78,3.79,5.37
hsa-miR-411-5p,18.67,1.61,36.65,101.32,10.56,9.5,15.75,19.41,11.53,120.48,51.09,14.92,64.95,49.98,114.57,17.13,15.19,54.82,38.38,60.39,58.76,17.1,22.96,59.42
hsa-miR-412-5p,0.0,2.68,0.0,6.97,1.76,2.76,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,5.28,0.0,7.44,0.0,0.0,0.15,0.0,3.18,0.0,2.99
hsa-miR-421,0.0,0.0,0.0,9.89,0.0,1.53,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,4.05,0.54,0.0,0.42,3.49,9.41,3.48,3.58,0.0,1.79
