miRNA,SRR24055586,SRR24055587,SRR24055588,SRR24055589,SRR24055590,SRR24055591,SRR24055592,SRR24055593,SRR24055594,SRR24055595,SRR24055596,SRR24055597,SRR24055598,SRR24055599,SRR24055600,SRR24055601,SRR24055602,SRR24055603,SRR24055604,SRR24055605
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
hsa-let-7a-5p,2441.15,1837.38,2082.92,2270.74,1082.75,2694.24,4409.68,8353.66,5363.72,6668.34,1995.31,2133.69,1690.2,2673.52,3013.86,2375.61,1484.1,1325.71,1635.88,386.71
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hsa-let-7b-5p,4229.71,5594.07,5976.14,8500.73,6449.44,4650.21,8895.09,4972.84,6302.73,5563.23,7793.0,11181.63,17810.98,8808.71,12714.52,8939.23,6938.92,7189.44,9244.64,2905.51
hsa-let-7c-5p,145.02,148.24,174.49,407.57,121.05,443.41,454.33,149.07,241.87,263.72,48.94,252.08,227.25,273.02,755.06,89.22,265.37,118.97,374.1,99.28
hsa-let-7d-3p,72.51,15.6,10.91,145.56,6.73,0.0,8.91,83.48,0.0,25.12,67.77,0.0,14.2,15.45,0.0,11.15,0.0,28.33,25.36,3.2
hsa-let-7d-5p,193.36,245.76,196.3,524.02,127.78,270.1,632.5,948.06,384.14,540.0,312.47,423.14,14.2,82.42,358.34,142.2,98.28,73.65,133.15,45.64
hsa-let-7e-5p,96.68,113.13,87.24,291.12,13.45,159.81,93.54,143.1,199.18,263.72,15.06,63.02,28.41,87.57,153.57,66.92,29.49,11.33,177.54,3.2
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,5220.67,2547.37,2464.61,4163.03,2972.53,3907.44,9656.76,16230.3,8579.11,9054.38,2819.79,3772.23,3792.29,3585.3,4683.96,4095.98,4756.99,2470.13,3645.86,809.44
hsa-let-7g-5p,3722.14,1708.65,1548.56,3726.35,1620.77,2104.52,5959.75,9194.39,6032.41,5462.77,3299.79,2556.83,2059.48,3013.51,3276.21,2662.81,2525.92,1444.69,1990.96,416.33
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,3770.48,2648.79,2922.64,2212.52,1896.5,4463.39,8182.41,9039.36,5947.05,4520.91,3621.67,2421.79,4346.22,3914.98,4933.52,3312.48,2860.09,2827.05,2669.41,939.15
hsa-miR-1-3p,459.23,507.13,370.78,1542.94,538.01,513.19,458.79,250.43,1052.83,728.37,272.94,1800.59,1675.99,659.37,806.26,507.47,1100.79,311.6,951.09,76.06
hsa-miR-100-5p,483.4,550.04,676.13,2358.08,1762.0,582.96,966.57,948.06,825.19,2072.08,512.0,2025.66,1931.65,1220.86,1932.45,1171.08,2201.58,1206.74,2764.52,205.76
hsa-miR-101-3p,821.77,784.11,883.33,1426.49,659.07,976.86,3233.77,1502.58,1735.74,1519.53,1739.31,1080.35,1874.84,2328.38,2898.68,1533.55,1326.85,1280.39,1680.27,574.86
