miRNA,SRR11129773,SRR11129774,SRR11129775,SRR11129776,SRR11129777,SRR11129778,SRR11129779,SRR11129780,SRR11129781,SRR11129782,SRR11129783,SRR11129784,SRR11129785,SRR11129786,SRR11129787,SRR11129788
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.01,2.24,0.39,0.72,1.48,3.09,0.95,2.23,5.54,20.8,5.02,7.16,6.7,0.28,1.57,4.28
hsa-let-7a-5p,586.79,318.29,261.99,948.37,862.74,1222.16,539.1,706.57,1210.43,3075.49,819.73,988.42,1814.77,95.17,523.09,3145.07
hsa-let-7b-3p,0.27,0.59,0.13,0.17,0.3,0.11,0.48,0.41,1.62,3.51,0.49,1.14,2.31,0.05,0.34,0.6
hsa-let-7b-5p,1893.9,749.0,677.71,924.58,1407.01,2195.56,576.73,939.47,933.88,5937.4,2692.49,3728.8,5006.29,751.5,728.27,1520.67
hsa-let-7c-3p,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.05,0.0,0.0
hsa-let-7c-5p,21.91,44.31,19.72,41.86,80.16,78.76,41.05,52.71,26.63,108.97,68.38,37.05,243.56,14.73,22.75,38.88
hsa-let-7d-3p,6.54,11.08,2.81,4.84,7.49,7.1,8.03,9.01,21.96,48.26,17.25,25.74,29.0,3.68,7.28,25.97
hsa-let-7d-5p,88.52,63.99,43.15,105.57,119.5,142.52,92.28,162.93,318.55,727.84,184.84,435.63,408.02,32.78,121.13,379.73
hsa-let-7e-3p,0.0,0.59,0.04,0.11,0.0,0.11,0.0,0.17,0.1,0.6,0.37,0.21,0.77,0.0,0.22,0.0
hsa-let-7e-5p,4.94,10.25,3.85,18.79,10.45,17.4,8.03,22.31,10.12,45.11,9.54,10.27,26.48,1.45,10.87,32.05
hsa-let-7f-1-3p,0.09,0.47,0.09,0.22,0.59,0.57,0.4,0.58,0.48,1.09,0.37,1.66,0.88,0.19,0.22,0.98
hsa-let-7f-2-3p,0.05,0.24,0.0,0.06,0.3,0.23,0.08,0.17,0.19,1.81,0.49,0.52,0.88,0.0,0.34,0.75
hsa-let-7f-5p,372.7,205.04,258.92,938.09,946.55,968.36,594.47,682.28,1733.36,3055.05,751.11,840.54,1763.02,67.38,489.92,3945.75
hsa-let-7g-3p,0.05,0.12,0.09,0.17,0.39,0.23,0.0,0.25,0.19,0.24,0.73,0.21,0.44,0.7,0.0,0.3
hsa-let-7g-5p,563.6,437.07,449.35,1258.24,1040.32,1376.93,737.74,1149.0,2140.4,4863.9,2416.14,2395.97,2876.56,272.21,926.83,3496.88
hsa-let-7i-3p,0.27,0.0,0.48,0.22,0.0,0.34,0.16,0.17,1.81,1.81,0.73,1.76,1.32,0.14,0.56,0.83
hsa-let-7i-5p,6183.45,3468.07,5099.39,5817.66,8573.18,8643.48,5046.73,6478.25,10807.02,24417.94,14731.61,16951.5,20392.65,3911.44,6354.81,16173.45
hsa-miR-1-3p,15.51,28.64,18.03,9.95,60.15,10.3,8.59,10.0,20.91,19.35,10.52,5.91,15.93,21.96,51.66,16.14
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-100-5p,112.03,100.4,85.01,111.63,18.34,20.61,32.77,56.26,27.02,24.43,35.97,35.28,92.17,103.37,10.2,11.48
hsa-miR-101-3p,68.8,141.65,143.13,161.05,196.8,272.57,110.25,132.77,614.86,1411.06,962.37,900.11,822.3,129.02,83.15,294.77
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.12,0.37,0.21,0.11,0.05,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.34,0.0
hsa-miR-10395-3p,0.0,0.24,0.04,0.39,0.0,0.11,0.0,0.08,0.0,0.12,0.37,0.52,0.44,0.0,0.0,0.3
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-10399-3p,1.74,3.3,1.38,0.95,3.85,1.6,1.35,1.49,2.58,7.26,3.18,2.91,5.38,1.54,1.23,3.83
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.17,0.1,0.0,0.0,0.25,0.0,0.0,0.37,0.0,0.0,0.0,0.11,0.3
hsa-miR-103a-3p,31.11,37.12,52.45,21.46,58.47,15.57,91.96,36.35,194.07,208.51,110.59,23.66,49.55,21.64,61.52,37.68
hsa-miR-10401-3p,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.25,0.19,0.6,0.0,0.0,0.11,0.05,0.0,0.0
hsa-miR-10401-5p,0.0,0.24,0.09,0.0,0.0,0.0,0.08,0.0,0.1,0.12,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.36,0.0,0.1,0.0,0.14,0.0,0.08
hsa-miR-106a-3p,0.0,0.0,0.0,0.17,0.1,0.11,0.08,0.58,0.1,1.09,0.61,0.1,0.77,0.0,0.45,0.38
hsa-miR-106a-5p,1.83,0.82,0.61,0.28,0.3,1.37,0.64,0.66,7.06,10.52,3.3,5.5,2.09,0.7,1.46,3.08
hsa-miR-106b-3p,66.15,47.02,46.96,36.25,73.46,78.87,46.22,62.96,132.12,360.66,262.77,240.44,243.01,48.45,33.28,124.83
hsa-miR-106b-5p,2.33,12.14,2.72,3.45,5.52,7.21,6.68,11.48,70.45,168.11,98.97,81.15,57.68,3.4,8.4,34.98
hsa-miR-107,0.41,5.77,0.82,2.89,0.49,0.92,2.15,3.8,82.48,13.3,2.94,8.72,16.92,0.42,4.48,40.53
hsa-miR-10a-3p,0.09,1.53,0.0,0.39,0.2,0.8,0.56,0.25,2.0,1.69,2.69,1.66,2.75,0.09,0.45,0.83
hsa-miR-10a-5p,40.99,118.43,22.36,34.19,60.34,148.25,57.51,32.14,196.65,227.38,143.37,162.82,320.46,31.19,51.32,92.03
hsa-miR-10b-3p,0.0,2.12,0.04,0.0,0.99,0.57,0.72,0.5,3.82,3.87,3.18,2.59,2.53,0.09,0.9,0.45
hsa-miR-10b-5p,64.73,263.26,49.55,80.11,95.15,235.36,90.61,56.93,403.99,411.82,324.17,315.67,617.96,60.38,145.68,174.52
hsa-miR-11400,0.96,2.24,4.15,1.11,15.09,1.83,1.03,0.99,2.48,3.51,0.98,1.56,4.06,1.17,3.25,19.82
hsa-miR-11401,1.24,1.06,0.86,0.5,0.99,1.72,1.99,1.57,1.91,7.14,3.55,3.22,4.17,0.98,0.45,0.15
hsa-miR-1178-3p,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,4.25,6.36,1.25,0.72,4.34,3.89,2.47,2.48,8.88,36.4,27.4,26.67,28.23,1.63,2.13,5.55
hsa-miR-1183,0.09,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.27,0.47,0.39,0.72,1.28,0.8,0.16,0.33,1.53,3.99,0.86,2.18,2.64,0.0,1.79,3.3
hsa-miR-1185-2-3p,0.14,0.0,0.0,0.11,0.2,0.0,0.0,0.0,0.19,0.6,0.12,0.31,0.22,0.0,0.22,0.53
hsa-miR-1197,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.17,0.48,0.97,0.0,0.93,0.11,0.0,0.0,0.9
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.73,0.61,0.42,0.22,0.0,0.11,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.11,0.0
hsa-miR-122-5p,260.98,146.12,1.99,134.7,804.57,255.4,49.32,196.06,370.58,339.73,1716.66,218.44,507.44,335.3,208.54,0.38
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.24,0.0,0.21,0.0,0.05,0.0,0.15
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.12,0.0,0.21,0.11,0.19,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.08
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.23
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.37,0.1,0.0,0.0,0.22,0.0
hsa-miR-1245a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-1246,0.41,2.83,0.43,2.22,0.59,1.37,0.95,0.99,1.72,1.57,2.32,1.14,0.77,0.7,0.67,0.6
hsa-miR-1247-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,0.0,0.09,0.17,0.1,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-1249-3p,0.05,0.24,0.0,0.11,0.2,0.0,0.0,0.0,0.29,0.48,0.12,0.1,0.0,0.05,0.22,0.3
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.23,0.0,0.22,0.61,0.49,0.34,0.56,0.99,0.76,0.97,0.86,0.73,0.99,1.26,1.23,1.5
