miRNA,GSM3308135,GSM3308136
hsa-let-7a-2-3p,0.26,0.1
hsa-let-7a-3p,0.68,0.1
hsa-let-7a-5p,1290.37,1182.87
hsa-let-7b-3p,1.54,0.1
hsa-let-7b-5p,356.59,293.76
hsa-let-7c-5p,47.66,17.19
hsa-let-7d-3p,8.64,5.07
hsa-let-7d-5p,106.11,59.53
hsa-let-7e-3p,0.34,0.0
hsa-let-7e-5p,23.88,17.59
hsa-let-7f-2-3p,0.09,0.0
hsa-let-7f-5p,888.18,817.77
hsa-let-7g-5p,324.84,185.93
hsa-let-7i-5p,348.03,256.29
hsa-miR-1-3p,0.26,0.5
hsa-miR-100-5p,2356.97,1474.84
hsa-miR-101-3p,28.5,14.81
hsa-miR-10394-3p,0.0,0.1
hsa-miR-10394-5p,0.0,0.1
hsa-miR-10395-3p,8.64,11.73
hsa-miR-10395-5p,0.6,0.7
hsa-miR-10399-3p,0.6,0.1
hsa-miR-103a-3p,115.95,5.17
hsa-miR-10401-3p,0.34,0.5
hsa-miR-105-5p,7.02,3.48
hsa-miR-10526-3p,0.43,0.1
hsa-miR-106a-5p,0.6,0.1
hsa-miR-106b-3p,7.96,5.96
hsa-miR-106b-5p,2.4,1.29
hsa-miR-107,0.43,0.2
hsa-miR-10a-5p,0.68,0.2
hsa-miR-10b-3p,0.17,0.4
hsa-miR-10b-5p,62.13,40.64
hsa-miR-1180-3p,1.03,0.5
hsa-miR-1183,0.0,0.1
hsa-miR-1185-1-3p,0.09,0.0
hsa-miR-12127,0.0,0.1
hsa-miR-12136,1.45,0.99
hsa-miR-122-5p,9.16,6.06
hsa-miR-1229-3p,0.09,0.0
hsa-miR-1229-5p,0.0,0.1
hsa-miR-1244,0.6,0.99
hsa-miR-1246,124.94,110.41
hsa-miR-1247-5p,0.0,0.1
hsa-miR-1248,0.34,0.6
hsa-miR-1255a,0.51,0.6
hsa-miR-125a-3p,1.45,1.79
hsa-miR-125a-5p,40.9,23.15
hsa-miR-125b-1-3p,4.96,5.07
hsa-miR-125b-2-3p,0.09,0.0
hsa-miR-125b-5p,60.16,23.25
hsa-miR-126-3p,1.63,0.6
hsa-miR-1260b,0.34,0.1
hsa-miR-1262,0.17,0.5
hsa-miR-1266-5p,0.26,0.2
hsa-miR-1269a,6.42,5.17
hsa-miR-1273h-5p,0.0,0.1
hsa-miR-1276,0.26,0.0
hsa-miR-128-1-5p,0.0,0.2
hsa-miR-128-3p,60.33,31.9
hsa-miR-1285-3p,0.34,0.5
hsa-miR-1285-5p,0.17,0.1
hsa-miR-1287-5p,0.09,0.2
hsa-miR-1288-3p,0.09,0.0
hsa-miR-129-1-3p,0.0,0.1
hsa-miR-129-5p,0.09,0.0
hsa-miR-1290,0.09,0.4
hsa-miR-1291,3.51,4.37
hsa-miR-1292-5p,0.77,0.7
hsa-miR-1293,0.94,0.1
hsa-miR-1296-5p,0.6,0.5
hsa-miR-1298-5p,0.0,0.1
hsa-miR-1299,0.0,0.1
hsa-miR-1301-3p,5.22,4.27
hsa-miR-1303,0.17,0.1
hsa-miR-1304-5p,1.2,0.7
hsa-miR-1306-3p,0.09,0.1
hsa-miR-1306-5p,0.09,0.0
hsa-miR-1307-3p,4.88,3.68
hsa-miR-1307-5p,0.17,0.1
hsa-miR-130b-3p,1.2,0.6
hsa-miR-130b-5p,1.2,0.99
hsa-miR-132-3p,0.51,0.1
hsa-miR-132-5p,0.09,0.0
hsa-miR-134-5p,0.17,0.3
hsa-miR-1343-3p,0.09,0.0
hsa-miR-135b-5p,0.17,0.1
hsa-miR-139-3p,0.09,0.1
hsa-miR-139-5p,0.17,0.2
hsa-miR-140-3p,11.3,6.06
hsa-miR-140-5p,0.17,0.3
hsa-miR-143-3p,0.6,0.2
hsa-miR-146a-5p,0.77,0.0
hsa-miR-146b-5p,20.71,14.31
hsa-miR-147b-3p,0.09,0.0
hsa-miR-148a-3p,6.16,6.66
hsa-miR-148b-3p,19.68,11.73
hsa-miR-148b-5p,0.43,0.5
hsa-miR-149-5p,1.37,1.29
