miRNA,SRR16297783,SRR16297784,SRR16297785,SRR16297786,SRR16297787,SRR16297788,SRR16297789,SRR16297790,SRR16297791,SRR16297792,SRR16297793,SRR16297794,SRR16297795,SRR16297796,SRR16297797,SRR16297798,SRR16297799,SRR16297800,SRR16297801,SRR16297802,SRR16297803
hsa-let-7a-2-3p,0.06,0.36,0.05,0.27,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,46.68,42.07,38.53,46.29,61.22,59.62,61.28,70.71,68.42,29.64,72.9,60.48,19.44,25.3,52.51,35.21,38.52,19.26,29.88,37.28,26.46
hsa-let-7a-5p,25197.5,10647.05,13335.6,36964.63,27178.6,6701.43,30533.01,23238.44,21303.9,5377.15,24986.48,24505.98,25631.09,11025.54,20150.01,16934.35,20809.74,23092.55,18384.22,32452.9,17564.76
hsa-let-7b-3p,47.55,37.45,14.5,29.63,27.09,21.79,51.38,36.34,44.0,22.52,34.26,25.12,23.89,18.6,27.68,34.95,26.56,20.19,34.15,18.25,21.9
hsa-let-7b-5p,19946.05,10914.18,7953.09,15223.25,12804.25,9461.55,15778.52,12909.0,12588.49,8335.93,13074.86,14854.33,10395.74,8082.7,10420.19,10447.94,9599.95,9145.44,11529.61,8545.77,8397.33
hsa-let-7c-3p,1.44,0.07,0.58,1.23,0.0,0.0,0.0,0.0,0.51,0.0,0.58,1.26,0.0,0.0,0.92,0.0,0.12,1.35,0.0,0.82,0.0
hsa-let-7c-5p,613.12,348.92,231.02,721.89,560.97,269.53,652.48,379.82,544.0,171.61,567.64,567.23,447.27,346.01,371.16,388.92,592.58,322.8,459.94,179.02,331.48
hsa-let-7d-3p,852.13,600.77,705.22,943.56,926.72,672.96,777.75,685.39,718.65,590.63,636.04,820.56,1140.45,473.37,1446.28,1673.49,978.07,1150.69,819.18,1098.54,759.22
hsa-let-7d-5p,5503.1,5252.75,7581.71,6291.88,6570.81,4348.96,4393.12,3583.24,3926.15,3144.97,3918.34,5500.95,5291.03,2486.85,5351.9,4477.21,5375.53,5943.83,2835.33,9003.4,4615.06
hsa-let-7e-3p,17.77,10.87,6.86,12.07,4.81,2.33,8.28,6.01,12.41,1.12,10.99,10.92,7.3,1.51,3.4,3.22,8.15,12.39,9.46,8.83,9.01
hsa-let-7e-5p,816.97,716.96,739.3,994.49,756.01,235.71,813.8,615.37,757.0,230.04,958.95,942.53,927.22,422.86,577.06,490.13,566.38,555.25,550.96,801.35,505.3
hsa-let-7f-1-3p,3.75,0.0,1.36,2.03,2.52,5.17,1.39,5.44,4.63,6.35,5.01,4.87,0.5,1.79,3.49,2.52,1.39,2.71,4.04,3.2,4.14
hsa-let-7f-2-3p,2.32,4.19,2.88,1.6,2.62,1.53,1.32,2.41,3.1,5.23,5.59,1.6,2.66,0.0,2.76,3.91,2.48,0.42,0.0,2.53,2.54
hsa-let-7f-5p,11094.05,4891.32,9051.46,19661.06,14405.86,3305.23,15525.51,11162.01,9470.9,2708.1,11013.87,10900.93,13547.98,5194.99,9477.39,8139.21,12341.09,17080.54,8765.91,27528.96,9540.28
hsa-let-7g-3p,4.07,0.0,4.97,5.13,5.09,4.88,7.66,5.63,5.19,7.32,3.66,1.26,3.09,6.33,2.39,6.96,4.77,2.29,1.38,1.71,2.33
hsa-let-7g-5p,16576.19,13053.63,14629.08,19697.69,16028.66,6557.85,17201.16,11420.99,11350.32,6325.22,13227.54,12308.55,12089.68,6425.05,10618.73,8874.18,10984.89,16069.55,10586.07,19761.0,10358.37
