miRNA,SRR22696370,SRR22696371,SRR22696372,SRR22696373,SRR22696374,SRR22696375,SRR22696376,SRR22696377,SRR22696378,SRR22696379,SRR22696380,SRR22696381,SRR22696382,SRR22696383,SRR22696384,SRR22696385,SRR22696386,SRR22696387,SRR22696388,SRR22696389,SRR22696390,SRR22696391,SRR22696392,SRR22696393
hsa-let-7a-3p,104.0,0.0,6.0,0.0,0.0,0.0,1.0,28.0,6.0,23.0,30.0,28.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,31561.0,48705.0,30230.0,4428.0,3377.0,658.0,5654.0,11114.0,20008.0,34806.0,22390.0,23433.0,162.0,10243.0,21978.0,17812.0,3176.0,36168.0,10630.0,34370.0,2158.0,18151.0,29269.0,3054.0
hsa-let-7b-3p,54.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
hsa-let-7b-5p,100508.0,169309.0,57190.0,4499.0,2441.0,1276.0,26873.0,23171.0,41421.0,34671.0,26723.0,44454.0,431.0,29226.0,27843.0,47588.0,9732.0,21241.0,17572.0,47034.0,7727.0,26102.0,36799.0,9510.0
hsa-let-7c-5p,850.0,1688.0,860.0,147.0,64.0,2.0,305.0,316.0,552.0,217.0,784.0,424.0,0.0,172.0,541.0,517.0,69.0,432.0,352.0,387.0,105.0,215.0,376.0,153.0
hsa-let-7d-3p,2587.0,4264.0,1457.0,55.0,1.0,1.0,908.0,1430.0,882.0,1263.0,519.0,3439.0,0.0,374.0,563.0,4788.0,130.0,1051.0,260.0,919.0,222.0,455.0,1266.0,60.0
hsa-let-7d-5p,8292.0,8960.0,4292.0,215.0,175.0,45.0,1049.0,1804.0,1643.0,3905.0,2187.0,2658.0,1.0,1252.0,2201.0,2617.0,718.0,3147.0,1123.0,5192.0,684.0,1587.0,5448.0,288.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
hsa-let-7e-5p,1552.0,2034.0,1833.0,263.0,0.0,0.0,171.0,683.0,655.0,610.0,1928.0,1583.0,1.0,228.0,1553.0,996.0,349.0,1176.0,938.0,1552.0,358.0,1072.0,1777.0,62.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,11451.0,12739.0,7429.0,1550.0,640.0,64.0,1471.0,3406.0,4132.0,9681.0,6126.0,6889.0,1.0,2718.0,5530.0,4308.0,1124.0,15882.0,3794.0,13137.0,776.0,5186.0,11570.0,717.0
hsa-let-7g-3p,8.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,8906.0,12242.0,4127.0,518.0,504.0,1.0,2715.0,1787.0,1912.0,5716.0,3050.0,2747.0,2.0,1899.0,2039.0,3142.0,1332.0,5620.0,1220.0,6907.0,635.0,2086.0,6119.0,558.0
hsa-let-7i-3p,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,35732.0,22947.0,5438.0,541.0,117.0,270.0,6395.0,4629.0,4608.0,7550.0,2713.0,3756.0,129.0,2714.0,2016.0,4706.0,5140.0,7926.0,1780.0,10666.0,643.0,1820.0,6693.0,1189.0
hsa-miR-1-3p,0.0,0.0,66.0,0.0,43.0,0.0,0.0,0.0,0.0,36.0,53.0,44.0,0.0,83.0,0.0,96.0,0.0,0.0,70.0,0.0,5.0,30.0,63.0,28.0
hsa-miR-100-5p,156.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,33.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
hsa-miR-101-3p,55319.0,6371.0,1821.0,479.0,92.0,34.0,2100.0,1737.0,405.0,4880.0,1012.0,2329.0,92.0,948.0,1114.0,3138.0,2020.0,2869.0,588.0,6539.0,177.0,454.0,4940.0,422.0
hsa-miR-101-5p,86.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,1021.0,4640.0,865.0,162.0,0.0,0.0,2968.0,3932.0,639.0,2074.0,2384.0,1500.0,178.0,476.0,469.0,4890.0,2365.0,3211.0,668.0,5633.0,185.0,235.0,666.0,173.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
