miRNA,SRR18284361,SRR18284362,SRR18284363,SRR18284364,SRR18284365,SRR18284366,SRR18284367,SRR18284368,SRR18284369,SRR18284370,SRR18284371,SRR18284372,SRR18284373,SRR18284374,SRR18284375,SRR18284376,SRR18284377,SRR18284378,SRR18284379,SRR18284380,SRR18284381,SRR18284382,SRR18284383,SRR18284384,SRR18284385,SRR18284386,SRR18284387,SRR18284388,SRR18284389,SRR18284390
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,11.0,16.0,35.0,25.0,8.0,3.0,28.0,40.0,20.0,114.0,209.0,19.0,3.0,0.0,18.0,33.0,442.0,129.0,58.0,65.0,23.0,17.0,3.0,128.0,39.0,13.0,12.0,33.0,24.0,148.0
hsa-let-7a-5p,7776.0,12465.0,65946.0,128912.0,12748.0,28426.0,55994.0,55039.0,17028.0,97598.0,282002.0,115452.0,8657.0,11717.0,31143.0,57980.0,139824.0,82324.0,95928.0,48160.0,19034.0,53150.0,8632.0,43486.0,52605.0,20925.0,29357.0,45439.0,18315.0,114051.0
hsa-let-7b-3p,4.0,1.0,32.0,28.0,27.0,7.0,5.0,23.0,12.0,281.0,298.0,14.0,1.0,16.0,21.0,8.0,377.0,72.0,20.0,46.0,8.0,25.0,10.0,296.0,41.0,17.0,7.0,56.0,20.0,487.0
hsa-let-7b-5p,30460.0,31861.0,28301.0,75727.0,26020.0,18905.0,29325.0,43002.0,26043.0,85081.0,155119.0,34544.0,16218.0,18759.0,53221.0,28614.0,347408.0,53086.0,50025.0,66009.0,19025.0,35721.0,15175.0,165382.0,56669.0,22917.0,40943.0,58010.0,28840.0,86501.0
hsa-let-7c-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,565.0,601.0,3662.0,4483.0,2108.0,765.0,1108.0,3882.0,1091.0,10184.0,3973.0,1968.0,789.0,3258.0,1685.0,1143.0,3305.0,1262.0,6391.0,2368.0,2142.0,4318.0,688.0,1767.0,14143.0,8427.0,1570.0,2068.0,1328.0,3824.0
hsa-let-7d-3p,780.0,424.0,1270.0,2188.0,550.0,246.0,1017.0,1508.0,475.0,12213.0,12526.0,1881.0,409.0,446.0,705.0,1108.0,17763.0,4278.0,1196.0,1775.0,460.0,780.0,329.0,12688.0,1810.0,844.0,1024.0,1280.0,785.0,8970.0
hsa-let-7d-5p,655.0,914.0,9685.0,13498.0,869.0,2677.0,5523.0,4626.0,1262.0,11843.0,34066.0,12563.0,619.0,794.0,2322.0,7976.0,11691.0,8800.0,10999.0,5172.0,2028.0,4053.0,564.0,3394.0,4463.0,2422.0,2077.0,2220.0,1601.0,11719.0
hsa-let-7e-3p,0.0,0.0,3.0,4.0,0.0,0.0,3.0,9.0,5.0,2.0,9.0,5.0,1.0,0.0,0.0,2.0,8.0,7.0,2.0,8.0,2.0,1.0,0.0,3.0,10.0,14.0,0.0,0.0,0.0,14.0
hsa-let-7e-5p,124.0,165.0,1300.0,2592.0,139.0,205.0,1229.0,2080.0,409.0,2286.0,3296.0,2764.0,344.0,281.0,665.0,1127.0,2224.0,1454.0,2996.0,871.0,187.0,1181.0,223.0,629.0,2135.0,632.0,775.0,1140.0,595.0,2023.0
hsa-let-7f-1-3p,6.0,4.0,17.0,17.0,4.0,3.0,10.0,0.0,2.0,33.0,16.0,6.0,1.0,0.0,7.0,4.0,28.0,9.0,12.0,0.0,3.0,0.0,0.0,13.0,4.0,11.0,0.0,1.0,1.0,48.0
hsa-let-7f-2-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
hsa-let-7f-5p,4460.0,5249.0,47809.0,65444.0,4552.0,15825.0,37571.0,29083.0,8020.0,62858.0,191215.0,74443.0,3680.0,4405.0,13889.0,40076.0,79918.0,72295.0,64645.0,28560.0,10888.0,28241.0,3167.0,15387.0,25693.0,13731.0,9191.0,12787.0,6936.0,56183.0
hsa-let-7g-3p,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0
hsa-let-7g-5p,2052.0,4772.0,9842.0,15939.0,2818.0,7466.0,6918.0,5487.0,3844.0,21531.0,80988.0,13539.0,1151.0,1648.0,6248.0,8078.0,60862.0,18371.0,14205.0,13047.0,4494.0,6974.0,1225.0,16945.0,6712.0,3895.0,4936.0,4886.0,2531.0,89775.0
hsa-let-7i-3p,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,43.0,4.0,0.0,4.0,0.0,0.0,61.0,2.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,30.0
hsa-let-7i-5p,16422.0,16533.0,81403.0,98016.0,12572.0,29416.0,51103.0,39792.0,16192.0,101481.0,219285.0,91933.0,8258.0,7003.0,29151.0,61932.0,258447.0,110546.0,83824.0,64960.0,23029.0,44490.0,7130.0,66458.0,40431.0,23159.0,13715.0,17409.0,12548.0,99183.0
hsa-miR-1-3p,100.0,2.0,240.0,225.0,6.0,67.0,221.0,328.0,84.0,834.0,1286.0,190.0,57.0,3229.0,78.0,149.0,866.0,458.0,154.0,455.0,57.0,85.0,1790.0,137.0,6998.0,2497.0,180.0,86.0,285.0,445.0
