miRNA,SRR5786046
hsa-miR-21-5p,9693.98
hsa-miR-92a-3p,863.56
hsa-miR-26a-5p,591.53
hsa-miR-200c-3p,723.22
hsa-miR-148a-3p,489.71
hsa-miR-192-5p,1092.46
hsa-miR-100-5p,645.4
hsa-miR-20a-5p,426.83
hsa-miR-200b-3p,900.44
hsa-miR-200a-3p,531.68
hsa-let-7f-5p,428.64
hsa-miR-191-5p,364.1
hsa-let-7g-5p,280.96
hsa-miR-429,258.88
hsa-let-7i-5p,241.35
hsa-miR-27b-3p,474.9
hsa-miR-10a-5p,502.66
hsa-miR-1246,425.24
hsa-miR-17-5p,174.19
hsa-let-7a-5p,170.83
hsa-miR-27a-3p,158.72
hsa-miR-93-5p,159.64
hsa-miR-7-5p,248.95
hsa-miR-24-3p,153.51
hsa-miR-181a-5p,228.16
hsa-miR-182-5p,167.03
hsa-miR-30d-5p,195.08
hsa-miR-378a-3p,124.31
hsa-miR-9-5p,155.65
hsa-miR-25-3p,104.63
hsa-miR-194-5p,117.15
hsa-miR-22-3p,71.03
hsa-miR-30e-5p,85.06
hsa-miR-19b-3p,71.48
hsa-miR-183-5p,105.52
hsa-miR-151a-3p,95.73
hsa-miR-532-5p,56.82
hsa-miR-29a-3p,166.21
hsa-miR-128-3p,68.04
hsa-miR-23a-3p,119.92
hsa-miR-320a-3p,117.55
hsa-miR-221-3p,90.01
hsa-let-7b-5p,66.86
hsa-miR-3960,62.84
hsa-miR-185-5p,41.24
hsa-miR-499a-5p,42.72
hsa-miR-135b-5p,36.55
hsa-miR-101-3p,82.55
hsa-miR-340-5p,29.54
hsa-miR-181b-5p,87.72
hsa-miR-148b-3p,31.31
hsa-miR-26b-5p,38.4
hsa-miR-375-3p,31.75
hsa-miR-30c-5p,35.78
hsa-miR-186-5p,44.93
hsa-miR-200a-5p,36.07
hsa-miR-372-3p,25.29
hsa-miR-16-5p,38.54
hsa-miR-9-3p,31.64
hsa-let-7d-5p,20.75
hsa-miR-140-5p,17.39
hsa-miR-196a-5p,33.6
hsa-miR-95-3p,21.6
hsa-miR-96-5p,16.76
hsa-miR-222-3p,56.86
hsa-miR-125b-5p,21.97
hsa-miR-629-5p,22.93
hsa-miR-30b-5p,15.25
hsa-miR-98-5p,16.87
hsa-miR-10396b-3p,18.09
hsa-mir-3960-3p,13.0
hsa-miR-106b-3p,19.49
hsa-miR-106b-5p,21.52
hsa-miR-425-5p,45.89
hsa-miR-18a-5p,14.69
hsa-miR-320b,14.66
hsa-miR-451a,11.52
hsa-miR-361-5p,16.13
hsa-miR-99b-5p,12.52
hsa-miR-28-3p,20.97
hsa-miR-142-3p,22.19
hsa-miR-140-3p,45.15
hsa-miR-19a-3p,15.03
hsa-miR-142-5p,27.06
hsa-miR-193b-3p,9.75
hsa-miR-10a-3p,11.04
hsa-miR-23b-3p,22.71
hsa-miR-126-3p,12.96
hsa-miR-1307-3p,23.67
hsa-miR-197-3p,8.97
hsa-miR-30e-3p,12.22
hsa-miR-196b-5p,17.17
hsa-miR-4497,17.32
hsa-miR-32-5p,9.64
hsa-miR-423-5p,13.18
hsa-miR-423-3p,19.24
hsa-miR-4508,15.54
hsa-miR-21-3p,10.85
hsa-miR-146b-5p,12.04
hsa-miR-374a-5p,8.38
hsa-miR-15b-5p,8.38
hsa-miR-203a-3p,14.58
hsa-miR-769-5p,11.81
hsa-miR-135a-5p,11.19
hsa-miR-132-3p,7.72
hsa-miR-1302,5.28
hsa-miR-503-5p,8.82
hsa-miR-660-5p,6.61
hsa-miR-92b-3p,8.49
hsa-miR-28-5p,8.93
hsa-miR-548o-3p,5.28
hsa-miR-484,7.64
hsa-miR-141-3p,12.29
hsa-miR-1247-5p,7.9
hsa-miR-1307-5p,7.97
hsa-miR-3615,5.87
hsa-miR-582-3p,6.72
hsa-miR-10396a-3p,8.2
hsa-let-7d-3p,7.13
hsa-miR-941,7.05
hsa-miR-27a-5p,4.76
hsa-miR-320a-5p,5.8
hsa-miR-1180-3p,7.83
hsa-miR-181a-2-3p,6.17
hsa-miR-615-3p,8.16
hsa-miR-335-3p,6.94
hsa-miR-10401-3p,38.1
hsa-miR-139-5p,4.39
hsa-miR-125a-5p,4.73
hsa-miR-483-5p,6.31
hsa-miR-200b-5p,8.45
hsa-miR-483-3p,7.61
hsa-miR-3195,5.87
hsa-miR-320e,3.36
hsa-miR-4516,7.2
hsa-miR-584-5p,4.91
hsa-miR-450a-5p,5.13
hsa-miR-210-3p,4.43
hsa-miR-3665,6.5
hsa-miR-107,3.91
hsa-miR-361-3p,8.71
hsa-miR-424-5p,3.51
hsa-miR-625-3p,5.21
hsa-mir-3648-1-5p,17.87
hsa-miR-148a-5p,3.03
hsa-miR-31-5p,5.17
hsa-miR-24-2-5p,4.84
hsa-miR-181d-5p,8.16
hsa-miR-221-5p,6.17
hsa-miR-425-3p,6.02
hsa-miR-99a-5p,4.73
hsa-miR-345-5p,4.21
hsa-miR-16-2-3p,4.47
hsa-miR-335-5p,4.69
hsa-miR-146a-5p,3.4
hsa-miR-374a-3p,2.47
hsa-miR-3182,2.25
hsa-miR-4650-3p,2.1
hsa-miR-3065-5p,2.4
hsa-miR-3613-5p,2.1
hsa-miR-378c,4.02
hsa-miR-339-3p,3.54
hsa-miR-224-5p,3.91
hsa-miR-339-5p,4.06
hsa-miR-152-3p,3.58
hsa-miR-29b-3p,4.47
hsa-miR-378d,2.44
hsa-let-7e-5p,2.25
hsa-miR-652-3p,2.99
hsa-miR-9901,5.72
hsa-miR-103a-3p,2.29
hsa-miR-4488,4.87
hsa-miR-15b-3p,2.36
hsa-miR-149-5p,5.39
hsa-miR-148b-5p,2.66
hsa-miR-1291,5.35
hsa-miR-374b-5p,1.77
hsa-miR-576-3p,2.25
hsa-miR-7704,2.66
hsa-miR-424-3p,2.73
hsa-miR-330-3p,2.95
hsa-miR-590-3p,2.1
hsa-miR-549a-3p,2.07
hsa-miR-502-3p,1.96
hsa-miR-22-5p,1.66
hsa-miR-151a-5p,2.44
hsa-miR-450b-5p,1.92
hsa-miR-4326,1.77
hsa-miR-1296-5p,2.95
hsa-miR-215-5p,3.69
hsa-miR-421,2.84
hsa-miR-574-3p,1.62
hsa-miR-181a-3p,2.4
hsa-miR-181c-3p,2.07
hsa-miR-30a-5p,1.59
hsa-miR-454-3p,1.99
hsa-miR-328-3p,1.51
hsa-let-7a-3p,2.84
hsa-miR-548k,1.14
hsa-miR-4791,1.4
hsa-miR-320c,2.03
hsa-miR-7110-3p,2.29
hsa-miR-150-5p,1.22
hsa-miR-3934-5p,1.74
hsa-miR-552-3p,1.77
hsa-miR-589-5p,1.29
hsa-miR-10b-5p,1.62
hsa-miR-7-1-3p,1.37
hsa-miR-501-3p,1.81
hsa-miR-500a-3p,3.03
hsa-miR-320d,1.37
hsa-miR-132-5p,2.03
hsa-miR-1303,1.96
hsa-miR-664a-3p,1.59
hsa-miR-324-5p,1.51
hsa-miR-1285-3p,1.11
hsa-miR-455-5p,1.55
hsa-miR-1-3p,0.92
hsa-miR-381-3p,0.81
hsa-miR-18a-3p,1.74
hsa-miR-1278,0.81
hsa-miR-141-5p,1.22
hsa-miR-651-5p,1.03
hsa-miR-3158-3p,0.81
hsa-miR-1248,2.84
hsa-let-7c-5p,1.55
hsa-miR-130b-5p,1.59
hsa-miR-92a-1-5p,0.81
hsa-miR-27b-5p,0.92
hsa-miR-766-3p,0.92
hsa-miR-542-3p,1.96
hsa-miR-576-5p,0.92
hsa-miR-99b-3p,1.14
hsa-miR-3065-3p,0.74
hsa-miR-17-3p,1.59
hsa-miR-582-5p,0.92
hsa-miR-126-5p,0.59
hsa-miR-1252-5p,1.18
hsa-miR-3648,13.03
hsa-miR-340-3p,0.74
hsa-miR-188-5p,0.7
hsa-miR-7706,1.33
hsa-miR-181c-5p,1.55
hsa-mir-3648-2-5p,11.45
