miRNA,SRR22254414,SRR22254415,SRR22254416,SRR22254417,SRR22254418,SRR22254419,SRR22254420,SRR22254421,SRR22254422,SRR22254423,SRR22254424,SRR22254425,SRR22254426,SRR22254427,SRR22254428,SRR22254429,SRR22254430
hsa-let-7a-2-3p,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-let-7a-3p,31.56,18.58,20.04,45.33,41.15,14.21,15.23,14.93,22.71,17.62,18.02,11.15,9.6,26.52,15.38,16.89,20.35
hsa-let-7a-5p,14754.76,11853.41,13160.13,17412.73,12582.76,9266.75,12775.75,9455.82,17713.72,10355.53,10988.19,9128.76,12700.06,13799.95,10448.53,13650.26,9457.67
hsa-let-7b-3p,12.5,9.21,12.94,19.72,10.88,8.66,12.62,11.23,13.94,12.72,10.68,5.95,11.04,10.04,12.47,12.82,6.23
hsa-let-7b-5p,2112.76,2111.26,2516.77,2797.23,2095.95,1896.25,2401.35,1863.37,2463.25,2310.65,3024.78,2937.27,4009.27,2153.99,2336.96,3388.81,1525.41
hsa-let-7c-3p,8.27,6.65,5.64,8.78,4.61,6.08,6.11,3.15,7.89,5.01,5.84,2.94,3.22,6.5,4.07,4.62,4.4
hsa-let-7c-5p,4244.63,5040.7,5853.75,6217.78,2829.27,4319.85,5840.87,1840.29,5016.92,3598.9,6368.28,5190.99,7481.94,4076.53,4074.49,5308.39,1929.7
hsa-let-7d-3p,55.98,46.05,49.41,59.03,48.12,44.45,45.59,31.98,57.17,64.42,68.86,31.18,56.17,48.34,39.79,49.27,23.19
hsa-let-7d-5p,210.06,171.59,185.73,276.77,218.19,164.87,186.37,139.2,266.62,274.45,215.97,179.34,202.39,227.47,161.63,191.54,116.6
hsa-let-7e-3p,2.83,2.98,3.21,4.34,2.36,1.6,2.77,2.46,2.94,2.99,5.98,1.81,3.15,2.85,3.01,3.22,1.72
hsa-let-7e-5p,285.77,311.57,447.96,490.45,350.42,318.27,397.97,234.65,456.94,396.74,437.72,228.6,446.96,368.47,360.98,402.29,245.01
hsa-let-7f-1-3p,0.67,0.31,0.39,1.64,0.75,0.23,0.49,0.21,0.46,0.46,1.0,0.38,0.89,0.26,0.42,0.36,0.16
hsa-let-7f-2-3p,0.31,0.37,0.39,1.74,2.11,0.15,0.65,0.48,0.59,0.06,0.78,0.15,0.14,0.74,0.69,0.49,0.75
hsa-let-7f-5p,14225.3,11839.86,13718.78,22171.73,17109.43,9473.94,12247.27,10616.95,18017.87,11207.56,9311.17,5836.12,8400.34,18358.85,11050.65,12773.15,11528.61
hsa-let-7g-3p,0.81,0.58,0.68,1.3,1.4,0.76,0.41,0.34,0.59,0.52,1.35,0.45,0.89,0.69,1.06,0.49,0.59
hsa-let-7g-5p,1432.19,1235.83,1585.11,2071.0,1769.69,882.48,1262.8,1003.17,1570.53,1139.37,1214.6,983.63,1145.76,1606.69,1138.2,1333.46,1092.56
hsa-let-7i-3p,1.39,2.41,2.33,2.85,1.95,0.53,1.55,0.62,1.6,2.42,3.2,1.36,3.43,1.85,0.69,1.88,0.64
hsa-let-7i-5p,474.88,560.19,578.3,919.18,686.2,346.99,598.18,356.05,649.73,632.04,693.14,506.32,590.16,547.71,468.61,531.08,320.7
hsa-miR-100-3p,0.58,1.36,0.63,3.86,1.0,0.3,0.49,0.27,0.84,0.12,0.64,0.08,0.21,0.63,0.37,0.06,0.43
hsa-miR-100-5p,95.45,120.62,99.07,246.67,74.58,31.91,64.08,29.65,166.05,107.78,96.84,54.76,110.42,62.65,38.78,33.72,53.41
hsa-miR-101-2-5p,0.09,0.1,0.1,0.19,0.15,0.15,0.08,0.14,0.25,0.35,0.14,0.53,0.0,0.16,0.11,0.18,0.38
hsa-miR-101-3p,1288.81,1213.75,1366.21,3163.36,3751.3,723.31,995.09,1306.83,1471.01,937.35,708.31,621.26,610.74,2619.82,997.71,829.05,1821.74
hsa-miR-101-5p,6.61,3.72,4.81,18.86,15.59,4.94,6.59,8.42,5.92,4.61,5.91,6.03,2.95,11.62,3.8,5.04,12.67
hsa-miR-10226,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.05,0.19,0.05,0.0,0.0,0.0,0.34,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-10394-3p,0.67,0.52,0.97,0.24,0.35,0.99,0.33,0.82,0.46,0.81,0.5,0.83,0.48,0.53,0.16,0.43,0.27
hsa-miR-10394-5p,0.13,0.16,0.0,0.1,0.25,0.08,0.08,0.21,0.08,0.12,0.28,0.0,0.0,0.05,0.0,0.12,0.05
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.05,0.0,0.0
hsa-miR-10396a-5p,0.13,0.05,0.05,0.1,0.0,0.0,0.08,0.0,0.08,0.17,0.0,0.0,0.14,0.0,0.16,0.0,0.0
hsa-miR-10396b-3p,0.18,0.1,0.19,0.05,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.05,0.1,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.21,0.05,0.0,0.0,0.0
hsa-miR-10397-3p,0.13,0.0,0.1,0.05,0.1,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.14,0.05,0.0,0.0,0.0
