miRNA,SRR4103521,SRR4103522,SRR4103523,SRR4103524,SRR4103525,SRR4103533,SRR4103534,SRR4103535,SRR4103536,SRR4103537,SRR4103538,SRR4103539,SRR4103540,SRR4103581,SRR4103582,SRR4103606,SRR4103647,SRR4103648,SRR4103649,SRR4103651,SRR4103652,SRR4103653
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.23,41.26,53.21,0.0,0.0,0.0
hsa-let-7a-3p,85.61,42.28,0.0,0.0,299.71,16.79,0.0,23.69,0.0,462.53,0.0,0.0,0.0,0.0,0.0,0.0,100.61,85.55,111.14,0.0,0.0,0.0
hsa-let-7a-5p,1540.96,295.98,0.0,37.94,2999.99,235.11,25.39,1449.65,522.73,462.53,1344.09,0.0,0.0,1141.55,0.0,0.0,1030.78,953.08,899.8,7.86,0.0,0.0
hsa-let-7b-3p,0.0,28.19,0.0,0.0,230.66,16.79,0.0,7.9,13.4,462.53,0.0,435.73,0.0,0.0,0.0,0.0,19.51,28.18,16.55,0.0,0.0,0.0
hsa-let-7b-5p,1540.96,620.16,24.99,0.0,2631.24,403.04,25.39,1029.6,147.44,462.53,0.0,435.73,0.0,0.0,0.0,0.0,941.46,920.88,960.1,7.86,3.41,0.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.24,10.06,9.46,0.0,0.0,0.0
hsa-let-7c-5p,0.0,887.95,5.0,0.0,119.88,0.0,0.0,170.55,0.0,462.53,448.03,0.0,0.0,0.0,0.0,854.7,72.89,59.38,47.3,0.0,0.0,0.0
hsa-let-7d-3p,256.83,211.42,0.0,0.0,7.35,0.0,10.15,249.5,67.02,0.0,448.03,871.46,0.0,0.0,0.0,0.0,205.33,203.3,224.65,0.0,0.0,8.48
hsa-let-7d-5p,85.61,436.93,0.0,0.0,128.7,83.97,5.08,1468.6,13.4,462.53,448.03,871.46,0.0,0.0,0.0,0.0,392.19,333.13,372.45,0.0,0.0,0.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,29.68,0.0,0.0,17.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,26.17,31.92,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,537.41,50.38,10.15,492.69,13.4,0.0,0.0,0.0,0.0,0.0,0.0,854.7,104.72,120.77,108.78,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,40.25,16.79,0.0,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,22.14,14.19,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,12.63,0.0,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0
hsa-let-7f-5p,2054.62,873.85,44.99,37.94,2612.14,83.97,10.15,2093.93,1058.87,1387.6,0.0,871.46,0.0,1141.55,0.0,854.7,2170.39,2042.03,2245.35,7.86,0.0,0.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,4.03,1.18,0.0,0.0,0.0
hsa-let-7g-5p,1797.79,1536.29,10.0,0.0,14302.12,386.25,50.77,1833.38,1353.74,462.53,0.0,3050.11,1183.43,1141.55,0.0,0.0,2144.72,1913.21,2226.43,7.86,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,20.27,0.0,0.0,22.11,26.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48,8.05,17.74,0.0,0.0,0.0
hsa-let-7i-5p,85.61,0.0,0.0,0.0,113.71,0.0,0.0,53.69,0.0,0.0,0.0,0.0,0.0,0.0,1008.06,0.0,216.63,244.56,293.23,0.0,0.0,0.0
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,5.03,3.55,0.0,0.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,4.03,8.28,0.0,0.0,0.0
hsa-miR-100-5p,171.22,14.09,0.0,0.0,5275.4,2787.71,15.23,25.27,5160.3,462.53,0.0,871.46,2366.86,0.0,1008.06,0.0,49658.17,48694.82,53479.35,219.99,61.36,110.28
hsa-miR-101-3p,599.26,42.28,5.0,0.0,108.42,0.0,0.0,487.95,53.61,0.0,448.03,435.73,0.0,0.0,0.0,0.0,425.04,416.66,469.41,7.86,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,2.64,0.0,0.0,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,3.02,4.73,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,3.55,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
