miRNA,SRR23249719,SRR23249720,SRR23249721,SRR23249722,SRR23249723,SRR23249724,SRR23249725,SRR23249726,SRR23249727,SRR23249728,SRR23249729,SRR23249730,SRR23249732,SRR23249733
hsa-let-7a-3p,0.0,0.0,0.44,0.86,0.0,0.0,6.07,44.06,16.19,0.0,0.0,11.17,0.0,8.74
hsa-let-7a-5p,3225.72,1294.82,2319.36,2470.93,1878.16,1499.59,16245.69,20629.46,14566.48,15.62,186.34,2493.35,7282.81,3051.99
hsa-let-7b-3p,0.0,0.0,6.62,0.0,0.0,0.0,1.35,13.87,8.99,0.0,0.0,13.45,0.0,5.4
hsa-let-7b-5p,5734.1,3569.99,6306.69,8920.68,3780.54,5527.74,38615.06,44852.86,30371.64,15.62,310.56,5309.49,22.55,2759.84
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0
hsa-let-7c-5p,48.21,313.35,488.42,82.77,5.7,92.01,3322.03,137.33,76.14,0.0,0.0,30.32,0.0,37.13
hsa-let-7d-3p,165.63,58.19,116.59,159.5,101.18,108.15,1112.29,1967.29,1098.68,0.0,31.06,947.04,0.0,478.43
hsa-let-7d-5p,91.06,58.19,58.29,137.94,4.28,11.82,570.66,412.87,278.79,0.0,0.0,47.58,0.0,107.53
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.13
hsa-let-7e-5p,42.44,21.82,1.32,222.44,51.3,17.73,115.41,122.79,83.04,0.0,0.0,50.75,0.0,49.33
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.39
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-let-7f-5p,2681.85,1417.36,2682.8,2771.82,1776.98,1014.0,19126.31,20647.12,14303.28,15.62,217.39,2928.3,22.55,3464.64
hsa-let-7g-5p,758.94,377.7,637.25,184.5,356.25,194.25,3335.87,3721.43,2533.72,0.0,124.22,770.55,0.0,994.25
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
hsa-let-7i-5p,3182.87,1716.17,2715.48,2645.94,1462.06,477.25,19210.68,19703.74,15059.32,0.0,124.22,5846.58,0.0,6728.61
hsa-miR-1-3p,0.0,0.0,23.41,0.86,0.0,11.18,46.91,102.21,19.79,0.0,0.0,24.36,0.0,42.52
hsa-miR-100-5p,19.37,7.27,60.94,385.38,2.85,143.71,426.9,461.4,155.28,0.0,0.0,245.14,0.0,270.31
