miRNA,SRR18594753,SRR18594754,SRR18594755,SRR18594756,SRR18594757,SRR18594758,SRR18594759,SRR18594760,SRR18594761,SRR18594762,SRR18594763,SRR18594764,SRR18594765
hsa-let-7a-3p,69.41,46.53,60.33,31.79,69.71,26.43,40.16,25.34,26.59,22.89,36.79,29.23,20.32
hsa-let-7a-5p,25577.64,28543.43,24839.78,16201.02,15625.8,20128.92,15195.24,9818.22,27266.75,18664.37,23657.13,21890.65,13528.98
hsa-let-7b-3p,26.3,13.57,25.48,19.72,19.88,8.9,15.09,9.15,10.7,15.14,4.18,8.77,10.26
hsa-let-7b-5p,12809.28,9728.32,10069.32,8253.55,8212.06,7929.93,8442.31,9477.25,6879.27,9455.43,5643.75,8506.09,7095.18
hsa-let-7c-3p,1.58,0.0,0.15,0.23,0.23,0.57,0.48,0.0,0.0,0.0,0.31,0.24,0.0
hsa-let-7c-5p,561.77,328.23,332.67,333.93,413.22,307.55,242.65,216.83,251.31,340.68,194.47,234.09,261.35
hsa-let-7d-3p,915.53,834.04,681.61,534.19,506.01,893.67,724.38,478.49,839.44,628.37,1054.51,769.76,426.05
hsa-let-7d-5p,5516.3,6455.75,5116.87,4342.94,2662.62,7216.05,7096.58,5175.57,7229.49,5030.63,8280.22,5769.79,2646.66
hsa-let-7e-3p,8.7,5.43,3.38,6.96,2.06,7.35,5.82,4.22,5.08,6.87,3.26,2.44,4.14
hsa-let-7e-5p,934.51,446.49,475.59,413.76,501.21,489.16,686.12,610.13,714.49,459.52,540.71,318.87,298.24
hsa-let-7f-1-3p,2.57,1.36,3.99,4.87,2.97,1.13,1.19,1.64,1.51,1.58,1.02,1.95,1.38
hsa-let-7f-2-3p,6.72,3.3,9.06,5.8,9.83,1.13,2.61,1.88,2.7,3.7,9.28,2.68,1.38
hsa-let-7f-5p,16107.36,20330.8,16080.73,9986.55,9106.16,13124.03,10239.01,5474.3,21300.85,11309.72,18809.61,14767.69,7215.3
hsa-let-7g-3p,1.19,2.13,2.46,3.25,2.51,0.71,4.04,3.75,1.51,2.11,1.33,2.44,0.99
hsa-let-7g-5p,16995.4,18713.91,17216.14,13157.83,10798.58,14738.79,12946.76,9763.78,17455.71,12453.42,18072.49,15773.01,8653.03
hsa-let-7i-3p,42.32,44.78,40.68,45.95,34.05,32.65,64.64,43.65,25.51,35.04,50.04,31.67,17.55
hsa-let-7i-5p,10329.25,10554.79,11162.51,9264.62,6966.0,12053.13,13621.59,12081.11,11526.99,8595.19,15065.52,11466.98,5324.69
hsa-miR-1-3p,188.05,95.77,84.59,126.01,94.62,172.01,371.1,183.51,243.1,476.6,820.08,181.72,95.07
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.22,0.0,0.0,0.0,0.0
hsa-miR-100-5p,157.2,95.39,256.07,252.71,261.46,178.22,175.99,165.91,83.99,220.25,94.79,369.53,156.61
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,8255.18,2479.43,6767.94,3120.46,2575.08,2713.79,2923.66,2293.4,1901.98,2167.5,3777.72,3390.84,1097.88
hsa-miR-101-5p,5.54,2.91,4.14,4.87,2.51,2.4,3.21,5.4,1.41,3.35,1.83,3.41,0.39
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.31,0.7,0.0,0.28,0.0,0.0,0.0,0.18,0.0,0.49,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.23,0.0,0.36,0.0,0.65,0.0,0.2,0.24,0.99
hsa-miR-10399-3p,15.03,7.95,5.37,3.48,5.49,7.35,5.94,3.29,4.11,5.28,10.19,5.12,3.55
hsa-miR-10399-5p,0.79,0.0,0.0,0.23,0.0,0.0,0.36,0.0,0.0,0.0,0.31,0.0,0.0
hsa-miR-103a-1-5p,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-103a-2-5p,2.37,0.97,1.54,0.7,0.46,1.84,4.04,0.47,0.11,2.29,3.06,0.0,2.76
hsa-miR-103a-3p,4658.12,2173.11,2674.26,2423.13,129.82,538.21,4363.99,987.48,21457.48,13102.39,4180.52,21217.84,1527.68
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,1.38,0.78,2.15,1.86,0.46,1.27,2.14,1.17,1.41,3.17,2.45,0.97,0.2
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.46,0.0,0.0,0.85,0.0,0.0,0.22,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,51.02,11.63,27.79,19.72,27.65,7.07,24.48,12.67,6.38,7.75,10.8,10.23,4.73
hsa-miR-106a-5p,293.05,113.42,283.55,116.96,93.02,73.35,107.66,86.59,67.56,112.33,98.36,177.58,70.61
hsa-miR-106b-3p,1337.3,905.77,1208.94,1027.08,725.19,936.92,1288.94,1152.92,734.81,906.72,1071.84,725.67,466.09
hsa-miR-106b-5p,1076.09,543.04,1000.47,624.7,361.8,493.4,683.15,438.59,407.72,514.28,638.25,400.71,225.26
