miRNA,SRR29397945,SRR29397946,SRR29397947,SRR29397948,SRR29397949,SRR29397950,SRR29397951,SRR29397952,SRR29397953,SRR29397954,SRR29397955,SRR29397956,SRR29397957,SRR29397958,SRR29397959,SRR29397960,SRR29397961,SRR29397962,SRR29397963,SRR29397964,SRR29397965,SRR29397966,SRR29397967,SRR29397968,SRR29397969,SRR29397970,SRR29397971,SRR29397972,SRR29397973,SRR29397974,SRR29397975,SRR29397976,SRR29397977,SRR29397978,SRR29397979,SRR29397980,SRR29397981,SRR29397982,SRR29397983,SRR29397984,SRR29397985,SRR29397986,SRR29397987,SRR29397988,SRR29397989,SRR29397990,SRR29397991,SRR29397992,SRR29397993,SRR29397994,SRR29397995,SRR29397996,SRR29397997,SRR29397998,SRR29397999,SRR29398000,SRR29398001,SRR29398002,SRR29398003,SRR29398004,SRR29398005,SRR29398006,SRR29398007,SRR29398008,SRR29398009,SRR29398010,SRR29398011,SRR29398012,SRR29398013,SRR29398014,SRR29398015,SRR29398016,SRR29398017,SRR29398018,SRR29398019,SRR29398020,SRR29398021,SRR29398022,SRR29398023,SRR29398024,SRR29398025,SRR29398026,SRR29398027,SRR29398028,SRR29398029,SRR29398030,SRR29398031,SRR29398032,SRR29398033,SRR29398034,SRR29398035,SRR29398036,SRR29398037,SRR29398038,SRR29398039,SRR29398040,SRR29398041,SRR29398042,SRR29398043,SRR29398044
hsa-miR-486-5p,2346.89,12.03,26.76,3048.52,2587.34,21.1,532.73,7901.49,5021.15,424.7,16.94,31.4,1553.99,11.55,16.36,2120.89,102.47,419.93,19.08,11313.97,395.06,282.91,462.56,11.39,3454.82,344.71,952.74,1268.94,461.03,4209.62,53.65,94.61,2594.66,39.89,30.18,48.8,21.73,6.74,6891.45,3853.32,4009.08,791.42,473.68,5426.01,367.44,281.45,4902.95,1.08,8613.96,1304.37,15.54,47.22,167.37,4081.47,2225.73,61.22,51.37,3161.33,43.47,97.06,6200.45,217.42,886.11,544.8,63.47,62.43,199.39,2924.8,4307.57,60.82,24.55,3424.66,25.68,43.54,55.47,36.43,11281.75,17.99,42.94,8493.64,0.0,42.78,4271.54,11688.7,4981.2,681.69,3543.87,3547.42,28.55,1770.37,1959.64,2568.05,34.47,3264.4,26.03,228.28,8.32,3553.2,45.52,32.44
hsa-miR-487a-3p,1.55,3.21,0.0,0.84,1.42,2.64,0.0,3.04,2.93,0.0,8.47,0.0,0.0,2.89,4.67,4.65,0.0,0.0,3.68,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.36,0.0,0.21,0.97,0.54,5.67,3.17,0.33,1.07,2.31,1.8,1.99,0.66,0.2,6.34,4.85,0.46,1.97,3.75,2.39,1.51,3.73,2.37,2.49,0.92,0.0,0.0,0.0,0.0,0.0,0.42,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22,1.27,1.24,13.06,1.66,2.14,0.0,0.32,8.55,0.0,0.0,3.04,0.68,0.0,0.0,0.0,0.0,0.0,0.8,2.73,1.38,0.97,0.0,2.1,0.0,0.0
hsa-miR-487a-5p,0.78,0.0,5.73,0.0,4.25,1.45,2.52,0.0,0.0,0.0,5.08,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.52,0.4,0.07,0.48,0.0,0.3,0.37,0.0,0.0,1.06,0.0,0.91,0.0,2.63,2.15,0.0,3.73,1.58,0.62,0.92,0.0,8.25,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.49,3.16,2.55,0.05,3.52,0.0,0.71,0.0,0.65,5.5,1.77,2.83,0.0,1.37,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.52,0.19,0.0,0.0,0.0,0.0
hsa-miR-487b-3p,0.78,0.0,3.82,0.0,1.42,2.77,0.0,2.21,0.73,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,2.43,2.01,0.92,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.83,0.0,0.0,0.0,0.0,2.51,0.24,0.0,0.21,0.97,0.0,4.8,2.41,0.61,0.43,1.15,1.05,1.62,0.0,0.2,3.43,0.0,0.91,3.94,6.0,2.39,3.02,5.97,0.79,3.73,2.77,0.0,0.0,0.0,0.0,0.0,0.42,0.38,0.0,0.0,0.0,0.0,1.64,0.87,0.0,0.0,9.62,2.29,0.88,13.46,2.12,2.38,0.0,0.97,1.83,1.52,0.0,2.11,1.03,0.0,0.0,0.0,0.0,7.15,0.8,1.09,0.69,1.8,2.97,0.0,0.0,0.0
hsa-miR-487b-5p,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.55,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-488-3p,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.73,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
hsa-miR-489-3p,1.94,4.81,3.82,5.05,11.34,0.4,0.0,2.48,3.67,0.0,0.0,0.0,8.91,1.93,0.0,2.33,0.0,3.64,2.68,2.3,9.71,18.06,7.17,4.27,15.74,5.98,9.13,15.74,16.97,9.36,14.31,0.0,5.1,1.88,1.89,2.63,1.27,0.37,1.52,0.81,0.66,0.35,1.55,1.73,0.6,1.37,0.66,1.77,0.79,7.27,1.83,7.87,4.5,0.24,7.55,2.24,1.58,2.49,8.32,0.0,1.03,0.0,2.38,5.07,0.67,0.53,6.96,0.92,7.58,5.97,3.27,0.43,10.75,2.47,1.05,0.0,0.49,1.41,2.96,0.52,0.0,2.92,3.67,2.02,0.71,0.93,6.16,4.4,5.58,5.69,9.02,0.0,4.81,12.56,5.0,0.78,2.38,6.74,10.11,2.9
hsa-miR-489-5p,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.33,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.07,0.22,0.05,0.23,0.17,0.0,0.0,0.0,0.75,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.13,0.0,0.0,1.49,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.82,0.22,0.0,0.0,0.0,0.0,0.03,0.4,0.0,0.24,0.0,0.32,1.83,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,1.03,0.0,0.0,2.95,0.0,0.0
hsa-miR-490-3p,0.0,5.62,7.64,2.52,4.25,0.0,5.05,0.28,5.87,0.0,6.77,0.0,0.0,0.96,2.34,1.16,0.0,2.43,0.33,2.3,16.19,12.04,10.76,18.51,0.0,8.38,6.09,50.38,2.83,0.0,17.88,0.0,0.0,1.73,0.36,2.25,0.71,0.15,1.19,1.45,0.33,0.09,1.12,0.0,0.9,2.24,0.66,0.69,3.7,9.7,0.91,3.94,2.63,1.91,0.0,11.2,15.81,0.93,2.77,0.0,0.0,2.17,0.0,0.0,0.73,0.62,0.0,1.84,1.52,0.37,0.0,2.39,0.0,0.0,0.83,1.53,0.08,0.5,0.18,0.99,0.0,1.3,1.83,2.53,2.83,0.68,1.71,3.67,0.62,0.57,0.0,0.0,6.01,7.65,2.41,0.39,8.91,6.74,0.0,0.0
hsa-miR-490-5p,0.0,0.0,13.38,0.84,0.0,0.92,0.0,1.93,0.0,0.0,1.69,0.0,0.0,0.96,2.34,1.16,0.0,0.0,1.67,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,10.73,0.0,0.0,0.63,0.12,0.38,0.0,0.0,0.11,0.0,0.13,0.07,0.48,0.58,0.0,0.0,1.32,0.2,0.79,0.0,0.0,0.0,2.63,0.48,0.0,2.24,2.37,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,3.03,0.75,1.64,0.22,0.0,1.48,0.45,0.0,0.18,0.1,0.37,0.02,0.0,0.97,0.61,0.51,0.0,0.51,0.0,2.94,0.0,2.28,0.0,0.0,0.0,0.0,1.38,0.0,0.59,0.0,0.0,0.58
hsa-miR-491-3p,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.28,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.07,0.15,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.15,0.0,0.0,0.1,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-491-5p,3.49,4.01,7.64,12.62,15.59,4.22,2.52,3.31,2.2,0.0,8.47,0.0,4.45,7.7,2.34,9.31,15.18,8.5,5.36,6.45,6.48,9.03,0.0,14.24,3.75,11.97,18.26,22.04,2.83,18.72,0.0,0.0,2.92,0.79,3.91,7.88,2.96,4.57,1.79,16.14,3.5,1.82,2.73,23.64,1.65,6.23,1.98,4.43,8.71,19.4,6.86,15.74,7.51,10.5,10.57,17.17,7.9,6.84,4.62,0.0,8.25,3.26,11.91,1.27,1.88,4.49,0.0,4.61,2.73,5.97,13.1,4.77,0.0,4.95,6.09,7.39,0.8,2.11,1.94,3.22,0.0,7.13,5.5,5.82,10.61,2.28,5.48,0.0,11.17,3.98,3.87,25.04,8.82,0.0,5.17,2.86,27.92,12.21,22.34,2.32
hsa-miR-493-3p,2.33,2.41,9.56,0.0,9.92,1.45,0.0,0.0,2.93,0.0,15.24,0.0,13.36,3.85,0.0,6.98,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.47,0.24,0.0,0.07,0.22,0.0,2.08,0.3,0.0,0.32,5.19,0.15,0.25,0.0,0.69,3.17,4.85,2.74,0.0,2.63,0.72,0.0,3.73,1.58,2.49,2.77,0.0,0.0,2.17,0.0,0.0,0.12,0.33,0.0,1.84,0.0,1.12,0.0,1.08,0.0,0.0,3.76,2.55,0.28,3.42,0.0,0.4,0.0,4.21,3.67,0.76,0.0,0.68,1.71,0.73,0.0,0.0,0.0,0.0,1.2,4.37,0.52,0.44,3.56,0.0,2.11,0.0
hsa-miR-493-5p,2.72,4.01,3.82,2.52,1.42,5.01,0.0,4.42,5.13,0.0,5.08,15.7,4.45,5.78,7.01,4.65,22.77,7.28,6.36,8.75,12.95,24.08,25.1,7.12,10.5,16.76,30.44,18.89,19.8,30.42,7.15,0.0,19.68,8.48,3.67,26.65,2.19,2.92,1.63,5.84,1.72,0.63,2.09,0.0,2.41,6.73,4.61,5.12,4.49,19.4,6.4,5.9,5.25,8.11,9.06,8.96,7.11,3.73,3.7,0.0,3.09,20.65,32.16,2.53,1.7,1.1,20.87,8.3,9.1,14.55,9.0,1.95,15.53,12.37,6.69,3.82,1.16,9.55,2.03,2.21,0.0,3.24,6.72,1.52,21.93,3.47,10.61,23.49,16.75,6.83,21.9,14.31,11.62,4.92,4.31,1.6,10.69,9.26,5.06,1.74
