miRNA,SRR16069255,SRR16069256,SRR16069257,SRR16069258,SRR16069259,SRR16069261,SRR16069262,SRR16069263,SRR16069264,SRR16069265,SRR16069266,SRR16069267,SRR16069268,SRR16069269,SRR16069270,SRR16069272,SRR16069273,SRR16069274,SRR16069275,SRR16069276,SRR16069277,SRR16069278,SRR16069279,SRR16069280,SRR16069281,SRR16069283,SRR16069284,SRR16069285,SRR16069286,SRR16069287,SRR16069288,SRR16069289,SRR16069290,SRR16069291,SRR16069292,SRR16069294,SRR16069295,SRR16069296,SRR16069297,SRR16069298,SRR16069299,SRR16069300,SRR16069301,SRR16069302,SRR16069303
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,11.13,0.0,0.0,1.45,3.57,7.88,6.42,2.82,3.81,4.76,3.14,1.12,0.48,4.06,0.0,4.61,3.07,3.65,1.38,1.69,3.41
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,1.69,0.0,0.0,1.05,0.0,0.0,0.51,0.0,0.0,0.38,0.52,0.0,0.42,0.0
hsa-let-7a-5p,28.57,15852.13,152.79,57.85,5661.69,6019.71,6863.8,7.54,4560.35,3606.08,288.07,10458.36,28.27,24.07,2987.82,3821.78,5950.91,23517.22,4929.92,13392.47,5816.81,27.38,5119.19,6472.0,12314.95,8414.79,36.76,274.66,271.05,6463.77,3263.08,327.39,3354.63,5241.31,4701.19,56.93,2227.23,2599.95,995.36,1618.68,787.42,2951.71,1791.27,4210.25,2683.5
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,2.43
hsa-let-7b-5p,34855.88,30281.84,8721.24,13180.53,11581.58,9194.64,10014.2,5495.05,7062.58,6372.34,14616.52,14125.73,12750.08,2985.73,4890.79,6304.3,6389.5,16884.31,8489.59,16128.37,9448.07,14747.16,6666.01,10084.89,17437.07,14928.46,8699.92,6669.54,7785.36,7163.35,7257.81,6057.59,7953.26,8845.75,8504.4,4855.4,4227.63,4153.62,2381.81,3189.67,1668.43,4515.86,2951.52,4666.32,4535.76
hsa-let-7c-3p,24.22,0.0,0.0,0.0,0.0,32.73,0.0,0.0,0.0,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,12.55,10.21,13.3,7.9,14.09,4.76,9.99,6.28,2.23,10.13,10.16,6.28,5.0,1.92,7.81,7.8,7.6,6.33
hsa-let-7c-5p,16686.68,912.48,4785.46,7700.69,619.33,534.61,389.51,3486.73,422.73,283.54,11156.36,657.81,9539.88,1864.42,278.84,346.87,410.16,1517.35,298.06,1182.26,392.35,10179.67,562.61,480.31,1270.66,863.55,5341.65,6227.38,7894.59,239.44,211.45,5904.88,200.11,232.21,152.19,2752.14,182.43,284.42,87.98,104.22,52.16,230.22,150.88,206.92,117.77
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.42,0.0,0.52,0.0,0.0,0.39,12.05,0.0,0.38,0.0,0.0,0.0,0.41,0.0,0.0,0.51,0.99,0.0,1.13,0.0,0.95,0.0,0.74,0.48,0.51,0.48,1.15,0.0,0.0,0.0,0.42,0.97
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,19.91,0.87,0.0,0.0,0.0,16.7,0.0,0.0,10.62,6.64,6.9,3.95,13.52,0.0,1.9,5.75,0.37,1.45,4.06,0.48,0.0,0.0,1.04,1.38,2.96,1.46
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
