miRNA,SRR1917326,SRR1917327,SRR1917328,SRR1917332,SRR1917333,SRR1917334,SRR1917338,SRR1917339,SRR1917340
hsa-let-7a-2-3p,0.48,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,62.49,47.65,7.01,10.46,8.21,7.92,8.59,2.62,5.89
hsa-let-7a-5p,4190.13,4430.48,844.22,3198.39,3177.22,7214.54,1027.63,436.28,1401.25
hsa-let-7b-3p,8.44,9.51,2.03,2.48,1.52,1.58,2.2,1.09,1.68
hsa-let-7b-5p,3447.84,2336.46,578.5,3816.43,3479.33,4659.37,1567.44,302.84,558.35
hsa-let-7c-3p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,15.56,11.93,2.2,12.94,143.6,38.71,47.13,0.44,36.41
hsa-let-7d-3p,95.3,168.59,37.95,14.87,9.74,20.06,67.83,22.46,32.62
hsa-let-7d-5p,432.37,622.76,91.02,102.69,97.66,221.7,68.49,41.64,106.28
hsa-let-7e-3p,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.44,0.0
hsa-let-7e-5p,19.06,23.7,2.11,1.1,0.91,4.4,5.95,0.65,5.05
hsa-let-7f-1-3p,6.03,3.95,0.59,1.38,0.91,0.88,0.66,0.44,0.63
hsa-let-7f-2-3p,2.29,0.65,0.85,0.55,0.0,0.0,0.22,0.0,0.0
hsa-let-7f-5p,2419.16,1710.64,362.91,2230.17,1342.02,2923.08,468.45,567.53,1622.65
hsa-let-7g-3p,0.24,0.16,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1825.14,650.65,149.59,687.41,300.9,488.44,129.28,196.44,370.62
hsa-let-7i-3p,3.02,1.69,0.08,0.55,0.0,0.53,0.0,0.0,0.0
hsa-let-7i-5p,1073.92,612.76,76.82,692.37,417.42,1078.23,221.78,316.14,638.33
hsa-miR-1-3p,0.36,0.24,1.52,0.0,0.91,1.06,0.22,0.44,0.63
hsa-miR-100-5p,3995.78,2820.38,223.88,14.32,19.17,35.01,418.23,216.94,566.35
hsa-miR-101-2-5p,0.12,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,39.33,10.64,7.86,44.32,13.39,19.35,12.33,9.16,17.26
hsa-miR-10394-3p,0.72,0.89,1.01,1.1,0.0,1.94,1.54,0.65,0.63
hsa-miR-10394-5p,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.0
hsa-miR-10395-3p,3.02,0.89,0.08,4.13,1.52,3.69,1.54,0.44,3.79
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.83,0.0,0.35,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,6.27,6.93,1.01,2.75,2.43,1.76,5.51,1.09,2.53
hsa-miR-10399-5p,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,124.74,4.19,5.83,6.06,19.78,64.93,8.59,31.18,105.23
hsa-miR-10401-3p,7.36,3.47,13.1,12.39,10.34,5.81,5.73,3.05,3.58
hsa-miR-10401-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10523-5p,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
hsa-miR-10524-5p,0.12,0.0,0.0,0.28,0.0,0.18,0.0,0.0,0.0
hsa-miR-10526-3p,1.09,0.73,0.0,0.28,0.0,0.18,0.66,0.0,0.0
hsa-miR-10527-5p,0.84,2.1,0.0,0.83,0.0,0.18,0.22,0.0,0.0
hsa-miR-106a-5p,1.81,0.73,0.85,0.28,0.0,0.18,0.0,0.0,0.0
hsa-miR-106b-3p,97.96,77.08,13.52,72.13,61.15,96.07,75.1,56.47,170.68
hsa-miR-106b-5p,28.47,10.16,2.2,4.13,1.22,1.76,1.76,0.65,0.42
hsa-miR-107,14.36,12.5,0.93,3.58,3.65,6.69,0.88,1.53,0.63
hsa-miR-10a-3p,1177.19,660.33,226.67,131.04,68.45,137.07,77.3,58.65,83.97
hsa-miR-10a-5p,49618.44,28560.47,44986.18,27704.94,21995.01,26607.93,38606.56,26968.73,52328.27
hsa-miR-10b-3p,0.0,0.16,0.85,0.83,0.0,1.23,0.0,0.0,0.0
hsa-miR-10b-5p,110.5,38.46,399.92,668.69,509.3,577.47,193.59,165.27,340.1
hsa-miR-11399,0.12,0.0,0.0,0.0,0.0,0.53,0.22,0.0,0.0
hsa-miR-11401,0.36,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.63
hsa-miR-1178-3p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,54.41,70.79,55.27,7.16,3.65,12.84,46.91,18.75,23.57
hsa-miR-12114,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,1.09,1.85,1.01,2.2,3.04,0.53,3.08,1.09,0.42
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
hsa-miR-1226-3p,0.97,0.89,0.0,0.0,0.0,0.0,0.44,0.0,0.0
hsa-miR-1226-5p,0.84,0.56,0.51,0.0,0.0,0.18,0.44,0.22,0.21
hsa-miR-1227-3p,0.0,0.08,0.42,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,1.21,0.73,0.0,0.28,0.0,0.7,0.22,0.44,1.68
hsa-miR-1229-5p,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1233-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.24,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
