miRNA,SRR16347582,SRR16347583,SRR16347584,SRR16347585,SRR16347586,SRR16347587,SRR16347588,SRR16347589,SRR16347590,SRR16347591,SRR16347592,SRR16347593
hsa-let-7a-2-3p,0.86,3.54,0.7,2.34,0.26,0.62,0.55,0.0,0.66,0.0,1.45,0.0
hsa-let-7a-3p,1.14,0.0,0.7,1.76,0.26,0.0,0.0,0.0,1.32,0.0,3.18,0.0
hsa-let-7a-5p,379.39,8579.12,128.37,4349.69,413.3,5958.54,1165.59,3056.6,552.05,5649.03,6458.89,6300.24
hsa-let-7b-3p,0.0,1.42,0.47,0.29,0.26,0.62,0.82,0.0,0.22,0.0,0.87,0.0
hsa-let-7b-5p,1948.46,15550.59,584.17,9446.99,1983.26,13923.92,8032.15,9939.31,1616.58,16502.52,8652.13,8915.7
hsa-let-7c-3p,0.29,0.0,0.0,1.76,0.0,0.0,0.27,0.0,0.0,0.0,0.58,0.0
hsa-let-7c-5p,68.67,955.17,39.3,976.1,38.25,1141.26,223.62,867.17,66.62,1909.84,278.71,487.16
hsa-let-7d-3p,1.72,46.43,0.0,8.2,2.07,11.1,1.91,2.93,0.22,9.73,1.45,25.91
hsa-let-7d-5p,2.0,44.3,0.7,12.6,4.14,20.97,2.46,15.62,6.82,12.38,44.52,33.69
hsa-let-7e-3p,0.0,0.0,0.0,0.59,0.26,0.0,0.0,0.0,0.22,0.0,1.16,0.0
hsa-let-7e-5p,32.33,954.46,9.07,360.62,41.1,593.29,98.29,247.07,60.9,621.18,794.78,709.58
hsa-let-7f-5p,179.11,3675.7,97.9,2011.68,166.71,2153.62,402.45,1058.58,278.55,2445.23,3551.81,3296.1
hsa-let-7g-5p,7.73,165.16,13.26,94.92,13.44,58.28,27.58,26.37,21.55,60.73,91.36,76.87
hsa-let-7i-3p,0.0,0.0,0.7,0.29,0.26,1.54,1.09,0.98,0.44,0.0,0.0,0.0
hsa-let-7i-5p,1163.07,2279.99,1009.05,1874.28,642.05,2138.2,2342.91,1074.2,3176.87,3318.78,4208.4,1237.33
hsa-miR-1-3p,0.0,4.61,0.0,0.59,0.0,0.0,1.64,0.0,0.44,0.0,2.6,0.0
hsa-miR-100-3p,0.29,7.8,0.0,1.76,0.26,4.93,1.09,0.98,0.44,3.24,0.87,4.32
hsa-miR-100-5p,336.19,617.76,179.76,1012.72,301.12,490.3,703.34,236.32,318.35,972.9,1816.82,522.57
hsa-miR-101-3p,2.86,28.0,4.42,25.78,4.14,25.9,10.38,9.77,8.57,21.23,24.57,25.48
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,1.4,0.0,0.52,0.0,0.0,0.0,0.44,1.47,2.02,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0
hsa-miR-10396a-3p,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.29,221.16,3.95,49.51,9.82,79.87,26.76,9.77,23.96,113.51,490.63,41.03
hsa-miR-10401-3p,0.0,6.38,0.0,0.29,0.26,3.08,0.0,0.0,0.0,0.0,0.29,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.86,1.42,1.4,6.44,1.03,4.93,2.73,0.0,1.32,19.16,3.76,4.32
hsa-miR-106b-5p,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
hsa-miR-107,0.57,10.99,0.0,4.39,0.0,1.85,0.82,6.84,0.22,0.0,1.73,3.46
hsa-miR-10a-3p,1.43,3.9,2.79,9.96,0.0,2.47,2.46,0.98,1.54,6.19,5.49,3.89
hsa-miR-10a-5p,42.63,234.63,9.77,214.73,34.64,163.13,76.18,39.06,34.52,102.89,158.73,154.61
hsa-miR-10b-3p,0.57,5.32,0.93,1.76,1.29,0.31,2.18,0.0,2.64,7.96,2.6,3.02
hsa-miR-10b-5p,40.34,178.27,13.02,80.85,25.33,94.05,62.25,41.02,44.85,214.63,141.09,160.23
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.57,1.42,0.0,0.0,0.78,1.54,2.73,4.88,0.0,4.42,0.58,0.86
hsa-miR-1181,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.57,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.44,0.0,0.87,1.73
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.22,0.0,0.29,2.16
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,3.43,3.54,10.23,0.29,2.33,0.0,1.91,0.0,9.45,0.0,5.49,0.0
hsa-miR-122-5p,0.57,2.13,0.47,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.58,0.0
hsa-miR-1226-3p,0.0,0.0,0.23,0.0,0.0,0.0,0.27,0.0,0.0,2.06,0.0,1.73
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
