miRNA,SRR15107913,SRR15107914,SRR15107915,SRR15107916,SRR15107917,SRR15107918,SRR15107919,SRR15107920,SRR15107921,SRR15107922,SRR15107923,SRR15107924,SRR15107925,SRR15107926,SRR15107927,SRR15107928,SRR15107929,SRR15107930
hsa-let-7a-3p,0.49,0.0,0.21,0.9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.0,0.33,0.0,0.32,0.0
hsa-let-7a-5p,704.91,149.9,359.09,401.55,322.32,552.38,347.5,317.48,422.5,1526.42,802.95,531.96,155.22,772.23,688.49,222.18,1219.1,800.3
hsa-let-7b-3p,3.95,0.0,2.08,6.48,3.33,0.23,0.68,0.98,4.38,11.09,2.74,0.18,2.16,3.17,4.09,2.64,2.27,3.97
hsa-let-7b-5p,981.5,193.22,941.68,921.54,596.98,546.25,490.88,501.16,839.83,2268.2,1093.66,556.11,562.34,1265.08,834.11,1296.86,1255.23,1275.93
hsa-let-7c-5p,13.34,0.5,7.5,10.98,9.53,11.12,3.88,7.83,13.15,71.47,11.64,7.63,6.09,16.75,8.67,7.74,15.55,16.61
hsa-let-7d-3p,53.87,8.96,26.45,88.01,42.34,13.84,12.56,7.34,51.84,145.15,35.61,18.16,25.15,49.53,87.53,16.71,45.37,62.84
hsa-let-7d-5p,39.04,4.98,17.7,23.76,17.07,29.05,18.49,17.61,28.11,78.61,49.31,26.87,5.89,37.19,39.59,10.73,58.49,49.66
hsa-let-7e-3p,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,18.12,19.42,16.45,15.48,18.62,14.3,14.84,4.16,20.89,36.47,32.53,21.42,10.41,35.61,16.85,7.04,43.91,49.12
hsa-let-7f-1-3p,1.15,0.0,0.42,0.36,1.11,0.23,0.0,0.0,0.26,0.99,0.0,0.54,0.2,0.18,0.49,0.18,0.16,1.26
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
hsa-let-7f-5p,117.95,31.37,67.69,89.45,57.41,129.81,86.76,79.49,89.76,373.6,222.57,144.7,26.13,176.27,171.63,37.47,348.36,178.95
hsa-let-7g-3p,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
hsa-let-7g-5p,23.56,5.98,13.96,27.9,15.74,24.28,13.24,22.01,24.5,64.07,26.02,33.22,7.27,32.26,31.41,12.31,56.87,36.48
hsa-let-7i-3p,0.49,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.49,0.34,0.54,0.2,1.06,1.15,0.18,0.65,0.0
hsa-let-7i-5p,13.18,9.46,11.66,32.76,6.43,12.94,5.25,15.65,19.35,34.25,23.63,16.88,5.7,50.06,15.71,17.59,36.13,23.11
hsa-miR-1-3p,0.99,0.0,0.42,0.0,0.89,2.04,0.0,0.49,0.0,0.0,1.37,0.0,0.39,0.18,1.15,0.18,2.27,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,0.0,0.21,0.0,0.22,0.23,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.71,0.16,0.53,0.16,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-10395-3p,0.33,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.66,0.0,0.83,1.62,0.0,0.45,0.23,0.0,1.81,1.97,3.42,2.0,0.39,0.0,2.45,1.76,0.16,4.33
hsa-miR-10401-3p,0.49,0.0,0.21,1.08,0.0,0.23,0.0,0.73,0.26,1.48,0.0,0.18,0.59,0.88,0.82,0.0,0.32,0.72
hsa-miR-106a-5p,0.0,0.0,0.0,0.54,0.0,0.68,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,1.15,1.0,2.29,3.24,0.0,0.23,0.23,0.0,2.58,4.44,1.37,0.0,0.79,1.94,4.58,4.05,2.27,3.43
