miRNA,SRR20172509,SRR20172510,SRR20172511,SRR20172512,SRR20172513,SRR20172514
hsa-let-7a-2-3p,1.28,0.99,1.19,5.38,2.03,0.25
hsa-let-7a-3p,12.08,6.26,3.36,32.45,6.54,0.25
hsa-let-7a-5p,3304.9,1767.2,1875.88,2795.26,1028.93,711.85
hsa-let-7b-3p,3.27,2.97,1.58,17.99,5.19,1.27
hsa-let-7b-5p,2217.91,1523.52,1198.75,3589.43,823.33,331.07
hsa-let-7c-3p,0.14,0.16,0.4,1.28,0.0,0.0
hsa-let-7c-5p,134.06,80.29,77.85,416.14,76.88,45.62
hsa-let-7d-3p,32.56,15.17,16.99,83.46,19.84,7.14
hsa-let-7d-5p,135.62,60.01,66.78,149.62,34.27,28.8
hsa-let-7e-3p,1.28,1.15,0.59,3.83,0.45,0.51
hsa-let-7e-5p,121.41,59.02,64.41,133.61,37.2,27.78
hsa-let-7f-1-3p,0.71,0.82,0.0,1.84,0.0,0.0
hsa-let-7f-2-3p,0.28,0.49,0.4,2.41,0.45,0.0
hsa-let-7f-5p,1520.45,752.28,764.66,1548.95,567.22,277.81
hsa-let-7g-3p,0.57,0.0,0.2,0.28,1.35,0.0
hsa-let-7g-5p,2843.0,1423.45,1038.51,5851.65,1441.27,303.55
hsa-let-7i-3p,9.38,7.91,8.69,18.99,10.37,1.78
hsa-let-7i-5p,2279.18,1583.21,1157.26,5750.06,1841.44,609.39
hsa-miR-1-3p,17.91,4.45,7.71,26.78,9.24,2.29
hsa-miR-100-3p,0.0,0.16,0.79,0.14,0.0,0.0
hsa-miR-100-5p,38030.12,18256.9,14440.96,40332.76,5178.48,3794.49
hsa-miR-101-3p,1316.16,346.71,567.86,660.42,192.76,68.56
hsa-miR-101-5p,0.14,0.16,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.2,0.28,0.0,0.0
hsa-miR-10395-3p,4.69,4.95,8.1,6.66,0.68,0.51
hsa-miR-10396a-3p,3.98,6.1,4.74,4.96,2.03,6.63
hsa-miR-10396a-5p,0.28,0.66,2.57,0.0,0.45,2.55
hsa-miR-10396b-3p,5.54,3.79,3.75,2.41,1.8,4.33
hsa-miR-10396b-5p,1.14,0.33,1.38,0.57,0.9,3.82
hsa-miR-10399-3p,0.0,0.16,0.0,0.14,0.0,0.51
hsa-miR-103a-2-5p,0.14,0.33,0.0,0.71,0.68,0.51
hsa-miR-103a-3p,46.2,36.27,17.19,228.69,135.72,6.63
hsa-miR-10401-3p,5.54,4.95,9.09,3.83,4.06,3.82
hsa-miR-10401-5p,0.57,0.33,0.59,0.28,0.68,1.02
hsa-miR-10526-3p,0.0,0.0,0.59,0.43,0.23,0.0
hsa-miR-10527-5p,0.0,0.16,0.0,0.14,0.0,0.25
hsa-miR-106a-5p,1.99,0.49,0.79,1.7,0.0,0.0
hsa-miR-106b-3p,51.46,19.29,20.35,87.99,14.88,4.08
hsa-miR-106b-5p,62.55,29.18,32.6,127.24,39.23,6.37
hsa-miR-107,3.55,1.98,2.37,2.98,33.14,1.53
hsa-miR-10a-3p,20.9,8.9,8.89,41.23,9.24,2.29
hsa-miR-10a-5p,875.73,461.29,269.11,983.47,227.25,110.1
hsa-miR-10b-3p,7.96,2.97,2.77,14.74,2.93,1.53
hsa-miR-10b-5p,1531.54,616.43,406.83,1282.72,256.56,105.77
hsa-miR-1179,0.0,0.0,0.2,0.57,0.0,0.0
hsa-miR-1180-3p,2.84,2.31,3.95,10.77,2.03,0.51
hsa-miR-1185-1-3p,0.14,0.49,0.2,1.56,1.8,0.25
hsa-miR-1185-2-3p,0.28,0.49,0.0,0.71,0.23,0.0
hsa-miR-1185-5p,0.28,0.33,0.2,2.13,0.9,0.25
hsa-miR-1197,3.84,1.48,1.58,11.76,2.25,2.29
hsa-miR-12136,1.14,4.12,5.14,1.56,0.9,1.02
hsa-miR-122-3p,0.0,0.0,0.2,0.0,0.0,0.0
hsa-miR-122-5p,22.04,1.98,4.35,6.94,0.45,14.02
hsa-miR-1226-3p,0.0,0.0,0.0,0.85,0.0,0.0
hsa-miR-1228-3p,0.14,1.48,0.2,2.13,0.45,0.0
hsa-miR-1228-5p,0.43,0.0,0.99,0.28,0.0,0.25
hsa-miR-122b-5p,0.0,0.33,0.0,0.43,0.23,0.0
hsa-miR-1234-3p,0.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.23,0.0
hsa-miR-124-3p,0.0,0.0,0.0,2.98,0.45,0.0
hsa-miR-1243,0.14,0.0,0.2,0.0,0.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-1246,311.77,70.73,101.76,237.9,481.55,20.64
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-1248,0.43,1.15,0.0,0.57,1.13,1.27
hsa-miR-1249-3p,0.57,0.82,0.59,5.81,0.45,0.51
hsa-miR-1255a,0.14,0.16,0.2,0.28,0.0,0.0
hsa-miR-1255b-5p,0.28,0.16,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,2.56,1.65,0.99,4.53,0.45,0.0
hsa-miR-125a-5p,386.12,154.64,148.78,671.89,126.02,59.38
hsa-miR-125b-1-3p,17.34,13.19,9.88,29.75,15.1,4.84
hsa-miR-125b-2-3p,2.84,0.49,0.79,4.11,0.68,0.51
hsa-miR-125b-5p,3270.92,1888.54,1687.38,9211.69,1044.26,524.27
hsa-miR-126-3p,39.24,29.51,26.08,41.94,18.71,18.1
hsa-miR-126-5p,4.98,5.28,5.14,8.08,1.35,3.82
hsa-miR-1260b,2.42,1.32,2.57,11.62,9.69,1.53
hsa-miR-1262,1.14,0.0,0.2,0.28,0.23,0.0
hsa-miR-1267,0.0,0.0,0.0,0.28,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,1.28,0.0,0.0
hsa-miR-1268b,0.0,0.49,0.0,0.0,0.23,0.25
hsa-miR-127-3p,61.7,56.38,31.02,339.06,87.7,36.45
hsa-miR-127-5p,3.7,3.13,2.57,15.3,2.93,1.27
hsa-miR-1270,0.57,0.99,0.0,1.42,0.9,0.0
hsa-miR-1271-3p,0.0,0.16,0.0,0.0,0.0,0.0
