miRNA,SRR5983012,SRR5983013,SRR5983014
hsa-let-7a-3p,0.07,1.74,0.04
hsa-let-7a-5p,152.04,1048.69,283.9
hsa-let-7b-3p,0.57,1.07,0.0
hsa-let-7b-5p,1093.86,1383.11,1456.63
hsa-let-7c-5p,12.63,16.92,13.69
hsa-let-7d-3p,15.21,48.0,6.78
hsa-let-7d-5p,44.9,190.65,42.97
hsa-let-7e-3p,0.11,0.22,0.0
hsa-let-7e-5p,5.27,24.92,11.55
hsa-let-7f-1-3p,0.04,0.26,0.0
hsa-let-7f-2-3p,0.11,0.48,0.0
hsa-let-7f-5p,51.62,1232.23,88.41
hsa-let-7g-3p,0.35,0.96,0.0
hsa-let-7g-5p,364.34,2267.85,198.6
hsa-let-7i-3p,5.1,3.81,0.86
hsa-let-7i-5p,6041.74,10532.96,1584.3
hsa-miR-1-3p,4.28,59.18,4.89
hsa-miR-100-5p,202.89,143.21,17.44
hsa-miR-101-2-5p,0.14,0.0,0.0
hsa-miR-101-3p,1087.35,2670.97,123.67
hsa-miR-101-5p,0.0,0.74,0.0
hsa-miR-10392-5p,0.07,0.04,0.0
hsa-miR-10393-3p,0.39,1.26,0.57
hsa-miR-10394-3p,0.04,0.04,0.0
hsa-miR-10394-5p,0.04,0.0,0.0
hsa-miR-10395-3p,0.39,0.41,0.0
hsa-miR-10395-5p,0.0,0.11,0.0
hsa-miR-10399-3p,3.29,5.0,3.28
hsa-miR-10399-5p,0.0,0.19,0.0
hsa-miR-103a-2-5p,0.18,0.0,0.0
hsa-miR-103a-3p,13.13,96.47,7.92
hsa-miR-10401-3p,2.65,1.11,20.26
hsa-miR-105-3p,0.0,0.04,0.0
hsa-miR-105-5p,0.0,0.52,0.0
hsa-miR-10526-3p,0.18,0.0,0.0
hsa-miR-10527-5p,0.5,0.37,0.36
hsa-miR-106a-3p,0.0,0.15,0.0
hsa-miR-106a-5p,2.05,14.44,0.07
hsa-miR-106b-3p,361.61,396.71,140.9
hsa-miR-106b-5p,37.36,59.25,3.74
