miRNA,SRR18672397,SRR18672408,SRR18672419,SRR18672431,SRR18672432,SRR18672433,SRR18672434,SRR18672435,SRR18672436,SRR18672437,SRR18672438,SRR18672439,SRR18672440,SRR18672441,SRR18672442,SRR18672443,SRR18672444,SRR18672445,SRR18672446,SRR18672447,SRR18672448,SRR18672449,SRR18672450,SRR18672451,SRR18672452,SRR18672453,SRR18672454,SRR18672455,SRR18672456,SRR18672457,SRR18672458,SRR18672459,SRR18672460,SRR18672461,SRR18672462,SRR18672463,SRR18672464,SRR18672465,SRR18672466,SRR18672467,SRR18672468,SRR18672478,SRR18672489,SRR18672499,SRR18672500
hsa-let-7a-3p,0.0,0.0,4.54,20.84,0.0,8.67,12.77,0.0,15.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.45,28.32,19.3,3.73,0.0,7.17,0.0,32.13,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,6.2,0.0,8.7,2.39,0.0,0.0,7.17,0.0,0.0,0.0,4.35,0.0
hsa-let-7a-5p,154.94,714.37,3865.44,291.7,19.77,190.7,217.09,115.66,206.4,873.01,121.15,171.37,0.0,37.41,85.99,0.0,1089.48,1312.12,2135.84,3297.98,212.43,2337.92,1916.18,4710.72,3105.54,306.17,213.4,517.55,871.62,529.18,1127.87,309.66,125.99,1383.51,95.3,256.56,195.99,185.74,122.12,365.76,539.7,695.19,1341.28,2110.87,986.19
hsa-let-7b-3p,0.0,18.55,9.07,0.0,0.0,0.0,0.0,8.9,0.0,0.0,9.32,0.0,0.0,0.0,0.0,0.0,0.0,18.88,0.0,0.0,0.0,0.0,11.64,30.12,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,316.82,881.36,1429.12,187.52,19.77,60.68,357.55,391.47,730.32,719.85,232.98,257.05,20.54,87.3,245.7,0.0,176.67,505.02,842.76,1913.87,840.88,2255.45,1749.38,4321.17,2469.06,421.61,287.63,408.21,1259.0,317.51,454.28,103.22,146.15,645.22,383.37,478.33,630.98,173.36,305.3,1843.13,327.68,278.08,460.59,1913.05,0.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86,0.0,0.0,0.0
hsa-let-7c-5p,90.19,565.93,1569.77,0.0,19.77,69.35,127.7,53.38,111.14,505.43,111.83,171.37,20.54,49.89,159.7,0.0,441.68,320.95,823.46,2148.91,593.04,2129.95,1563.2,1726.86,2519.5,401.54,454.63,561.29,986.07,529.18,375.96,206.44,45.36,728.98,188.44,347.88,270.08,86.68,234.06,1147.47,481.88,357.53,794.65,2760.88,493.1
hsa-let-7d-3p,122.57,176.27,362.95,104.18,0.0,17.34,102.16,195.74,95.26,61.26,37.28,31.16,20.54,37.41,36.85,0.0,88.34,311.51,411.73,339.5,17.7,311.96,314.19,1363.42,206.56,85.33,9.28,80.18,167.28,105.84,62.66,0.0,60.48,176.82,25.99,65.23,97.99,0.0,30.53,64.55,67.46,19.86,131.6,45.65,0.0
hsa-let-7d-5p,11.56,102.05,444.62,41.67,39.54,17.34,51.08,17.79,47.63,137.84,18.64,0.0,0.0,12.47,12.28,0.0,235.56,146.32,424.6,477.54,8.85,329.89,201.7,674.68,564.42,15.06,37.11,138.5,105.65,105.84,172.31,0.0,10.08,217.14,15.16,52.18,45.41,37.15,20.35,43.03,48.19,99.31,141.72,308.7,246.55
hsa-let-7e-3p,4.63,0.0,13.61,0.0,0.0,0.0,12.77,0.0,0.0,0.0,9.32,0.0,0.0,0.0,0.0,0.0,0.0,9.44,25.73,11.19,0.0,14.34,0.0,26.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,4.35,0.0,12.38,0.0,0.0,0.0,0.0,5.06,0.0,0.0
hsa-let-7e-5p,87.88,269.05,1057.1,83.34,0.0,0.0,114.93,44.49,95.26,321.64,37.28,31.16,0.0,24.94,12.28,0.0,147.23,217.11,431.03,1104.3,44.26,778.11,608.99,1455.79,797.4,130.5,83.5,116.63,387.39,0.0,250.64,103.22,55.44,375.35,62.81,56.53,114.72,37.15,30.53,286.87,125.29,59.59,455.53,386.96,0.0
