miRNA,SRR9005506,SRR9005507,SRR9005508,SRR9005509,SRR9005510,SRR9005511,SRR9005512,SRR9005513,SRR9005514,SRR9005515,SRR9005516,SRR9005517,SRR9005518,SRR9005519,SRR9005520,SRR9005521,SRR9005522,SRR9005523,SRR9005524,SRR9005525,SRR9005526,SRR9005527,SRR9005528,SRR9005529,SRR9005530,SRR9005531,SRR9005532,SRR9005533,SRR9005534,SRR9005535,SRR9005536,SRR9005537,SRR9005538,SRR9005539,SRR9005540,SRR9005541,SRR9005542,SRR9005543,SRR9005544,SRR9005545,SRR9005546,SRR9005547,SRR9005548,SRR9005549,SRR9005550,SRR9005551,SRR9005552,SRR9005553
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-let-7g-5p,30.18,23.63,92.09,23.23,12.23,43.09,19.49,27.35,101.4,19.08,67.53,24.29,15.29,31.46,47.17,48.01,42.93,55.04,26.17,23.85,50.38,59.86,36.74,44.8,49.36,21.52,48.96,51.8,79.46,21.67,83.24,15.85,25.81,24.5,58.74,64.99,11.39,28.84,44.88,23.38,12.92,15.51,23.93,12.53,12.28,14.15,27.25,396.47
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.17,0.0,0.0,0.78
hsa-let-7i-5p,168.82,161.99,509.32,175.66,80.54,252.31,127.96,174.74,676.21,138.46,373.0,182.71,124.75,198.27,319.12,412.88,286.94,377.3,166.57,160.68,478.91,508.62,270.18,337.91,400.86,129.48,392.26,358.02,491.38,167.28,597.36,158.21,152.95,215.85,552.99,565.78,83.56,185.82,260.7,168.42,97.77,125.78,164.13,104.72,101.8,102.3,206.98,7116.8
hsa-miR-1-3p,1.01,0.35,0.17,0.32,0.16,0.82,0.52,0.16,0.95,0.16,1.57,0.0,0.0,0.47,0.37,0.72,0.17,0.14,0.0,0.0,0.69,1.35,0.67,0.33,1.13,1.16,0.0,0.38,0.0,0.31,0.54,0.16,0.69,0.0,0.32,0.31,0.0,0.31,1.09,1.59,0.16,0.78,1.45,0.97,0.5,0.74,0.9,1.72
hsa-miR-100-5p,150.54,147.5,327.94,341.13,227.92,275.41,372.84,248.36,338.89,177.1,372.48,190.54,98.29,143.4,238.08,393.13,172.92,165.11,131.56,225.02,215.57,216.27,185.4,164.56,339.24,211.6,206.33,134.33,199.58,165.29,228.32,125.88,170.84,142.84,261.06,239.31,73.63,215.12,330.39,186.87,193.74,141.91,293.25,189.67,123.17,137.29,257.26,2206.48
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-101-3p,11.06,12.94,41.43,28.48,14.02,24.25,12.76,9.38,16.24,5.99,21.06,4.73,4.77,10.91,14.79,20.47,11.16,20.42,7.6,6.56,13.38,12.51,6.24,4.56,57.91,18.88,18.65,10.81,21.95,15.11,14.51,7.06,10.32,9.07,10.19,7.8,7.42,13.57,16.78,12.56,6.87,5.95,11.24,8.77,6.39,4.91,7.38,81.33
hsa-miR-10392-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.5,0.48,0.16,0.0,0.0,0.0,0.63,0.16,0.17,0.33,0.0,0.16,0.56,0.18,0.0,0.43,0.0,0.0,0.35,0.51,0.0,0.16,0.48,0.17,0.19,0.0,0.34,0.15,0.0,0.16,0.34,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.3,0.16
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.5,0.69,2.81,1.75,0.0,5.24,1.03,2.03,5.05,2.05,8.18,2.12,0.33,2.21,0.56,0.0,2.58,1.45,1.06,0.0,2.61,1.69,0.17,0.0,9.36,2.98,2.14,3.98,5.1,2.59,0.0,1.73,0.52,0.95,1.75,1.53,0.0,5.71,4.56,2.39,0.49,0.0,0.48,1.53,0.84,0.0,3.16,6.88
hsa-miR-10400-5p,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.34,0.69,1.49,0.8,0.49,0.49,0.69,0.31,0.79,0.63,0.87,0.65,0.33,0.63,0.37,1.27,0.34,0.72,0.35,1.44,0.35,1.52,0.51,0.33,1.13,0.17,0.78,0.19,1.7,1.07,0.54,0.47,0.86,0.95,0.8,1.22,0.26,1.23,0.91,1.43,0.98,1.1,0.8,0.7,0.17,0.74,2.26,162.19
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.3,0.31
hsa-miR-106b-3p,1.68,1.55,10.73,1.59,0.49,5.24,1.38,2.19,3.94,1.73,6.09,1.3,0.99,1.11,2.81,2.54,3.26,2.03,0.53,0.64,2.08,2.2,2.19,0.98,2.42,0.83,2.14,2.28,4.25,1.98,2.9,0.94,2.92,1.11,2.07,2.91,0.93,3.08,4.74,1.27,1.14,1.1,2.89,1.53,1.18,0.45,2.56,19.71
hsa-miR-106b-5p,0.0,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.52,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.0,0.17,0.0,0.0,0.0,0.0,0.32,0.0,0.15,0.0,0.46,0.0,0.32,0.0,0.0,0.48,0.14,0.17,0.0,0.15,0.0
hsa-miR-107,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,2.06,0.0,0.54,0.0,0.0,0.0,1.28,0.17,0.34,0.0,0.0,0.0,0.0,1.94,1.14,0.17,0.61,0.0,0.31,0.17,0.0,0.48,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.16
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.35,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.17,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
hsa-miR-10a-5p,24.14,33.3,52.15,45.19,21.52,48.5,43.28,32.82,48.57,27.44,25.59,26.08,36.98,36.21,35.37,92.94,32.46,44.17,17.68,28.65,48.12,45.82,19.38,37.8,53.72,39.07,38.66,34.15,58.19,37.09,45.88,25.58,29.76,25.45,38.52,26.0,11.92,28.68,51.81,50.1,43.0,29.76,32.76,35.37,25.91,32.16,59.61,188.15
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.32,0.15,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.17,0.0,0.15,0.0
hsa-miR-10b-5p,55.83,72.8,137.48,138.11,58.04,104.36,106.23,98.16,135.78,60.4,84.07,60.96,105.19,97.71,98.08,233.52,78.13,99.5,49.69,82.58,109.96,130.37,53.94,95.15,165.34,104.97,95.2,107.01,159.94,88.83,128.94,76.12,76.22,60.13,100.76,80.74,34.17,80.65,146.68,127.23,129.48,81.92,95.23,71.86,56.54,85.32,164.98,376.45
hsa-miR-11400,0.0,0.0,1.16,0.0,0.33,2.29,0.52,0.0,0.0,0.0,0.17,0.16,0.0,0.16,1.12,0.36,0.0,0.14,0.18,0.16,0.35,0.0,0.0,0.16,0.0,0.0,0.58,0.0,0.0,0.31,0.0,0.0,0.0,0.95,0.16,0.31,0.0,0.0,0.18,0.0,0.33,0.16,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-11401,0.34,0.0,0.5,0.16,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.37,0.0,0.0,0.0,0.18,0.0,0.35,0.0,0.17,0.0,0.0,0.0,0.19,0.19,0.68,0.92,0.18,0.0,0.52,0.0,0.16,0.0,0.0,0.0,0.18,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-1180-3p,1.84,1.21,1.98,7.8,0.65,2.29,0.69,1.25,3.0,1.26,0.87,1.63,0.49,0.16,0.75,1.09,3.09,3.04,1.24,0.64,1.39,2.2,1.01,0.81,1.29,2.15,1.17,0.95,2.38,1.68,1.63,1.73,0.52,1.27,0.96,1.53,0.93,2.47,2.92,1.27,0.65,0.31,2.57,0.7,0.5,1.19,2.26,0.78
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.16
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,64.38,386.44,31.36,63.8,171.67,186.28,63.81,3.28,1.42,0.0,170.23,20.21,17.09,33.52,277.38,357.26,35.55,80.09,40.49,21.77,113.78,128.34,9.78,76.25,0.0,54.64,2.72,17.27,368.54,424.76,11.42,19.31,17.2,254.82,708.83,224.32,103.96,182.58,121.14,87.47,32.53,0.0,24.89,7.8,114.08,88.3,79.03,674.55
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16
hsa-miR-1224-5p,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,3.02,5.0,5.94,4.93,4.89,10.16,9.66,4.06,5.2,1.42,9.4,3.75,0.99,2.53,6.93,5.62,1.55,3.62,3.01,2.56,0.52,3.04,2.53,2.12,5.48,3.15,1.36,0.76,5.27,4.12,2.72,2.83,2.41,2.55,4.14,3.82,1.06,2.78,4.56,2.39,3.43,1.25,6.75,4.04,1.18,1.34,4.52,194.72
hsa-miR-124-5p,0.0,0.0,0.17,0.0,0.0,0.49,0.0,0.16,0.16,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.34,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41
hsa-miR-1244,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,16.76,10.01,18.98,11.61,12.06,24.58,15.35,6.41,21.45,5.36,14.62,7.5,2.14,9.8,18.9,28.44,21.46,10.43,10.61,2.72,4.34,14.2,9.61,6.52,8.07,7.78,5.25,3.98,16.16,9.92,9.97,6.59,6.02,5.73,10.82,6.42,1.19,8.64,11.49,6.36,7.03,3.29,11.56,10.58,5.89,6.85,17.16,1.09
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.31
hsa-miR-1248,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.33,0.0,0.0,0.17,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
