miRNA,ERR3559065,ERR3559066
hsa-mir-3159-5p,1.28,0.0
hsa-mir-3648-1-5p,0.27,0.68
hsa-mir-3648-2-5p,0.31,0.1
hsa-mir-3651-3p,0.66,0.0
hsa-mir-3908-5p,0.22,2.15
hsa-mir-3909-3p,0.88,1.37
hsa-mir-451a-5p,0.09,8.11
hsa-mir-4734-3p,0.0,0.2
hsa-mir-5193-3p,0.09,0.0
hsa-mir-548ag-2-5p,0.04,0.98
hsa-mir-548aw-5p,0.09,0.49
hsa-mir-548ax-5p,0.53,0.0
hsa-mir-558-3p,0.04,0.59
hsa-mir-5695-3p,2.16,0.29
hsa-mir-636-3p,0.22,0.29
hsa-mir-641-5p,0.88,0.68
hsa-mir-645-3p,0.13,0.0
hsa-mir-663a-5p,0.13,0.0
hsa-mir-7851-3p,0.62,0.0
hsa-mir-7854-3p,0.04,0.49
hsa-mir-8072-5p,1.19,0.0
hsa-mir-941-2-3p,0.0,0.68
