miRNA,ERR3559065,ERR3559066
hsa-miR-186-5p,1071.8,412.7
hsa-miR-187-5p,0.04,0.0
hsa-miR-18a-3p,14.4,15.14
hsa-miR-18a-5p,0.97,0.0
hsa-miR-18b-3p,1.33,2.83
hsa-miR-1908-5p,14.66,22.75
hsa-miR-191-3p,3.22,4.69
hsa-miR-191-5p,15593.52,11833.63
hsa-miR-192-5p,1033.15,604.5
hsa-miR-193a-5p,17.89,19.92
hsa-miR-193b-3p,5.39,3.22
hsa-miR-193b-5p,9.45,4.1
hsa-miR-194-5p,23.67,21.29
hsa-miR-195-3p,3.0,0.1
hsa-miR-195-5p,0.04,0.0
hsa-miR-196b-5p,0.09,0.39
hsa-miR-197-3p,281.89,505.38
hsa-miR-197-5p,0.8,5.76
hsa-miR-1976,1.41,0.68
hsa-miR-199a-3p,20.27,160.84
hsa-miR-199a-5p,169.83,187.7
hsa-miR-199b-3p,107.2,6.25
hsa-miR-199b-5p,4.24,3.91
hsa-miR-19a-3p,1.94,0.0
hsa-miR-19b-3p,8.08,3.71
hsa-miR-200a-3p,27.43,17.68
hsa-miR-200b-3p,2.25,7.52
hsa-miR-200b-5p,1.5,2.83
hsa-miR-200c-3p,11.35,8.59
hsa-miR-202-3p,6.58,13.48
hsa-miR-203a-3p,1.9,4.98
hsa-miR-204-3p,0.09,1.27
hsa-miR-204-5p,6.01,6.05
hsa-miR-205-5p,7.24,13.09
hsa-miR-206,23.32,15.82
hsa-miR-208a-3p,0.09,1.17
hsa-miR-20a-5p,14.13,18.65
hsa-miR-20b-5p,0.0,1.86
hsa-miR-21-3p,10.11,5.66
hsa-miR-21-5p,176.1,252.84
hsa-miR-210-3p,0.04,0.39
hsa-miR-211-5p,0.09,1.46
hsa-miR-2110,80.25,101.66
hsa-miR-2115-3p,0.09,1.27
hsa-miR-2116-3p,0.31,3.61
hsa-miR-212-5p,0.84,1.27
hsa-miR-214-3p,4.51,3.32
hsa-miR-215-5p,78.58,62.79
hsa-miR-216b-5p,0.04,1.07
hsa-miR-217-5p,0.13,0.0
hsa-miR-218-5p,0.31,0.0
hsa-miR-219a-1-3p,1.06,0.0
hsa-miR-219b-5p,0.0,1.17
hsa-miR-22-3p,3271.58,2326.32
hsa-miR-22-5p,1.33,1.86
hsa-miR-221-3p,71.07,150.59
hsa-miR-221-5p,29.33,21.97
hsa-miR-222-3p,258.96,402.64
hsa-miR-222-5p,2.61,0.0
hsa-miR-223-3p,47.08,91.9
hsa-miR-223-5p,6.85,18.46
hsa-miR-224-5p,134.85,295.12
hsa-miR-2276-3p,0.66,0.0
hsa-miR-2355-3p,1.77,0.78
hsa-miR-2355-5p,1.59,0.49
hsa-miR-23a-3p,702.81,631.65
hsa-miR-23a-5p,0.97,2.25
hsa-miR-23b-3p,48.36,37.5
hsa-miR-23b-5p,30.61,22.07
hsa-miR-24-1-5p,0.0,0.39
hsa-miR-24-2-5p,0.0,0.49
hsa-miR-24-3p,132.15,133.21
hsa-miR-25-3p,2683.87,2535.99
hsa-miR-25-5p,8.83,14.84
hsa-miR-26a-1-3p,4.68,7.23
hsa-miR-26a-2-3p,0.66,0.0
hsa-miR-26a-5p,7202.47,8758.67
hsa-miR-26b-3p,21.25,9.67
hsa-miR-26b-5p,102.43,188.87
hsa-miR-27a-3p,100.13,94.44
hsa-miR-27b-3p,1008.11,778.82
hsa-miR-27b-5p,0.13,1.17
hsa-miR-28-3p,387.98,207.43
hsa-miR-296-3p,0.13,1.86
hsa-miR-296-5p,1.37,2.25
hsa-miR-29a-3p,105.65,65.04
hsa-miR-29b-1-5p,0.04,1.76
hsa-miR-29b-2-5p,0.0,0.39
hsa-miR-29b-3p,2.16,3.61
hsa-miR-29c-3p,3.93,0.29
hsa-miR-30a-3p,8.17,4.88
hsa-miR-30a-5p,174.51,102.74
hsa-miR-30b-5p,63.38,85.94
hsa-miR-30c-2-3p,0.04,0.0
hsa-miR-30c-5p,1029.66,1356.67
hsa-miR-30d-3p,1.86,0.29
hsa-miR-30d-5p,4910.46,4412.78
hsa-miR-30e-3p,14.09,8.79
hsa-miR-30e-5p,767.74,724.92
hsa-miR-31-5p,0.09,0.2
hsa-miR-3120-3p,2.3,0.88
hsa-miR-3127-3p,0.57,0.98
hsa-miR-3127-5p,0.31,4.69
hsa-miR-3130-3p,4.33,1.66
hsa-miR-3136-3p,0.71,0.0
hsa-miR-3140-3p,2.83,0.0
hsa-miR-3140-5p,0.4,0.0
hsa-miR-3143,6.05,0.39
hsa-miR-3145-5p,0.75,0.0
hsa-miR-3149,0.0,0.1
hsa-miR-3150a-5p,0.09,0.0
hsa-miR-3154,0.0,1.07
hsa-miR-3157-3p,3.0,0.0
hsa-miR-3157-5p,0.0,1.07
hsa-miR-3161,3.62,1.37
hsa-miR-3173-5p,5.74,8.5
hsa-miR-3177-3p,14.66,13.57
hsa-miR-3178,0.0,0.2
hsa-miR-3180-3p,0.0,0.1
hsa-miR-3188,1.94,0.0
hsa-miR-3195,21.78,1.27
hsa-miR-3196,3.31,2.44
hsa-miR-32-5p,0.62,0.0
hsa-miR-3200-5p,1.68,0.0
hsa-miR-3202,0.44,0.0
hsa-miR-320a-3p,1049.19,3028.28
hsa-miR-320a-5p,0.49,0.0
hsa-miR-320b,34.23,52.15
hsa-miR-320c,110.47,155.67
hsa-miR-320d,14.13,40.24
hsa-miR-320e,0.8,0.0
hsa-miR-323a-3p,17.0,19.24
hsa-miR-323a-5p,0.62,0.0
hsa-miR-323b-3p,44.92,40.63
hsa-miR-326,0.27,0.49
hsa-miR-328-3p,61.26,86.72
hsa-miR-329-3p,9.19,16.6
hsa-miR-330-3p,9.19,11.43
hsa-miR-330-5p,0.31,0.0
hsa-miR-331-3p,4.37,1.76
hsa-miR-331-5p,15.41,11.62
hsa-miR-335-3p,68.77,72.27
hsa-miR-335-5p,78.97,56.06
hsa-miR-338-3p,1.06,0.0
hsa-miR-338-5p,119.87,55.08
hsa-miR-339-3p,5.52,9.67
hsa-miR-339-5p,20.89,21.68
hsa-miR-340-3p,17.14,23.93
hsa-miR-340-5p,7.16,7.81
hsa-miR-342-3p,267.09,317.0
hsa-miR-342-5p,2.69,8.89
hsa-miR-345-5p,32.29,25.49
hsa-miR-34b-3p,0.04,0.0
hsa-miR-34c-5p,0.09,1.27
hsa-miR-3605-3p,17.14,24.22
hsa-miR-3605-5p,5.3,9.08
hsa-miR-3609,0.04,0.0
hsa-miR-361-3p,26.32,27.34
hsa-miR-361-5p,253.18,212.7
hsa-miR-3613-3p,3.45,1.37
hsa-miR-3613-5p,0.04,1.46
hsa-miR-3614-3p,0.04,0.98
hsa-miR-3614-5p,3.67,6.93
hsa-miR-3615,216.52,143.66
hsa-miR-3617-3p,0.66,0.0
hsa-miR-362-5p,1.86,3.32
hsa-miR-3620-3p,0.09,0.0
hsa-miR-3620-5p,0.13,0.49
hsa-miR-363-3p,1987.33,1511.26
hsa-miR-363-5p,0.8,0.0
hsa-miR-3648,9.76,13.28
hsa-miR-365a-3p,3.18,5.86
hsa-miR-365a-5p,0.13,0.2
hsa-miR-365b-3p,42.53,63.09
hsa-miR-365b-5p,0.04,0.49
hsa-miR-3665,4.46,2.34
hsa-miR-3677-3p,0.04,0.0
hsa-miR-3688-3p,0.18,0.0
hsa-miR-369-3p,0.13,1.37
hsa-miR-3690,0.4,0.0
hsa-miR-3691-3p,2.39,0.49
hsa-miR-3691-5p,0.13,2.05
hsa-miR-370-3p,25.44,17.09
hsa-miR-371b-5p,5.08,0.29
hsa-miR-374a-3p,0.04,0.59
hsa-miR-374a-5p,20.67,25.39
hsa-miR-374b-5p,34.63,28.91
hsa-miR-375-3p,553.39,247.47
hsa-miR-377-3p,0.04,0.78
hsa-miR-378a-3p,27.65,20.41
hsa-miR-378a-5p,0.97,0.0
hsa-miR-378c,0.62,0.0
hsa-miR-378d,0.0,1.56
hsa-miR-378e,0.84,0.0
hsa-miR-379-3p,0.93,1.46
hsa-miR-379-5p,0.53,0.78
hsa-miR-381-3p,3.8,2.25
hsa-miR-382-3p,1.15,3.32
hsa-miR-382-5p,1.37,5.27
hsa-miR-3909,7.91,7.62
hsa-miR-3912-3p,0.0,1.46
hsa-miR-3918,0.04,0.78
hsa-miR-3928-3p,0.18,1.86
hsa-miR-3939,2.61,0.0
hsa-miR-3940-3p,9.76,10.84
hsa-miR-3944-5p,2.21,1.46
hsa-miR-3960,1.19,1.86
hsa-miR-409-3p,112.45,132.13
hsa-miR-409-5p,7.55,16.31
hsa-miR-410-3p,0.31,4.88
hsa-miR-411-3p,1.33,4.49
hsa-miR-411-5p,0.8,3.13
hsa-miR-412-5p,0.84,0.0
hsa-miR-421,4.33,1.66
hsa-miR-423-3p,187.32,175.0
hsa-miR-423-5p,4542.98,1835.97
hsa-miR-424-3p,28.27,14.06
hsa-miR-425-3p,41.7,32.13
hsa-miR-425-5p,231.93,145.22
hsa-miR-4286,2.69,6.54
hsa-miR-429,1.33,0.0
hsa-miR-4306,0.88,1.95
hsa-miR-432-5p,12.06,24.71
hsa-miR-4324,0.44,0.0
hsa-miR-4326,6.05,15.14
hsa-miR-433-3p,3.18,10.45
hsa-miR-4433a-3p,0.0,1.27
hsa-miR-4433b-3p,0.22,21.88
hsa-miR-4433b-5p,60.11,101.66
hsa-miR-4435,1.63,2.64
hsa-miR-4436a,1.06,0.0
hsa-miR-4436b-3p,0.0,0.1
hsa-miR-4443,1.77,0.88
hsa-miR-4446-3p,1.68,9.38
hsa-miR-4453,0.04,0.59
hsa-miR-4466,0.44,1.07
hsa-miR-4467,4.02,5.47
hsa-miR-4470,0.75,0.39
hsa-miR-4474-3p,0.04,0.49
hsa-miR-4482-3p,1.86,2.54
hsa-miR-4485-3p,0.18,2.44
hsa-miR-4488,6.98,5.08
hsa-miR-4492,2.69,0.98
hsa-miR-4497,0.04,0.2
hsa-miR-4508,248.76,287.41
hsa-miR-450a-1-3p,1.02,0.0
hsa-miR-450a-2-3p,0.22,0.0
hsa-miR-450a-5p,15.19,4.98
hsa-miR-450b-5p,32.55,14.84
hsa-miR-4516,7.51,5.57
hsa-miR-451a,4093.03,16613.61
hsa-miR-452-3p,0.0,0.59
hsa-miR-4525,0.0,0.2
hsa-miR-454-3p,0.0,0.2
hsa-miR-454-5p,15.5,7.23
hsa-miR-455-3p,0.71,1.37
hsa-miR-455-5p,0.09,1.07
hsa-miR-4635,0.66,0.0
hsa-miR-4646-5p,0.09,1.17
hsa-miR-4655-5p,0.66,0.0
hsa-miR-4659a-3p,6.32,0.0
hsa-miR-4659b-3p,1.37,0.0
hsa-miR-4661-5p,1.06,0.0
hsa-miR-4665-5p,1.15,3.52
hsa-miR-4670-3p,0.0,0.68
hsa-miR-4676-3p,0.0,0.39
hsa-miR-4677-3p,0.04,0.98
hsa-miR-4683,0.66,0.0
hsa-miR-4685-3p,21.47,21.39
hsa-miR-4686,1.68,1.95
hsa-miR-4687-5p,3.31,1.07
hsa-miR-4688,0.04,0.1
hsa-miR-4710,0.35,1.56
hsa-miR-4731-3p,0.22,0.68
hsa-miR-4731-5p,2.34,0.98
hsa-miR-4732-3p,226.41,198.34
hsa-miR-4732-5p,70.67,122.66
hsa-miR-4738-3p,1.94,0.98
hsa-miR-4741,0.75,0.0
hsa-miR-4742-3p,1.86,1.66
hsa-miR-4745-5p,0.27,0.0
hsa-miR-4746-5p,1.5,1.86
hsa-miR-4749-5p,0.0,0.29
hsa-miR-4753-3p,0.93,0.0
hsa-miR-4755-3p,0.66,0.0
hsa-miR-4755-5p,7.2,0.98
hsa-miR-4758-5p,0.8,0.59
hsa-miR-4762-5p,0.09,0.0
hsa-miR-4772-3p,1.86,0.68
hsa-miR-4773,1.86,0.68
hsa-miR-4786-5p,1.15,0.0
hsa-miR-4797-3p,0.13,0.78
hsa-miR-4804-3p,1.06,0.98
hsa-miR-483-3p,32.82,12.5
hsa-miR-483-5p,149.2,61.23
hsa-miR-484,1823.42,1849.35
hsa-miR-485-3p,3.8,18.07
hsa-miR-485-5p,10.34,17.97
hsa-miR-486-3p,66.43,98.93
hsa-miR-486-5p,191128.66,361223.6
hsa-miR-487a-3p,0.13,0.59
hsa-miR-487a-5p,0.04,0.0
hsa-miR-487b-3p,0.93,0.0
hsa-miR-487b-5p,0.49,0.0
hsa-miR-493-3p,0.18,4.88
hsa-miR-493-5p,1.72,6.84
hsa-miR-494-3p,5.3,8.3
hsa-miR-495-3p,2.08,3.32
hsa-miR-499a-5p,3.53,0.98
hsa-miR-5001-3p,2.61,0.98
hsa-miR-500a-3p,173.45,133.5
hsa-miR-500b-3p,3.98,1.95
hsa-miR-501-3p,467.17,384.77
hsa-miR-501-5p,0.09,0.78
hsa-miR-5010-3p,1.81,3.71
hsa-miR-5010-5p,5.92,14.06
hsa-miR-502-3p,23.9,70.31
hsa-miR-503-5p,3.67,3.71
hsa-miR-504-5p,4.64,5.96
hsa-miR-505-3p,4.95,7.71
hsa-miR-505-5p,7.77,12.11
hsa-miR-508-5p,0.35,0.0
hsa-miR-509-3p,0.0,0.39
hsa-miR-5090,0.66,0.78
hsa-miR-5094,2.39,0.39
hsa-miR-511-5p,0.31,0.0
hsa-miR-516a-5p,1.1,0.0
hsa-miR-5187-5p,0.35,4.59
hsa-miR-5189-3p,0.88,0.0
hsa-miR-5189-5p,0.66,1.37
hsa-miR-5192,0.93,0.0
hsa-miR-5193,0.0,0.59
hsa-miR-532-3p,8.04,5.47
hsa-miR-532-5p,42.09,25.98
hsa-miR-539-3p,0.04,1.17
hsa-miR-541-3p,0.88,0.0
hsa-miR-542-5p,0.04,0.0
hsa-miR-543,9.45,9.77
hsa-miR-544b,0.8,0.0
hsa-miR-548ac,1.55,0.98
hsa-miR-548at-3p,0.09,1.56
hsa-miR-548av-3p,0.04,0.0
hsa-miR-548ay-3p,0.4,1.17
hsa-miR-548e-3p,0.71,2.34
hsa-miR-548j-5p,0.18,1.76
hsa-miR-548k,1.9,2.34
hsa-miR-548o-3p,3.0,2.34
hsa-miR-550a-5p,4.42,6.84
hsa-miR-551b-5p,0.09,0.98
hsa-miR-556-3p,0.75,0.1
hsa-miR-5581-3p,7.55,0.59
