miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-miR-3675-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
hsa-miR-3675-5p,0.3,0.13,0.24,0.44,0.0,0.37,0.93,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
hsa-miR-3677-3p,0.0,0.0,0.0,0.22,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
hsa-miR-3678-3p,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3678-5p,0.0,0.77,0.12,1.0,0.12,0.98,0.7,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
hsa-miR-3679-3p,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3679-5p,0.3,0.52,0.0,1.33,1.72,3.69,1.27,0.9,0.29,0.53,0.08,0.12,0.39,0.0,2.38,0.0
hsa-miR-3680-3p,0.59,0.0,0.37,0.44,0.12,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3680-5p,0.0,0.0,0.37,0.0,0.0,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3681-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3682-3p,1.18,0.9,0.49,0.44,0.25,0.37,0.93,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0
hsa-miR-3682-5p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3683,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3684,0.0,0.13,0.0,0.33,0.37,0.0,0.12,0.0,0.29,0.35,0.08,0.0,0.13,0.0,0.0,0.0
hsa-miR-3685,0.89,0.13,1.7,0.78,0.37,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
