miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-518d-5p,0.0,0.32,0.0,0.0
hsa-miR-518e-3p,0.96,0.16,4.3,0.0
hsa-miR-519a-2-5p,0.0,0.16,0.72,0.0
hsa-miR-519a-3p,0.32,0.48,5.02,0.0
hsa-miR-519a-5p,0.96,0.16,2.15,0.0
hsa-miR-519b-3p,0.32,0.0,0.0,0.0
hsa-miR-519b-5p,0.0,0.0,2.15,0.0
hsa-miR-519c-3p,0.0,0.0,0.72,0.0
hsa-miR-519c-5p,1.92,0.0,2.87,0.0
hsa-miR-519d-3p,2.56,0.8,12.19,0.0
hsa-miR-520a-5p,0.96,0.64,1.43,0.0
hsa-miR-520d-3p,0.0,0.16,0.0,0.0
hsa-miR-520d-5p,0.64,0.32,2.87,0.0
hsa-miR-520f-3p,0.0,0.16,0.0,0.0
hsa-miR-520g-3p,4.16,3.18,10.04,0.0
hsa-miR-520h,0.0,0.0,6.45,0.0
hsa-miR-522-3p,1.28,0.8,2.87,0.91
hsa-miR-522-5p,0.0,0.48,0.0,0.0
hsa-miR-523-3p,0.0,0.0,0.72,0.0
hsa-miR-523-5p,0.32,0.0,0.0,0.0
hsa-miR-524-5p,0.32,0.16,2.87,0.0
hsa-miR-525-5p,0.32,0.32,0.72,0.0
hsa-miR-526a-5p,0.64,0.0,1.43,0.0
hsa-miR-526b-5p,7.03,1.59,15.78,0.0
hsa-miR-532-3p,0.64,0.0,0.72,2.72
hsa-miR-532-5p,12.47,2.07,132.67,104.36
hsa-miR-539-3p,0.0,0.0,1.43,0.0
hsa-miR-541-5p,0.32,0.32,0.0,0.0
hsa-miR-542-3p,3.2,3.18,20.08,6.35
hsa-miR-543,1.6,0.8,3.59,0.91
hsa-miR-548ah-3p,0.32,0.0,6.45,0.0
hsa-miR-548am-3p,0.0,0.0,0.72,0.0
hsa-miR-548aq-3p,0.32,0.0,0.0,0.0
hsa-miR-548av-3p,0.0,0.0,0.72,0.0
hsa-miR-548ay-3p,0.0,0.0,2.15,0.0
hsa-miR-548e-3p,0.0,0.0,2.15,0.0
hsa-miR-548f-3p,0.0,0.16,0.0,0.0
hsa-miR-548h-5p,0.0,0.0,2.15,0.0
hsa-miR-548i,0.0,0.0,0.0,1.82
hsa-miR-548k,0.0,0.16,0.0,0.0
hsa-miR-548o-3p,4.16,0.48,119.76,57.17
hsa-miR-548t-5p,0.0,0.0,1.43,0.0
hsa-miR-548u,0.0,0.0,7.17,4.54
hsa-miR-548w,0.32,0.0,4.3,0.0
hsa-miR-550a-3-5p,0.0,0.48,0.0,0.0
hsa-miR-550a-5p,3.2,0.0,0.0,0.0
hsa-miR-556-5p,0.0,0.0,0.72,0.0
hsa-miR-5579-3p,0.0,0.0,0.72,0.0
hsa-miR-5580-5p,0.0,0.0,0.72,0.0
hsa-miR-561-5p,0.0,0.16,0.72,0.0
hsa-miR-5703,0.32,0.0,0.0,0.0
hsa-miR-574-3p,1.6,0.16,15.06,23.6
hsa-miR-574-5p,0.0,0.48,5.74,10.89
hsa-miR-576-3p,0.32,1.59,34.42,16.34
hsa-miR-576-5p,0.0,0.16,0.72,0.0
hsa-miR-577,0.0,0.0,0.72,0.0
hsa-miR-579-5p,0.32,0.0,0.72,0.0
hsa-miR-581,0.0,0.0,1.43,0.0
hsa-miR-582-3p,0.0,0.0,27.97,24.5
hsa-miR-584-3p,0.64,0.0,0.0,0.0
hsa-miR-584-5p,18.22,1.91,48.76,15.43
hsa-miR-589-5p,1.28,0.16,13.63,11.8
hsa-miR-592,0.0,0.16,0.0,0.0
hsa-miR-598-3p,0.0,0.0,1.43,0.0
hsa-miR-6068,0.0,0.16,0.0,0.0
hsa-miR-615-3p,0.32,0.0,0.0,0.0
hsa-miR-616-3p,0.0,0.0,0.0,0.91
hsa-miR-619-5p,0.0,0.16,0.0,0.0
hsa-miR-625-3p,0.0,0.0,19.36,0.0
hsa-miR-625-5p,0.0,0.0,0.0,1.82
hsa-miR-629-3p,0.32,0.32,0.0,0.91
hsa-miR-629-5p,14.38,5.89,102.55,70.79
hsa-miR-641,0.32,0.64,2.87,0.91
hsa-miR-642a-3p,1.6,0.32,1.43,0.0
hsa-miR-651-5p,0.32,0.0,3.59,3.63
hsa-miR-6510-3p,0.0,0.0,1.43,0.0
hsa-miR-6515-5p,0.0,0.0,2.15,0.0
hsa-miR-652-3p,0.0,0.48,0.72,0.0
hsa-miR-6529-5p,13.42,0.8,0.72,2.72
hsa-miR-654-3p,0.32,0.32,0.72,0.91
hsa-miR-654-5p,0.64,0.0,0.72,0.91
hsa-miR-655-3p,0.64,0.16,0.0,0.0
hsa-miR-659-5p,0.64,0.16,0.72,0.91
hsa-miR-660-5p,0.64,0.32,14.34,2.72
hsa-miR-663a,0.64,0.0,0.0,0.0
hsa-miR-663b,0.0,0.32,0.0,0.0
hsa-miR-664a-3p,0.0,0.0,0.0,3.63
hsa-miR-664a-5p,0.0,0.16,3.59,3.63
hsa-miR-668-3p,0.0,0.16,0.0,0.91
hsa-miR-671-3p,0.32,0.0,3.59,3.63
hsa-miR-671-5p,5.43,1.43,0.72,1.82
hsa-miR-6715b-3p,0.0,0.0,0.72,0.0
hsa-miR-6724-5p,0.64,0.32,0.0,0.0
hsa-miR-6741-5p,0.0,0.0,0.0,0.91
hsa-miR-6755-5p,0.32,0.0,0.0,0.0
hsa-miR-6766-5p,1.28,0.0,0.0,0.0
hsa-miR-6793-5p,0.0,0.0,0.0,1.82
hsa-miR-6812-5p,0.0,0.16,0.0,0.0
hsa-miR-6820-5p,0.0,0.0,0.72,0.0
hsa-miR-6842-3p,0.32,0.0,5.02,0.0
hsa-miR-6851-5p,0.0,0.0,0.0,0.91
hsa-miR-6865-5p,0.0,0.0,0.0,0.91
hsa-miR-6866-5p,0.0,0.0,2.87,0.0
hsa-miR-6875-5p,0.0,0.0,2.87,0.0
hsa-miR-6887-5p,0.32,0.0,0.0,0.0
hsa-miR-6888-5p,0.32,0.0,0.0,0.0
hsa-miR-7-5p,65.53,55.83,168.52,132.5
hsa-miR-708-3p,0.32,0.16,133.38,81.68
hsa-miR-708-5p,0.0,0.0,18.64,6.35
hsa-miR-744-5p,4.79,0.8,98.96,100.73
hsa-miR-760,0.32,0.0,7.89,10.89
hsa-miR-766-5p,0.0,0.0,2.87,0.0
hsa-miR-767-5p,0.0,0.0,0.72,0.0
hsa-miR-769-3p,0.64,0.0,0.0,0.0
hsa-miR-769-5p,2.88,0.8,7.17,14.52
hsa-miR-7704,26.53,6.84,0.72,8.17
hsa-miR-7706,1.6,0.48,38.01,65.34
hsa-miR-8485,0.0,0.0,0.72,0.0
hsa-miR-873-3p,0.0,0.0,1.43,0.0
hsa-miR-873-5p,0.64,0.0,0.72,1.82
hsa-miR-874-3p,0.0,0.0,0.0,0.91
hsa-miR-877-5p,0.0,0.0,2.15,0.0
hsa-miR-885-5p,0.0,0.32,1.43,0.0
hsa-miR-887-5p,0.0,0.0,0.72,0.0
hsa-miR-888-5p,0.0,0.0,0.0,1.82
hsa-miR-889-3p,2.56,0.8,5.02,0.0
hsa-miR-891a-5p,0.0,0.32,0.0,0.0
hsa-miR-9-3p,0.32,0.0,0.72,8.17
hsa-miR-9-5p,7.99,2.86,23.66,685.18
hsa-miR-92a-1-5p,0.32,0.32,0.0,0.0
hsa-miR-92a-3p,36.12,22.27,1728.24,865.77
hsa-miR-92b-3p,0.32,0.16,37.29,39.02
hsa-miR-92b-5p,0.0,0.0,5.02,16.34
hsa-miR-93-3p,0.32,0.0,0.0,0.0
hsa-miR-93-5p,3.84,3.66,25.1,17.24
hsa-miR-935,0.0,0.0,0.0,2.72
hsa-miR-937-3p,0.0,0.0,2.15,2.72
hsa-miR-937-5p,0.0,0.0,2.15,0.0
hsa-miR-941,4.16,0.48,385.09,207.82
hsa-miR-944,0.0,0.16,0.0,0.0
hsa-miR-95-3p,0.96,0.0,0.0,2.72
hsa-miR-96-3p,0.0,0.0,0.72,0.0
hsa-miR-96-5p,3.52,0.32,7.89,7.26
hsa-miR-98-5p,2.88,2.07,54.5,53.54
hsa-miR-9851-3p,0.32,0.0,0.0,0.0
hsa-miR-9901,0.0,0.0,0.72,1.82
hsa-miR-99a-5p,46.35,20.84,333.46,402.03
hsa-miR-99b-3p,5.43,1.27,148.44,86.21
hsa-miR-99b-5p,18.54,4.14,661.18,414.74
hsa-mir-12121-5p,0.0,0.0,1.43,0.0
hsa-mir-1255a-5p,0.0,0.0,0.72,0.0
hsa-mir-1273c-5p,0.0,0.0,2.15,1.82
hsa-mir-1283-2-5p,0.32,0.16,0.0,0.0
hsa-mir-2110-5p,0.0,0.0,0.0,0.91
hsa-mir-3135b-5p,0.32,0.0,0.0,0.0
hsa-mir-3155a-3p,0.0,0.0,0.72,0.0
hsa-mir-3159-5p,0.0,0.32,0.0,0.0
hsa-mir-3199-2-5p,0.0,0.16,0.0,0.0
hsa-mir-3648-1-5p,0.0,1.11,0.0,0.0
hsa-mir-3648-2-5p,0.0,0.16,0.0,1.82
hsa-mir-3909-3p,0.0,0.0,0.0,2.72
hsa-mir-3916-5p,0.32,0.0,0.0,0.0
hsa-mir-422a-5p,0.0,0.0,0.72,0.0
hsa-mir-4453-5p,0.0,0.0,0.72,0.0
hsa-mir-4469-3p,0.0,0.0,0.72,0.0
hsa-mir-5684-5p,0.32,0.48,0.0,0.0
hsa-mir-599-3p,0.0,0.0,0.0,0.91
hsa-mir-639-3p,1.28,0.0,0.0,0.0
hsa-mir-663a-5p,0.64,0.16,0.0,28.13
hsa-mir-8086-5p,1.6,0.48,0.0,0.0
