miRNA,ERR5319140,ERR5319141,ERR5319142,ERR5319143
hsa-miR-134-5p,2.24,0.16,0.72,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,2.72
hsa-miR-135b-5p,1.6,1.43,49.48,17.24
hsa-miR-136-3p,1.92,0.95,2.87,10.89
hsa-miR-136-5p,0.96,0.16,1.43,0.0
hsa-miR-137-3p,0.0,0.0,0.0,0.91
hsa-miR-137-5p,0.0,0.0,0.72,0.91
hsa-miR-138-5p,0.32,0.0,5.74,6.35
hsa-miR-139-3p,0.0,0.0,2.87,1.82
hsa-miR-139-5p,2.24,0.32,88.2,58.99
hsa-miR-140-3p,11.83,1.91,32.99,25.41
hsa-miR-140-5p,1.92,1.27,15.06,12.71
hsa-miR-141-3p,0.96,0.48,3.59,0.0
hsa-miR-142-3p,0.64,1.27,1.43,0.0
hsa-miR-142-5p,1.92,1.59,1.43,3.63
hsa-miR-143-3p,234.94,139.5,884.2,974.68
hsa-miR-143-5p,0.32,0.0,0.0,2.72
hsa-miR-144-3p,0.64,0.48,1.43,0.0
hsa-miR-144-5p,0.96,0.0,2.87,0.0
hsa-miR-145-3p,0.0,0.16,0.0,0.91
hsa-miR-145-5p,0.64,0.64,0.72,22.69
hsa-miR-1468-5p,0.0,0.0,0.0,1.82
hsa-miR-146a-3p,1.28,0.16,23.66,17.24
hsa-miR-146a-5p,29.41,9.39,3145.97,3372.35
hsa-miR-146b-5p,5.75,3.66,131.95,58.99
hsa-miR-147b-3p,0.32,0.32,10.76,15.43
hsa-miR-148a-3p,1799.58,305.57,1287.93,1844.08
hsa-miR-148a-5p,0.0,0.64,0.72,1.82
hsa-miR-148b-3p,11.19,4.29,82.47,63.53
hsa-miR-148b-5p,0.0,0.0,0.72,0.0
hsa-miR-149-5p,0.64,0.0,2.15,3.63
hsa-miR-150-5p,0.0,0.48,0.0,2.72
hsa-miR-151a-3p,411.38,40.4,27877.76,26851.73
hsa-miR-151a-5p,0.96,0.32,7.89,7.26
hsa-miR-152-3p,5.75,2.55,172.11,162.45
hsa-miR-154-3p,0.0,0.0,0.72,0.0
hsa-miR-155-5p,2.24,0.32,237.36,102.55
hsa-miR-15a-5p,0.0,0.16,0.0,0.91
hsa-miR-15b-3p,0.64,0.16,2.15,0.0
hsa-miR-15b-5p,0.0,0.8,3.59,23.6
hsa-miR-16-2-3p,3.52,0.8,28.68,12.71
hsa-miR-16-5p,5.75,4.29,35.14,30.86
hsa-miR-17-5p,1.92,2.86,40.16,19.06
hsa-miR-181a-2-3p,1.28,0.48,10.04,3.63
hsa-miR-181a-3p,0.32,0.0,6.45,0.91
hsa-miR-181a-5p,30.05,6.84,149.88,154.28
