miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-1262,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,7.53,3.78,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,18.47,1.75,6.92,11.3,3.78,6.46,0.0,16.43,19.73,4.45,0.68,4.87,0.86,3.63,0.48
hsa-miR-127-5p,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,36.94,20.08,13.84,0.0,1.26,0.0,0.0,0.0,3.04,17.8,19.18,24.36,3.46,0.91,2.38
hsa-miR-1275,0.0,0.0,0.0,3.77,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,24.44,48.43,18.83,23.31,6.46,0.0,2.59,1.52,4.45,1.71,3.79,0.0,0.45,0.48
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,55.41,67.21,65.72,7.53,4.41,19.38,15.64,11.24,18.21,26.71,32.88,50.89,0.86,3.63,2.38
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,0.63,3.23,15.64,1.73,4.55,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-1291,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0
hsa-miR-1293,0.0,0.87,0.0,0.0,0.63,3.23,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-1299,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1301-3p,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
hsa-miR-1303,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,4.45,1.03,1.08,0.86,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,0.0,14.84,34.59,26.36,24.57,16.15,0.0,1.73,0.0,4.45,1.37,4.33,0.86,1.36,0.95
hsa-miR-1307-5p,0.0,0.87,0.0,0.0,0.63,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130a-3p,0.0,0.0,0.0,3.77,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
hsa-miR-130a-5p,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-5p,0.0,0.87,0.0,0.0,1.26,3.23,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,1.26,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-132-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,4.55,0.0,0.0,0.0,0.0,0.45,0.0
hsa-miR-135a-2-3p,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
