miRNA,SRR17067428
hsa-miR-10a-5p,1167.01
hsa-miR-191-5p,718.16
hsa-miR-199a-5p,446.71
hsa-miR-26a-5p,332.01
hsa-miR-199a-3p,255.06
hsa-miR-7704,157.45
hsa-miR-3195,210.89
hsa-miR-92a-3p,141.07
hsa-miR-99a-5p,162.44
hsa-miR-99b-5p,158.17
hsa-let-7a-5p,96.18
hsa-miR-182-5p,117.56
hsa-miR-423-5p,81.93
hsa-miR-361-5p,67.68
hsa-let-7b-5p,69.11
hsa-miR-27b-3p,64.12
hsa-miR-151a-5p,66.26
hsa-miR-125a-5p,113.99
hsa-miR-183-5p,78.37
hsa-miR-4516,113.99
hsa-miR-378a-3p,45.6
hsa-miR-615-3p,71.25
hsa-miR-146b-5p,47.73
hsa-miR-186-5p,74.1
hsa-miR-25-3p,39.9
hsa-miR-320a-3p,54.86
hsa-miR-320a-5p,29.21
hsa-miR-4497,42.04
hsa-miR-4488,50.58
hsa-let-7g-5p,26.36
hsa-let-7c-5p,27.07
hsa-let-7f-5p,29.21
hsa-miR-30d-5p,32.77
hsa-miR-151a-3p,40.61
hsa-miR-92b-3p,40.61
hsa-miR-3960,23.51
hsa-miR-9901,82.65
hsa-miR-100-5p,43.46
hsa-miR-30c-5p,19.95
hsa-miR-10396a-3p,29.21
hsa-miR-769-5p,15.67
hsa-miR-423-3p,16.39
hsa-miR-128-3p,25.65
hsa-miR-10401-3p,85.5
hsa-miR-21-5p,33.49
hsa-miR-3665,12.82
hsa-miR-484,17.1
hsa-miR-200b-3p,19.95
hsa-miR-125b-5p,25.65
hsa-miR-320b,10.69
hsa-miR-26b-5p,12.82
hsa-miR-4485-3p,45.6
hsa-miR-148a-3p,13.54
hsa-miR-365b-3p,7.84
hsa-miR-12136,24.94
hsa-miR-30e-5p,7.84
hsa-miR-345-5p,9.97
hsa-miR-4508,34.91
hsa-miR-7110-3p,14.25
hsa-miR-1180-3p,8.55
hsa-let-7i-5p,9.97
hsa-miR-27a-3p,9.26
hsa-miR-185-5p,9.97
hsa-miR-375-3p,6.41
hsa-miR-10396b-3p,20.66
hsa-miR-214-3p,17.1
hsa-miR-200c-3p,5.7
hsa-miR-874-3p,11.4
hsa-miR-30b-5p,4.99
hsa-miR-28-3p,10.69
hsa-miR-146a-5p,7.84
hsa-miR-222-3p,7.84
hsa-miR-486-5p,4.27
hsa-miR-363-3p,10.69
hsa-miR-10401-5p,13.54
hsa-let-7e-5p,5.7
hsa-miR-22-3p,7.12
hsa-miR-23a-3p,8.55
hsa-let-7d-3p,6.41
hsa-miR-450a-5p,4.27
hsa-mir-3960-3p,4.27
hsa-miR-532-5p,6.41
hsa-miR-1271-5p,6.41
hsa-miR-29a-3p,8.55
hsa-miR-505-3p,8.55
hsa-miR-200b-5p,3.56
hsa-miR-200a-3p,4.99
hsa-miR-941,6.41
hsa-mir-12136-5p,22.09
hsa-miR-500a-3p,5.7
hsa-miR-130b-5p,6.41
hsa-miR-221-3p,5.7
hsa-miR-192-5p,3.56
hsa-miR-342-3p,3.56
hsa-miR-96-5p,7.84
hsa-mir-3159-5p,4.27
hsa-mir-3648-1-5p,27.79
hsa-mir-8086-5p,3.56
hsa-miR-197-3p,3.56
hsa-miR-501-3p,3.56
hsa-miR-1307-3p,6.41
hsa-miR-106b-3p,4.99
hsa-miR-16-5p,5.7
hsa-miR-339-5p,4.99
hsa-miR-328-3p,4.27
hsa-miR-671-3p,2.14
hsa-miR-93-5p,2.85
hsa-miR-10b-5p,2.14
hsa-mir-3648-2-5p,22.8
hsa-miR-1301-3p,5.7
hsa-miR-4449,7.84
hsa-miR-3648,17.1
hsa-miR-224-5p,2.14
hsa-miR-212-5p,2.14
hsa-miR-4466,4.27
hsa-miR-140-3p,3.56
hsa-miR-576-5p,2.14
hsa-miR-127-3p,2.14
hsa-miR-218-5p,1.42
hsa-miR-149-5p,3.56
hsa-miR-4485-5p,2.85
hsa-miR-760,3.56
hsa-miR-126-3p,1.42
hsa-miR-181a-5p,2.14
hsa-miR-425-5p,3.56
hsa-mir-6124-5p,1.42
hsa-miR-10395-5p,4.27
hsa-miR-151b,2.14
hsa-miR-193b-3p,1.42
hsa-miR-3177-3p,1.42
hsa-miR-663b,2.14
hsa-miR-744-5p,2.14
hsa-miR-1303,3.56
hsa-miR-1914-5p,1.42
hsa-miR-1291,1.42
hsa-miR-663a,4.27
hsa-miR-93-3p,1.42
hsa-miR-92b-5p,1.42
hsa-miR-1843,1.42
hsa-mir-1291-5p,2.85
hsa-mir-663a-5p,4.27
hsa-miR-92a-1-5p,2.14
hsa-let-7d-5p,2.14
hsa-let-7a-3p,1.42
hsa-miR-3196,1.42
hsa-miR-193a-5p,1.42
hsa-miR-21-3p,1.42
hsa-miR-676-3p,1.42
hsa-miR-361-3p,2.14
hsa-mir-6089-1-3p,2.14
hsa-miR-320c,1.42
hsa-mir-1843-5p,2.14
hsa-miR-3143,1.42
hsa-miR-30e-3p,2.14
hsa-miR-335-3p,1.42
hsa-miR-671-5p,0.71
hsa-miR-582-5p,0.71
hsa-miR-2355-5p,0.71
hsa-miR-1306-5p,0.71
hsa-miR-500b-3p,0.71
hsa-miR-339-3p,0.71
hsa-miR-142-5p,0.71
hsa-miR-1292-5p,0.71
hsa-miR-425-3p,1.42
hsa-miR-4484,2.14
hsa-miR-181b-5p,0.71
hsa-miR-450b-5p,0.71
hsa-miR-4645-3p,0.71
hsa-miR-378c,0.71
hsa-miR-550a-5p,0.71
hsa-miR-214-5p,2.14
hsa-miR-574-3p,1.42
hsa-miR-4804-3p,0.71
hsa-miR-8485,0.71
hsa-miR-378d,1.42
hsa-miR-6767-5p,0.71
hsa-miR-3180-3p,0.71
hsa-miR-378a-5p,0.71
hsa-miR-9-5p,0.71
hsa-mir-6724-1-5p,0.71
hsa-miR-15b-5p,0.71
hsa-miR-1908-5p,0.71
hsa-miR-3909,0.71
hsa-miR-1296-5p,0.71
hsa-miR-374a-5p,1.42
hsa-mir-641-5p,0.71
hsa-let-7b-3p,1.42
hsa-miR-660-5p,0.71
hsa-miR-199b-5p,0.71
hsa-miR-365a-5p,0.71
hsa-miR-203a-3p,0.71
hsa-miR-200a-5p,0.71
hsa-miR-4482-3p,0.71
hsa-miR-34b-3p,0.71
hsa-miR-16-2-3p,1.42
hsa-miR-20a-5p,1.42
hsa-miR-409-3p,0.71
hsa-miR-223-3p,0.71
hsa-miR-4463,0.71
hsa-miR-98-3p,0.71
hsa-miR-223-5p,0.71
hsa-miR-6859-5p,0.71
hsa-miR-548k,0.71
hsa-miR-592,0.71
hsa-miR-5588-5p,0.71
hsa-miR-1285-5p,1.42
hsa-miR-23b-3p,0.71
hsa-miR-17-5p,0.71
hsa-miR-365a-3p,0.71
hsa-miR-10396b-5p,1.42
hsa-miR-1915-5p,1.42
hsa-miR-335-5p,0.71
hsa-miR-144-5p,0.71
hsa-miR-15b-3p,0.71
hsa-miR-99b-3p,0.71
hsa-miR-125a-3p,0.71
hsa-mir-3908-5p,0.71
hsa-miR-296-5p,0.71
hsa-miR-5587-3p,0.71
hsa-miR-3200-5p,0.71
hsa-miR-548j-5p,0.71
hsa-miR-30a-3p,0.71
hsa-miR-1246,0.71
hsa-miR-3928-3p,0.71
hsa-miR-3174,0.71
hsa-miR-10396a-5p,0.71
hsa-miR-205-5p,0.71
hsa-mir-1303-3p,0.71
hsa-miR-664a-5p,1.42
hsa-miR-548w,0.71
hsa-miR-5695,0.71
hsa-miR-3129-3p,0.71
