miRNA,SRR6233838,SRR6233839,SRR6233840,SRR6233841,SRR6233842,SRR6233843
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,0.62,0.0
hsa-miR-1233-5p,0.0,0.14,0.32,0.0,0.31,0.12
hsa-miR-1234-3p,0.13,0.0,0.0,0.0,0.0,0.24
hsa-miR-1236-5p,0.13,0.0,0.32,0.13,0.46,0.83
hsa-miR-1237-5p,0.13,0.14,0.0,0.0,0.0,0.12
hsa-miR-1238-3p,0.0,0.14,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.13,0.15,0.0
hsa-miR-1243,0.0,0.27,0.0,0.0,0.15,0.0
hsa-miR-1244,0.0,0.27,0.0,0.0,0.15,0.12
hsa-miR-1246,45.39,56.1,61.7,71.13,63.8,82.4
hsa-miR-1247-5p,25.11,18.93,17.28,16.04,13.44,14.79
hsa-miR-1248,0.26,0.68,1.62,0.8,0.31,1.07
hsa-miR-1249-3p,0.13,0.14,0.0,0.13,0.0,0.0
hsa-miR-1250-5p,1.31,2.86,1.62,2.27,3.4,2.74
hsa-miR-1252-3p,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1252-5p,0.0,0.68,0.0,0.0,0.15,0.24
hsa-miR-1253,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-1255a,0.92,0.68,1.45,1.07,0.77,2.38
hsa-miR-1255b-5p,4.45,3.95,4.85,11.5,7.11,11.92
hsa-miR-1256,0.13,0.0,0.0,0.27,0.77,0.12
hsa-miR-125a-3p,70.63,72.17,86.25,66.45,64.57,87.77
hsa-miR-125a-5p,3624.19,3670.93,3586.0,5671.97,6043.57,6147.93
hsa-miR-125b-1-3p,37.02,47.11,45.39,35.83,41.4,50.56
hsa-miR-125b-2-3p,0.39,0.0,0.48,0.13,0.31,0.36
hsa-miR-125b-5p,3918.62,3944.76,3916.95,4605.44,4977.51,5444.13
hsa-miR-126-3p,122.69,135.21,134.38,123.14,105.82,212.5
hsa-miR-126-5p,37.93,37.17,45.87,32.49,24.87,55.33
hsa-miR-1260b,2.75,2.18,4.04,2.27,2.32,3.58
hsa-miR-1262,3.4,4.63,7.27,3.88,4.48,6.8
hsa-miR-1264,0.0,0.41,0.0,0.0,0.0,0.0
