miRNA,SRR16290153,SRR16290154,SRR16290155,SRR16290156
hsa-let-7a-2-3p,15.17,18.88,13.79,18.57
hsa-let-7a-3p,41.05,52.33,43.48,41.23
hsa-let-7a-5p,29591.05,32792.05,34468.58,34858.33
hsa-let-7b-3p,32.91,38.79,49.22,50.8
hsa-let-7b-5p,4123.33,4907.1,4845.6,4746.71
hsa-let-7c-3p,2.12,2.86,1.71,1.37
hsa-let-7c-5p,274.84,332.36,338.5,312.65
hsa-let-7d-3p,64.14,82.28,72.97,87.82
hsa-let-7d-5p,362.29,415.02,456.57,506.73
hsa-let-7e-3p,7.92,9.5,8.66,9.57
hsa-let-7e-5p,1205.34,1062.29,1414.7,1593.32
hsa-let-7f-1-3p,3.01,1.69,2.01,1.59
hsa-let-7f-2-3p,0.22,0.39,0.0,0.0
hsa-let-7f-5p,8793.79,10522.52,10771.22,9481.35
hsa-let-7g-3p,1.56,0.78,0.5,1.03
hsa-let-7g-5p,1632.45,1781.29,1859.59,1816.45
hsa-let-7i-3p,26.77,33.2,25.47,24.6
hsa-let-7i-5p,8570.93,11486.78,9011.48,7912.51
hsa-miR-100-3p,456.33,520.6,454.05,441.81
hsa-miR-100-5p,8449.12,8377.37,7650.13,8602.62
hsa-miR-101-2-5p,0.0,0.26,0.0,0.0
hsa-miR-101-3p,325.71,391.07,360.54,330.87
hsa-miR-101-5p,1.12,2.21,1.21,1.25
hsa-miR-10392-5p,0.33,0.52,0.0,0.34
hsa-miR-10393-3p,0.56,0.26,0.0,0.11
hsa-miR-10393-5p,0.33,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.52,0.3,0.0
hsa-miR-10394-5p,0.0,0.0,0.1,0.0
hsa-miR-10395-3p,29.89,14.71,33.12,71.07
hsa-miR-10395-5p,0.33,0.13,0.1,0.11
hsa-miR-10396a-3p,0.22,0.26,0.6,0.8
hsa-miR-10396a-5p,0.45,0.13,0.1,0.34
hsa-miR-10396b-3p,0.78,0.39,1.41,0.68
hsa-miR-10396b-5p,0.56,0.65,0.1,0.11
hsa-miR-10399-3p,0.22,0.13,0.1,0.57
hsa-miR-10399-5p,0.0,0.0,0.1,0.0
hsa-miR-103a-2-5p,0.0,0.65,0.2,0.0
hsa-miR-103a-3p,1068.93,1354.29,1475.39,332.36
hsa-miR-10401-3p,40.94,46.21,40.87,33.37
hsa-miR-10401-5p,0.67,0.65,0.5,0.0
hsa-miR-10526-3p,0.22,0.0,0.1,0.34
hsa-miR-10527-5p,0.11,0.0,0.0,0.0
hsa-miR-106a-5p,0.67,0.0,0.5,0.11
hsa-miR-106b-3p,88.9,106.49,104.68,126.2
hsa-miR-106b-5p,37.03,39.18,35.73,30.52
hsa-miR-107,76.3,70.82,78.31,207.07
hsa-miR-10a-3p,77.08,89.7,93.91,90.89
hsa-miR-10a-5p,101573.71,112456.68,101253.35,114666.14
hsa-miR-10b-3p,6.92,7.16,7.45,6.15
hsa-miR-10b-5p,69476.82,75736.24,70494.08,81336.67
hsa-miR-11399,0.0,0.0,0.0,0.11
hsa-miR-1179,0.11,0.0,0.0,0.46
hsa-miR-1180-3p,15.17,15.62,18.52,20.73
hsa-miR-1180-5p,0.11,0.26,0.1,0.11
hsa-miR-1181,0.0,0.0,0.0,0.11
hsa-miR-1185-1-3p,27.22,23.43,32.61,35.88
hsa-miR-1185-2-3p,6.13,4.3,5.64,5.01
hsa-miR-1185-5p,10.04,8.98,8.35,12.19
hsa-miR-1197,6.13,5.47,5.74,5.69
hsa-miR-12121,0.11,0.0,0.1,0.0
hsa-miR-12135,0.0,0.0,0.1,0.0
hsa-miR-12136,1.23,0.52,1.11,0.11
hsa-miR-1226-3p,0.45,0.65,0.1,0.46
hsa-miR-1226-5p,0.11,0.13,0.0,0.0
hsa-miR-1227-3p,0.0,0.13,0.0,0.0
hsa-miR-1228-3p,3.9,3.78,4.13,2.85
hsa-miR-1228-5p,0.11,0.26,0.5,0.11
hsa-miR-1229-3p,0.0,0.39,0.0,0.46
hsa-miR-1229-5p,0.0,0.0,0.0,0.11
hsa-miR-122b-5p,0.11,0.0,0.0,0.0
hsa-miR-1233-3p,0.11,0.52,0.0,0.11
hsa-miR-1234-3p,0.0,0.26,0.1,0.0
hsa-miR-1237-5p,0.33,0.39,0.2,0.11
