miRNA,ERR11880648,ERR11880652,ERR11880653,ERR11880654,ERR11880655,ERR11880656,ERR11880657,ERR11880658,ERR11880659,ERR11880660,ERR11880661,ERR11880662,ERR11880663,ERR11880664,ERR11880665,ERR11880666,ERR11880667,ERR11880668,ERR11880669,ERR11880670,ERR11880671,ERR11880672,ERR11880673,ERR11880674,ERR11880675,ERR11880676,ERR11880677,ERR11880679,ERR11880680,ERR11880681,ERR11880684,ERR11880685,ERR11880686,ERR11880687,ERR11880688,ERR11880689,ERR11880690,ERR11880691,ERR11880692,ERR11880693,ERR11880694,ERR11880695,ERR11880696,ERR11880697,ERR11880698,ERR11880699,ERR11880700,ERR11880702,ERR11880703,ERR11880704,ERR11880705,ERR11880706,ERR11880707,ERR11880708,ERR11880709,ERR11880710,ERR11880712,ERR11880713,ERR11880714,ERR11880715,ERR11880716,ERR11880718,ERR11880719,ERR11880721,ERR11880722,ERR11880723,ERR11880729,ERR11880732
hsa-let-7a-5p,25.84,0.0,53.96,80.56,221.24,271.73,231.16,463.39,232.02,284.74,181.13,22.32,0.0,22.5,90.21,189.75,0.0,21.83,161.77,52.42,0.0,0.0,415.8,0.0,191.69,218.2,890.24,1142.52,1379.31,925.19,910.75,0.0,96.25,298.86,161.27,0.0,31.55,296.21,92.33,56.0,0.0,55.87,54.16,84.22,0.0,0.0,0.0,139.48,204.21,319.14,481.35,206.16,745.34,0.0,0.0,17.83,36.89,0.0,74.09,36.8,96.81,0.0,28.62,0.0,0.0,0.0,63.02,0.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,51.68,51.94,188.85,402.78,442.48,461.94,231.16,0.0,696.06,232.97,0.0,223.2,574.6,314.95,293.18,189.75,584.34,305.58,242.65,157.25,0.0,0.0,0.0,403.23,164.31,327.31,457.15,347.72,0.0,250.05,303.58,290.36,320.83,0.0,258.04,0.0,347.07,0.0,307.78,308.01,0.0,83.8,216.64,308.81,586.85,275.41,281.93,557.93,204.21,435.19,0.0,500.66,993.79,737.1,0.0,106.98,55.34,0.0,92.61,36.8,193.63,430.02,0.0,82.42,0.0,28.05,63.02,66.98
hsa-let-7c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.38,27.28,0.0,0.0,275.86,0.0,25.3,0.0,32.08,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,55.87,0.0,56.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.32,0.0,0.0,33.49
hsa-let-7d-3p,0.0,0.0,26.98,0.0,0.0,27.17,0.0,0.0,0.0,103.54,181.13,22.32,0.0,22.5,22.55,0.0,194.78,21.83,53.92,26.21,0.0,0.0,0.0,0.0,54.77,81.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51,0.0,63.1,296.21,30.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,28.05,0.0,0.0
hsa-let-7d-5p,0.0,0.0,53.96,0.0,221.24,54.35,0.0,0.0,232.02,103.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.65,0.0,0.0,0.0,407.0,0.0,0.0,27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.34,0.0,0.0,29.45,0.0,0.0,0.0,17.83,0.0,0.0,0.0,0.0,96.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,77.52,0.0,134.89,134.26,0.0,190.21,0.0,0.0,232.02,258.85,181.13,66.96,191.53,134.98,90.21,0.0,194.78,109.14,161.77,157.25,0.0,0.0,0.0,0.0,191.69,245.48,24.06,49.67,0.0,75.02,50.6,0.0,128.33,0.0,129.02,0.0,63.1,592.42,61.56,56.0,0.0,0.0,54.16,84.22,0.0,0.0,0.0,27.9,58.34,58.02,240.67,58.9,0.0,0.0,0.0,71.32,18.45,96.02,0.0,18.4,96.81,0.0,0.0,54.95,0.0,28.05,0.0,0.0
hsa-let-7g-5p,0.0,0.0,107.91,53.7,221.24,54.35,0.0,231.7,0.0,25.89,0.0,22.32,0.0,0.0,22.55,0.0,0.0,21.83,26.96,0.0,0.0,0.0,0.0,0.0,27.38,27.28,24.06,49.67,0.0,0.0,75.9,0.0,32.08,0.0,32.25,0.0,31.55,296.21,0.0,28.0,0.0,55.87,27.08,0.0,0.0,275.41,0.0,111.59,29.17,29.01,0.0,29.45,0.0,0.0,0.0,0.0,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.05,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
