miRNA,SRR11813156,SRR11813157,SRR11813158,SRR11813160,SRR11813161
hsa-let-7a-5p,66.54,155.58,56.89,6.24,287.74
hsa-let-7c-5p,0.0,0.0,0.0,0.0,418.19
hsa-let-7e-5p,3.17,0.0,0.0,0.0,0.0
hsa-let-7f-5p,0.0,0.0,8.62,0.0,126.61
hsa-let-7g-5p,0.0,0.0,3.45,830.27,153.46
hsa-let-7i-5p,0.0,0.0,0.0,6.24,3.84
hsa-miR-100-5p,19.01,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,112.22,18.96,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,7.67
hsa-miR-10a-5p,0.0,86.72,0.0,193.52,0.0
hsa-miR-122-5p,4248.98,4443.02,2518.8,36987.56,9863.88
hsa-miR-1225-5p,0.0,0.0,1.72,0.0,0.0
hsa-miR-125b-5p,133.08,262.7,98.27,599.29,268.56
hsa-miR-128-3p,0.0,0.0,0.0,0.0,3.84
hsa-miR-146b-5p,0.0,102.02,0.0,0.0,3.84
hsa-miR-148a-3p,44.36,2.55,0.0,0.0,0.0
hsa-miR-151b,44.36,0.0,0.0,0.0,0.0
hsa-miR-16-5p,0.0,66.31,0.0,0.0,0.0
hsa-miR-17-5p,0.0,0.0,0.0,168.55,0.0
hsa-miR-1908-3p,0.0,45.91,0.0,0.0,0.0
hsa-miR-191-5p,9.51,12.75,17.24,162.31,23.02
hsa-miR-192-5p,120.4,0.0,0.0,0.0,3.84
hsa-miR-193a-5p,3.17,2.55,0.0,0.0,0.0
hsa-miR-194-5p,0.0,5.1,24.14,0.0,0.0
hsa-miR-199a-3p,0.0,0.0,79.31,0.0,0.0
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,3.84
hsa-miR-212-5p,0.0,0.0,0.0,6.24,0.0
hsa-miR-22-3p,0.0,0.0,20.69,0.0,0.0
hsa-miR-221-3p,0.0,0.0,0.0,0.0,42.2
hsa-miR-222-3p,0.0,0.0,1.72,0.0,42.2
hsa-miR-224-5p,0.0,0.0,0.0,0.0,3.84
hsa-miR-26a-5p,12.67,0.0,1.72,0.0,3.84
hsa-miR-27a-3p,60.2,0.0,0.0,0.0,0.0
hsa-miR-28-5p,3.17,122.43,0.0,81.15,0.0
hsa-miR-30c-5p,129.91,0.0,20.69,0.0,0.0
hsa-miR-30d-5p,3.17,2.55,0.0,6.24,3.84
hsa-miR-320c,41.19,0.0,0.0,0.0,0.0
hsa-miR-342-3p,3.17,0.0,0.0,0.0,0.0
hsa-miR-3960,0.0,0.0,1.72,0.0,3.84
hsa-miR-423-5p,0.0,0.0,0.0,62.43,0.0
hsa-miR-4258,0.0,2.55,0.0,0.0,0.0
hsa-miR-4298,0.0,0.0,27.58,0.0,0.0
hsa-miR-4322,0.0,2.55,0.0,0.0,0.0
hsa-miR-4707-3p,0.0,0.0,5.17,0.0,0.0
hsa-miR-505-3p,0.0,35.71,0.0,0.0,0.0
hsa-miR-5689,0.0,0.0,24.14,0.0,0.0
hsa-miR-6090,0.0,0.0,0.0,0.0,42.2
hsa-miR-6132,0.0,0.0,24.14,0.0,0.0
hsa-miR-6789-5p,0.0,0.0,3.45,0.0,0.0
hsa-miR-6813-5p,3.17,0.0,0.0,0.0,0.0
hsa-miR-7108-3p,0.0,0.0,27.58,0.0,0.0
hsa-miR-7110-3p,0.0,2.55,0.0,0.0,80.57
hsa-miR-718,0.0,0.0,0.0,0.0,3.84
hsa-miR-8088,0.0,56.11,0.0,0.0,0.0
hsa-miR-92a-3p,148.92,5.1,1.72,0.0,61.39
hsa-miR-9903,0.0,0.0,22.41,0.0,0.0
hsa-miR-99a-5p,0.0,0.0,12.07,0.0,49.88
hsa-mir-1202-5p,0.0,5.1,0.0,0.0,0.0
hsa-mir-3195-5p,0.0,2.55,0.0,0.0,0.0
hsa-mir-4449-3p,0.0,2.55,0.0,0.0,0.0
hsa-mir-4660-5p,0.0,0.0,43.1,0.0,0.0
hsa-mir-4674-3p,47.53,0.0,0.0,0.0,0.0
hsa-mir-4741-3p,9.51,0.0,0.0,0.0,0.0
hsa-mir-564-5p,0.0,0.0,1.72,0.0,0.0
hsa-mir-8078-3p,3.17,132.63,0.0,0.0,0.0
hsa-mir-8080-5p,0.0,0.0,15.52,0.0,0.0
hsa-mir-9902-1-5p,0.0,0.0,0.0,0.0,3.84
