miRNA,SRR11356236,SRR11356237,SRR11356238
hsa-let-7a-3p,0.0,5.07,7.06
hsa-let-7a-5p,798.01,2371.26,2579.02
hsa-let-7b-3p,0.0,23.52,15.06
hsa-let-7b-5p,987.53,3381.06,3599.33
hsa-let-7c-3p,0.0,6.87,1.88
hsa-let-7c-5p,141.69,423.67,331.32
hsa-let-7d-3p,1.4,164.98,130.83
hsa-let-7d-5p,13.7,183.8,193.43
hsa-let-7e-3p,0.76,0.0,1.88
hsa-let-7e-5p,19.15,110.35,149.19
hsa-let-7f-1-3p,0.0,1.45,6.59
hsa-let-7f-5p,3583.64,3855.75,4214.91
hsa-let-7g-3p,0.0,0.0,0.47
hsa-let-7g-5p,1644.1,1697.59,1993.09
hsa-let-7i-3p,0.0,0.0,1.88
hsa-let-7i-5p,7098.9,14544.89,12906.4
hsa-miR-1-3p,45.92,22.79,86.59
hsa-miR-100-5p,2525.2,9353.0,11624.89
hsa-miR-101-3p,638.31,323.81,564.28
hsa-miR-10395-3p,0.0,2.53,0.0
hsa-miR-10395-5p,0.0,0.72,0.0
hsa-miR-10396b-3p,0.0,0.0,0.94
hsa-miR-10399-3p,2.28,7.24,18.82
hsa-miR-10399-5p,0.0,0.0,1.41
hsa-miR-103a-3p,43.51,51.38,10.35
hsa-miR-10401-3p,0.0,2.53,0.0
hsa-miR-105-5p,0.0,0.0,0.94
hsa-miR-10526-3p,1.65,0.0,5.65
hsa-miR-106a-5p,2.16,0.0,2.82
hsa-miR-106b-3p,203.09,504.72,370.85
hsa-miR-106b-5p,4.44,5.43,3.76
hsa-miR-107,6.22,0.36,12.24
hsa-miR-10a-3p,67.99,65.85,140.25
hsa-miR-10a-5p,3780.38,3761.32,5432.42
hsa-miR-10b-3p,38.44,78.87,95.54
hsa-miR-10b-5p,21578.18,19025.11,21770.61
hsa-miR-1180-3p,12.43,175.11,153.89
hsa-miR-1185-1-3p,0.13,0.0,1.88
hsa-miR-1185-2-3p,0.0,0.36,2.82
hsa-miR-1193,2.54,0.0,0.0
hsa-miR-1197,0.0,0.0,3.29
hsa-miR-12114,0.0,0.0,1.41
hsa-miR-122-5p,63.81,289.08,279.55
hsa-miR-1229-3p,0.0,0.72,0.0
hsa-miR-122b-5p,0.0,4.7,0.0
hsa-miR-1236-5p,0.0,1.45,0.0
hsa-miR-1246,75073.19,11900.1,9707.1
hsa-miR-1248,1.52,0.0,1.41
hsa-miR-1249-3p,0.0,0.0,0.47
hsa-miR-1250-5p,0.0,0.0,0.47
hsa-miR-1255a,0.0,1.45,0.0
hsa-miR-1255b-5p,0.51,0.0,0.0
hsa-miR-125a-3p,67.74,675.13,804.77
hsa-miR-125a-5p,12.56,58.61,26.83
hsa-miR-125b-1-3p,5.96,71.64,95.07
hsa-miR-125b-2-3p,2.66,0.0,0.47
hsa-miR-125b-5p,21.69,103.11,169.42
hsa-miR-126-3p,2015.01,3796.05,3187.54
hsa-miR-126-5p,11.04,102.03,119.54
hsa-miR-1260a,0.0,0.0,0.47
hsa-miR-1260b,0.0,5.43,2.35
hsa-miR-1262,19.53,32.2,17.88
hsa-miR-1268b,0.0,0.0,0.94
hsa-miR-127-3p,217.42,399.79,513.45
hsa-miR-127-5p,4.19,7.96,7.06
hsa-miR-1270,0.0,0.0,3.29
hsa-miR-1271-5p,1.27,0.0,0.94
hsa-miR-1273c,0.0,0.0,1.41
hsa-miR-1276,0.0,10.85,1.41
hsa-miR-1278,0.89,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,1.41
hsa-miR-128-3p,28.41,181.26,201.9
hsa-miR-1281,0.0,0.0,0.47
hsa-miR-1284,0.0,0.0,2.35
hsa-miR-1285-3p,0.0,25.33,19.77
hsa-miR-1285-5p,0.63,5.07,1.41
hsa-miR-1287-5p,1.14,0.0,0.0
hsa-miR-1288-3p,1.65,0.0,0.47
hsa-miR-129-2-3p,0.13,0.0,0.0
hsa-miR-129-5p,2.16,50.65,22.59
hsa-miR-1290,23.34,40.52,14.12
hsa-miR-1291,0.76,5.79,0.94
hsa-miR-1292-5p,0.0,0.0,1.88
hsa-miR-1293,0.51,2.89,5.18
hsa-miR-1294,0.13,0.0,1.88
hsa-miR-1296-5p,0.0,0.0,1.41
hsa-miR-1298-5p,0.25,0.0,0.0
hsa-miR-1299,6.09,78.15,65.89
hsa-miR-1301-3p,1.27,40.16,46.12
hsa-miR-1303,0.0,3.26,4.24
hsa-miR-1304-5p,1.52,29.31,16.94
hsa-miR-1306-3p,2.28,4.7,8.47
hsa-miR-1306-5p,0.0,9.77,0.47
hsa-miR-1307-3p,14.21,244.94,140.25
hsa-miR-1307-5p,3.93,29.67,26.35
hsa-miR-130a-3p,4.06,20.62,38.59
hsa-miR-130b-3p,8.25,144.36,110.13
hsa-miR-130b-5p,2.66,5.79,5.65
hsa-miR-132-3p,1.78,4.7,10.82
hsa-miR-132-5p,1.52,26.05,13.65
hsa-miR-133a-3p,1.4,0.0,5.18
hsa-miR-134-5p,87.65,659.21,602.87
hsa-miR-135b-5p,0.0,2.89,1.88
hsa-miR-136-3p,0.51,2.53,19.77
hsa-miR-136-5p,5.71,31.84,15.53
hsa-miR-137-3p,0.0,0.0,0.94
hsa-miR-137-5p,0.51,0.0,0.47
hsa-miR-139-3p,3.04,0.0,9.41
hsa-miR-139-5p,27.4,209.48,143.07
hsa-miR-140-3p,155.01,140.02,155.78
hsa-miR-140-5p,3.55,0.72,0.47
hsa-miR-142-3p,1.4,6.51,4.24
hsa-miR-142-5p,15.73,13.75,44.71
hsa-miR-143-3p,184.95,351.31,377.44
hsa-miR-144-3p,1.78,0.72,3.76
hsa-miR-144-5p,6.47,32.92,34.36
hsa-miR-145-3p,0.0,0.0,0.94
hsa-miR-145-5p,0.38,0.0,11.29
hsa-miR-1468-5p,0.13,0.0,0.0
hsa-miR-146a-3p,0.0,0.0,1.41
hsa-miR-146a-5p,225.54,1621.97,1988.39
hsa-miR-146b-5p,5.84,46.67,25.41
hsa-miR-147b-3p,0.0,0.0,3.29
hsa-miR-148a-3p,8244.86,21684.01,17352.86
hsa-miR-148a-5p,0.0,2.89,0.0
hsa-miR-148b-3p,637.55,463.47,817.0
hsa-miR-148b-5p,0.76,0.0,0.0
hsa-miR-149-5p,0.0,2.89,0.0
hsa-miR-150-5p,1.9,22.07,10.82
hsa-miR-151a-3p,3513.61,79461.24,46286.84
hsa-miR-151a-5p,32.6,6.87,17.88
hsa-miR-151b,1.4,0.0,3.76
hsa-miR-152-3p,359.49,199.72,310.61
hsa-miR-152-5p,0.89,0.0,0.0
hsa-miR-154-5p,0.89,5.43,15.53
hsa-miR-155-5p,78.52,201.89,215.08
hsa-miR-15a-5p,2.41,0.36,11.77
hsa-miR-15b-3p,2.41,2.17,9.41
hsa-miR-15b-5p,0.89,17.37,50.83
hsa-miR-16-2-3p,4.57,14.11,17.88
hsa-miR-16-5p,16.24,38.35,44.71
hsa-miR-17-3p,0.0,0.0,0.47
hsa-miR-17-5p,115.69,20.26,25.88
hsa-miR-181a-2-3p,21.44,18.09,15.06
hsa-miR-181a-3p,4.31,11.22,17.41
hsa-miR-181a-5p,180.38,572.74,722.41
hsa-miR-181b-2-3p,1.4,0.0,0.0
hsa-miR-181b-3p,1.4,0.0,5.18
hsa-miR-181b-5p,309.89,537.28,659.82
hsa-miR-181c-3p,0.0,2.89,0.47
hsa-miR-181d-5p,22.33,40.88,43.3
hsa-miR-182-3p,0.0,0.0,1.41
hsa-miR-182-5p,2.92,78.87,80.48
hsa-miR-183-5p,0.25,113.97,76.24
hsa-miR-184,1.65,6.87,10.35
hsa-miR-1843,13.57,163.54,98.83
hsa-miR-185-3p,0.0,0.0,1.88
