miRNA,SRR1054269,SRR1054270,SRR1054271,SRR1054272,SRR1054273,SRR1054274,SRR1054275,SRR1054276,SRR1054277,SRR1054278,SRR1054279,SRR1054280,SRR1054281,SRR1054282
hsa-miR-126-3p,113.0,58.0,311.0,169.0,265.0,184.0,190.0,96.0,76.0,135.0,100.0,123.0,122.0,61.0
hsa-miR-126-5p,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,9.0,3.0,3.0,5.0,1.0
hsa-miR-1264,2.0,0.0,2.0,6.0,3.0,7.0,4.0,1.0,0.0,3.0,2.0,0.0,5.0,1.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,931.0,668.0,2490.0,1719.0,2385.0,1450.0,1913.0,756.0,570.0,1057.0,1281.0,1555.0,1385.0,559.0
hsa-miR-127-5p,1.0,5.0,10.0,13.0,15.0,3.0,15.0,3.0,1.0,1.0,2.0,5.0,7.0,3.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,1.0,1.0,6.0,4.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-128-1-5p,1.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
hsa-miR-128-2-5p,0.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-128-3p,4061.0,3422.0,10359.0,8610.0,15489.0,13769.0,8726.0,3052.0,1987.0,2848.0,4622.0,4433.0,7777.0,2341.0
hsa-miR-1285-5p,4.0,15.0,2.0,19.0,14.0,11.0,17.0,2.0,7.0,1.0,12.0,5.0,7.0,13.0
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-129-1-3p,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
hsa-miR-129-2-3p,2.0,0.0,3.0,13.0,10.0,1.0,3.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0
hsa-miR-129-5p,956.0,543.0,2829.0,1631.0,2583.0,1857.0,1706.0,1212.0,847.0,1437.0,1154.0,1193.0,1264.0,503.0
hsa-miR-1290,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,6.0,3.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0
hsa-miR-1296-3p,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,4.0,3.0,12.0,6.0,18.0,6.0,18.0,1.0,2.0,1.0,6.0,7.0,10.0,3.0
hsa-miR-1297,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,61.0,36.0,90.0,63.0,73.0,42.0,58.0,5.0,11.0,5.0,4.0,9.0,6.0,3.0
hsa-miR-1301-3p,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,3.0,0.0,4.0,6.0,13.0,9.0,3.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0
hsa-miR-1306-5p,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-1307-3p,3.0,0.0,25.0,13.0,31.0,9.0,9.0,3.0,2.0,10.0,6.0,2.0,3.0,2.0
