miRNA,SRR8956086,SRR8956087,SRR8956088,SRR8956089,SRR8956090,SRR8956091
hsa-let-7a-2-3p,0.2,0.35,0.61,1.68,2.32,1.9
hsa-let-7a-3p,1.84,1.39,1.22,7.81,8.93,7.32
hsa-let-7a-5p,2448.16,1328.87,2563.54,4835.18,4094.04,4701.15
hsa-let-7b-3p,0.0,0.07,0.61,1.08,0.36,0.44
hsa-let-7b-5p,54.52,32.06,59.67,143.22,125.36,141.56
hsa-let-7c-5p,3.89,2.08,8.55,10.93,11.26,14.49
hsa-let-7d-3p,1.84,0.35,1.53,3.36,2.86,3.07
hsa-let-7d-5p,9.63,4.51,8.24,11.77,9.29,8.64
hsa-let-7e-5p,0.41,0.14,0.61,3.48,2.59,1.76
hsa-let-7f-1-3p,0.0,0.0,0.15,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.12,0.18,0.59
hsa-let-7f-5p,272.4,109.65,264.01,988.13,1541.35,1309.64
hsa-let-7g-3p,0.0,0.0,0.15,0.0,0.0,0.0
hsa-let-7g-5p,193.08,83.21,163.9,635.85,859.98,771.35
hsa-let-7i-3p,0.0,0.0,0.31,0.36,0.18,0.29
hsa-let-7i-5p,2123.28,761.42,1872.83,4487.34,6806.49,6154.11
hsa-miR-1-3p,0.0,0.14,0.0,0.12,0.45,0.44
hsa-miR-100-3p,0.2,0.07,0.0,1.08,0.71,1.02
hsa-miR-100-5p,9816.2,6888.27,10018.07,23365.83,44285.46,30782.99
hsa-miR-101-2-5p,0.0,0.07,0.0,0.0,0.27,0.0
hsa-miR-101-3p,57.8,25.54,73.1,417.65,928.15,613.68
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.09,0.15
hsa-miR-10393-3p,0.0,0.0,0.0,0.12,0.09,0.0
hsa-miR-10394-3p,0.2,0.28,0.31,0.36,0.09,0.15
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-10395-3p,0.2,0.14,0.0,0.24,0.54,0.44
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.12,0.09,0.15
hsa-miR-10399-3p,0.0,0.14,0.15,0.84,2.5,2.2
hsa-miR-103a-3p,45.5,115.82,107.59,697.37,178.34,31.18
hsa-miR-10401-3p,0.41,0.28,0.31,1.08,1.25,1.61
hsa-miR-105-3p,0.41,0.07,0.46,1.44,1.79,1.17
hsa-miR-105-5p,20.7,13.25,16.48,62.72,62.54,62.66
hsa-miR-10526-3p,0.2,0.14,0.31,0.24,0.18,0.0
hsa-miR-10527-5p,0.0,0.0,0.15,0.0,0.27,0.15
hsa-miR-106a-5p,0.0,0.0,0.15,0.24,0.27,0.0
hsa-miR-106b-3p,120.93,88.48,94.62,381.72,580.86,501.84
