miRNA,SRR22891202,SRR22891203,SRR22891204,SRR22891205
hsa-miR-1304-3p,0.0,0.08,0.0,0.09
hsa-miR-1304-5p,0.47,0.16,0.0,0.0
hsa-miR-1306-3p,0.14,0.16,0.15,0.0
hsa-miR-1306-5p,0.2,1.01,0.59,0.18
hsa-miR-1307-3p,29.7,23.17,37.26,61.55
hsa-miR-1307-5p,0.41,0.16,0.15,0.53
hsa-miR-130a-3p,4.81,3.49,4.55,3.1
hsa-miR-130a-5p,0.0,0.08,0.0,0.09
hsa-miR-130b-3p,0.2,0.0,0.15,0.44
hsa-miR-130b-5p,0.75,1.4,0.44,0.44
hsa-miR-132-3p,0.2,0.0,0.15,0.09
hsa-miR-132-5p,5.22,2.25,1.76,1.42
hsa-miR-133a-3p,1.56,3.57,7.48,4.16
hsa-miR-133b,0.0,0.08,0.0,0.18
hsa-miR-134-3p,1.08,0.23,0.15,0.0
hsa-miR-134-5p,0.61,0.7,0.15,0.09
hsa-miR-1343-3p,0.0,0.39,0.0,0.44
hsa-miR-135a-5p,0.27,0.16,0.0,0.0
hsa-miR-135b-5p,0.2,1.47,1.91,1.42
hsa-miR-136-3p,1.29,0.39,0.44,0.0
hsa-miR-136-5p,3.05,0.62,0.29,0.44
hsa-miR-137-3p,3.25,2.33,6.89,0.8
hsa-miR-137-5p,0.0,0.08,0.0,0.0
hsa-miR-138-1-3p,0.2,0.23,0.15,0.18
hsa-miR-138-5p,62.92,56.19,40.92,66.6
hsa-miR-139-3p,0.07,0.16,0.29,0.44
hsa-miR-139-5p,0.95,4.42,7.48,5.05
hsa-miR-140-3p,0.14,1.55,1.61,1.24
hsa-miR-140-5p,2.03,5.74,13.93,7.62
hsa-miR-141-3p,0.14,0.0,0.15,0.0
hsa-miR-142-3p,0.47,2.87,5.28,4.34
hsa-miR-142-5p,0.75,0.85,1.76,1.15
hsa-miR-143-3p,2274.43,599.0,1019.41,464.71
hsa-miR-143-5p,0.0,0.0,0.0,0.09
hsa-miR-144-3p,0.34,0.62,0.44,1.06
hsa-miR-144-5p,0.0,0.08,0.0,0.09
hsa-miR-145-3p,1.7,0.16,0.88,0.44
hsa-miR-145-5p,24.68,8.99,12.76,18.86
hsa-miR-1468-5p,0.47,0.31,0.0,0.27
hsa-miR-146a-5p,417.65,103.77,90.35,79.0
