miRNA,SRR11892876,SRR11892877,SRR11892878,SRR11892879,SRR11892880,SRR11892881,SRR11892882,SRR11892883,SRR11892884,SRR11892885,SRR11892886,SRR11892887,SRR11892888,SRR11892889,SRR11892890,SRR11892891,SRR11892892
hsa-let-7a-2-3p,0.0,0.0,5.09,0.86,0.0,0.0,0.52,0.0,0.24,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,1.53,2.59,0.0,0.0,1.87,0.0,0.98,0.0,0.0,0.0,1.48,2.08,0.39,0.0,1.12
hsa-let-7a-5p,848.18,17871.14,20096.42,23208.51,19292.58,1.25,13361.86,1076.83,16710.29,21880.0,1857.61,13225.2,27804.83,21941.64,17252.6,174.64,18724.57
hsa-let-7b-3p,0.0,0.0,1.02,3.45,1.68,0.0,6.76,0.0,1.1,0.0,0.0,1.49,2.59,2.98,0.0,0.0,0.0
hsa-let-7b-5p,12498.59,17060.5,27573.68,28468.38,17883.74,400.34,15616.57,24852.65,23700.79,19430.41,37801.74,11886.13,28891.81,21866.64,13725.31,4041.8,25428.06
hsa-let-7c-3p,6.36,0.0,0.25,2.81,1.47,0.0,7.28,0.0,9.77,4.27,4.76,0.0,1.85,1.19,1.55,0.0,8.23
hsa-let-7c-5p,18.49,5456.19,5428.69,7407.3,3028.64,6.86,6630.01,5.32,13863.11,12992.07,12.69,2884.78,6259.37,6443.6,6051.43,3.97,15379.37
hsa-let-7d-3p,0.0,18.26,35.34,23.53,22.06,0.0,17.48,0.0,11.85,25.03,0.0,21.1,68.4,51.48,23.58,0.0,36.3
hsa-let-7d-5p,0.58,515.01,726.93,481.43,606.19,0.0,352.9,0.48,368.4,646.07,1.59,292.04,585.27,491.04,328.2,0.0,245.52
hsa-let-7e-3p,0.0,0.0,1.27,1.51,0.0,0.0,1.04,0.0,0.0,2.24,0.0,1.09,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,11.56,1716.92,1150.52,922.05,1150.6,0.0,1539.96,4.84,1808.91,1295.2,1.59,1022.45,1627.51,1260.33,458.86,1.32,1179.69
hsa-let-7f-1-3p,0.0,0.0,0.0,1.08,0.63,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
hsa-let-7f-5p,19.64,14128.21,14530.93,16267.09,13012.16,0.0,7299.7,25.64,10082.46,19782.24,12.17,8525.65,16208.55,13966.3,12880.45,4.63,11420.75
hsa-let-7g-3p,0.0,0.0,1.53,2.81,0.21,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0
hsa-let-7g-5p,0.0,742.95,1299.77,1331.59,1178.76,0.0,563.16,7.74,709.81,1487.09,16.4,411.29,1126.17,980.88,826.5,0.0,680.04
hsa-let-7i-3p,0.0,0.0,2.03,1.51,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.7,0.0,2.98,1.55,0.0,0.75
hsa-let-7i-5p,54.31,7487.8,10933.16,13716.39,6819.58,14.97,6806.87,174.63,6053.0,10188.42,167.67,3966.95,6233.12,5956.73,5318.87,17.86,11237.36
hsa-miR-1-3p,13.29,122.25,56.45,28.07,21.01,0.0,14.15,0.0,4.64,67.56,2.64,19.31,35.49,39.88,17.4,8.6,32.56
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.21,0.0,0.52,0.0,1.1,2.03,0.0,4.08,2.22,0.0,0.0,0.0,0.0
hsa-miR-100-5p,5.78,432.6,690.57,906.94,381.78,0.0,813.89,0.0,750.36,754.53,4.76,588.46,1264.81,841.01,361.83,0.0,885.52
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1308.1,767.49,1257.31,1056.98,863.58,790.08,620.9,1667.0,447.31,859.94,2833.49,513.21,1249.66,1028.5,567.49,875.83,1063.29
hsa-miR-101-5p,0.0,0.0,0.0,3.02,1.47,0.0,0.62,0.0,1.1,0.0,0.0,0.0,0.0,1.79,0.77,0.0,1.87
hsa-miR-10395-3p,0.0,0.0,1.53,1.08,4.83,0.0,1.46,0.0,0.49,0.0,0.0,4.18,1.11,0.0,23.58,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,1.05,0.0,0.73,0.0,0.98,0.0,0.0,1.29,0.0,0.0,3.29,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.39,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.25,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3603.05,81.5,1634.63,10.15,841.73,1297.68,509.47,2773.34,692.34,629.39,3365.07,847.66,69.88,579.42,1106.37,1815.83,1035.22
hsa-miR-10401-3p,0.0,0.0,1.02,1.94,0.84,0.0,0.62,0.0,2.69,0.0,0.0,0.0,2.96,1.19,1.16,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,1.53,3.02,2.52,0.0,4.99,0.0,0.0,0.0,1.59,1.49,0.74,2.08,6.77,2.65,4.12
hsa-miR-10527-5p,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.11,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,37.67,77.8,53.54,51.69,0.0,51.91,0.0,70.85,76.51,0.0,39.02,39.93,24.11,46.78,0.0,57.26
hsa-miR-106b-5p,0.0,0.0,8.9,6.48,10.72,0.0,2.81,0.0,3.79,10.17,0.0,0.0,10.35,6.55,3.48,0.0,2.62
hsa-miR-107,13.87,13.24,67.89,15.98,44.12,1.25,11.65,43.05,7.94,0.41,3.7,10.05,2.59,14.28,24.55,13.89,25.45
hsa-miR-10a-3p,0.0,2.05,0.0,0.0,0.0,0.0,7.07,0.0,15.76,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,0.0,95.76,23.39,212.22,5.67,57.99,272.79,9.67,661.2,15.87,59.77,13.04,15.16,9.82,5.8,8.6,11.98
hsa-miR-10b-3p,0.0,0.0,1.53,7.34,0.0,0.0,8.43,0.0,13.31,27.67,0.0,5.97,0.0,0.0,5.8,0.0,0.37
hsa-miR-10b-5p,0.0,277.71,51.36,1160.18,8.82,0.62,369.02,0.0,486.4,846.51,5.82,278.8,53.61,7.14,665.87,0.0,48.28
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,4.22,17.04,17.27,3.36,0.0,2.08,0.0,4.64,0.0,8.99,6.87,12.2,14.28,6.19,0.0,5.24
hsa-miR-1180-3p,0.0,125.33,123.82,263.81,98.12,0.0,179.99,0.0,84.16,102.96,0.0,195.59,93.17,91.07,92.39,0.0,171.04
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1181,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,1.73,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,2.03,0.65,2.1,0.0,0.73,0.0,0.0,0.0,0.0,2.09,0.37,1.79,0.97,0.0,0.0
hsa-miR-1199-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0
hsa-miR-12136,9.82,80.93,64.84,30.01,56.73,11.85,51.81,0.0,24.92,9.56,35.97,34.14,81.34,44.64,56.05,14.55,11.23
hsa-miR-122-3p,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.0,76.13,0.0,9.5,0.0,0.0,0.73,0.0,0.12,17.3,0.0,12.04,19.96,27.38,0.0,0.0,2.62
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,2.73,0.0,0.31,0.0,2.2,2.03,0.0,0.0,4.07,1.49,0.0,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0
hsa-miR-124-3p,38.71,118.82,573.86,230.78,154.02,49.26,105.7,45.47,76.71,15.67,16.93,83.21,372.31,238.38,87.37,33.74,174.03
hsa-miR-124-5p,0.0,0.0,0.51,0.86,1.05,0.0,0.31,0.0,0.0,0.0,0.0,0.1,0.0,2.38,0.39,0.0,0.37
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,2.24,0.0,0.9,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,4.62,11.98,5.59,54.19,3.57,0.0,5.72,13.54,24.8,400.46,41.26,16.32,229.6,26.49,11.98,0.66,51.27
hsa-miR-1247-5p,0.0,0.0,4.58,1.73,7.14,0.0,4.27,0.0,0.0,0.0,0.0,2.79,4.07,5.06,0.0,0.0,0.0
hsa-miR-1248,0.0,6.28,1.02,1.3,3.99,0.0,6.03,0.0,0.0,0.0,0.0,3.38,0.0,1.19,22.03,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,1.02,0.0,0.84,0.0,0.21,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,4.79,5.09,3.24,0.0,0.0,0.73,0.0,0.61,0.0,0.0,2.49,8.13,2.08,0.19,0.0,3.37
hsa-miR-1251-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,1.19,0.74,0.0,0.0,0.0,5.61
hsa-miR-1252-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.51,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,9.92,3.24,10.3,0.0,1.77,0.0,2.81,0.2,0.0,1.0,1.85,0.89,0.0,0.0,3.74
hsa-miR-1257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,7.65,11.44,1.73,6.93,0.0,11.44,0.0,11.12,0.0,0.0,1.89,5.92,3.57,0.39,0.0,9.73
hsa-miR-125a-5p,69.91,2114.13,2454.37,1728.61,1877.19,16.84,4102.0,97.72,2039.9,950.49,73.52,1518.14,4148.26,3327.15,494.81,13.23,1763.92
hsa-miR-125b-1-3p,0.0,48.85,42.21,59.8,29.0,0.0,105.81,0.0,136.69,44.97,0.0,48.28,38.08,22.32,16.62,0.0,73.73
hsa-miR-125b-2-3p,0.0,4.91,4.07,12.31,3.78,0.0,12.59,0.0,15.02,19.33,4.23,1.39,6.65,8.63,7.73,0.0,29.94
hsa-miR-125b-5p,109.2,6667.69,5963.4,10071.78,4916.54,42.4,15097.84,83.69,10246.88,5044.86,183.01,5448.96,8317.6,6730.49,4831.4,12.57,8876.86
hsa-miR-126-3p,0.0,1204.42,1402.5,1156.72,1483.01,0.0,885.36,0.0,1073.45,1361.74,4.76,864.48,2282.65,1552.57,903.81,0.0,968.23
hsa-miR-126-5p,0.0,76.93,118.23,74.91,77.95,0.0,46.4,0.0,46.91,79.97,0.0,53.45,114.61,121.42,78.86,0.0,82.34
hsa-miR-1262,0.0,0.0,4.58,4.97,0.0,0.0,2.39,0.0,2.32,10.58,0.0,1.89,0.0,0.0,3.29,0.0,6.74
hsa-miR-1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.11,0.0,1.3,0.0,0.0,0.31,0.0,0.98,1.63,0.0,5.67,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,4.34,0.76,0.0,0.0,0.0,0.52,0.0,1.59,1.22,0.0,0.0,0.0,0.0,0.97,0.0,0.0
hsa-miR-127-3p,15.02,33.22,39.41,32.81,24.79,0.0,77.92,20.8,63.03,30.52,140.17,75.15,54.35,38.69,20.49,0.0,15.34
hsa-miR-127-5p,0.0,5.48,0.76,1.51,2.31,0.0,3.33,0.0,4.89,0.0,0.0,6.37,0.74,1.49,1.16,0.0,0.0
hsa-miR-1270,0.0,11.87,7.12,5.18,0.0,0.0,1.87,0.0,2.32,3.66,0.0,6.57,2.22,5.36,1.55,0.0,2.99
hsa-miR-1271-5p,0.0,6.16,2.54,1.73,1.05,0.0,1.87,0.0,1.1,0.0,0.0,2.19,1.11,2.98,0.77,0.0,2.62
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,2.96,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,3.05,0.0,0.0,0.62,0.0,0.0,2.32,2.24,0.0,0.0,0.0,0.0,0.19,0.0,1.87
hsa-miR-1275,0.0,0.0,0.0,8.85,7.56,0.0,2.08,0.0,1.95,0.0,0.0,3.19,2.22,2.68,36.72,0.0,11.6
hsa-miR-1276,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.97,0.0,7.49
hsa-miR-1277-3p,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.37,0.0,0.0,0.0,1.85,3.57,0.19,0.0,0.0
