miRNA,SRR26073611,SRR26073612,SRR26073613,SRR26073614,SRR26073615,SRR26073616
hsa-let-7a-2-3p,0.83,0.18,1.66,0.5,2.08,1.01
hsa-let-7a-3p,2.07,3.38,3.0,4.13,4.96,4.03
hsa-let-7a-5p,6983.87,8917.85,11184.86,6618.72,8439.3,13889.0
hsa-let-7b-3p,0.41,1.07,2.66,1.31,2.98,1.64
hsa-let-7b-5p,3156.44,2774.98,5493.07,4628.89,4393.98,4294.92
hsa-let-7c-3p,0.55,0.71,0.17,1.81,0.99,0.5
hsa-let-7c-5p,811.9,509.55,660.73,836.69,900.04,746.91
hsa-let-7d-3p,15.2,25.82,41.44,15.51,8.94,30.98
hsa-let-7d-5p,112.87,142.66,289.92,134.72,116.97,226.84
hsa-let-7e-3p,1.11,1.07,3.99,0.91,0.72,3.4
hsa-let-7e-5p,915.66,921.14,1395.2,929.72,768.81,1654.54
hsa-let-7f-1-3p,0.0,0.36,0.0,0.3,1.08,1.13
hsa-let-7f-2-3p,0.14,0.36,0.0,0.5,0.09,0.0
hsa-let-7f-5p,5481.64,5315.77,7804.31,5777.6,6531.9,10579.8
hsa-let-7g-3p,0.28,0.0,0.0,0.1,0.9,0.0
hsa-let-7g-5p,386.82,363.5,768.91,614.28,398.58,583.67
hsa-let-7i-3p,2.07,2.67,3.99,1.21,1.26,1.64
hsa-let-7i-5p,2036.74,2014.32,6589.19,2451.07,2470.43,3453.29
hsa-miR-1-3p,2.07,0.18,2.0,2.52,1.44,0.88
hsa-miR-100-3p,4.84,4.27,16.98,2.82,7.4,8.82
hsa-miR-100-5p,2240.79,2911.94,4015.99,3422.78,5403.24,4478.69
hsa-miR-101-3p,253.37,196.98,408.92,272.55,194.59,169.91
hsa-miR-101-5p,0.0,0.0,0.83,0.2,0.09,0.0
hsa-miR-10394-3p,0.28,0.0,0.0,0.0,0.0,0.13
hsa-miR-10395-3p,0.14,1.07,0.0,0.1,0.45,0.13
hsa-miR-10396a-3p,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.33,0.3,0.18,0.5
hsa-miR-10399-3p,0.14,0.89,1.17,0.2,1.26,0.76
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.18,0.0
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,0.13
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-103a-3p,194.93,451.31,486.98,277.08,19.59,632.92
hsa-miR-10400-3p,0.0,0.89,0.0,0.0,0.09,0.0
hsa-miR-10400-5p,0.28,0.36,0.0,0.3,0.09,0.0
hsa-miR-10401-3p,3.32,7.3,42.94,5.34,6.14,12.34
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-105-5p,0.14,0.0,0.83,0.3,0.0,0.5
hsa-miR-10526-3p,0.41,1.42,0.0,0.5,0.63,0.63
hsa-miR-10527-5p,0.0,0.0,1.83,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.33,0.1,0.0,0.0
hsa-miR-106b-3p,25.97,22.26,66.41,42.79,52.98,52.65
hsa-miR-106b-5p,0.83,2.32,5.49,1.41,2.17,2.27
hsa-miR-107,4.14,17.1,17.64,6.14,14.35,6.05
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,1.44,0.0
hsa-miR-10a-5p,5.8,3.21,9.82,13.09,87.55,3.53
hsa-miR-10b-5p,3.59,0.53,3.5,2.22,3.25,3.15
hsa-miR-1178-5p,0.0,0.53,0.0,0.0,0.0,0.0
hsa-miR-1179,0.55,0.36,0.67,0.91,0.45,2.65
hsa-miR-1180-3p,7.32,13.18,29.46,12.89,11.19,19.52
hsa-miR-1180-5p,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.17,1.21,1.17,0.25
hsa-miR-1185-2-3p,0.0,0.0,0.33,0.0,0.27,0.0
hsa-miR-1185-5p,0.14,0.0,2.66,2.22,0.9,1.26
hsa-miR-1193,0.0,0.0,1.33,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.6,0.0,0.0
hsa-miR-12133,0.0,0.0,0.83,0.0,0.0,0.0
hsa-miR-12136,6.22,2.49,22.8,6.44,6.14,1.89
hsa-miR-122-3p,0.0,1.42,0.0,1.51,0.81,0.63
hsa-miR-122-5p,5371.53,3497.89,11700.3,4705.41,3157.64,93.96
hsa-miR-1226-3p,0.83,1.25,1.83,0.4,0.36,0.63
hsa-miR-1228-3p,0.28,1.6,0.0,0.0,0.72,0.0
hsa-miR-1228-5p,0.0,0.36,0.0,0.0,0.27,0.0
hsa-miR-1229-3p,0.41,0.0,0.0,0.3,0.0,0.88
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.38
hsa-miR-122b-5p,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1233-3p,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1237-5p,0.14,0.0,0.5,0.81,0.09,0.63
hsa-miR-124-3p,0.28,0.0,0.0,0.2,0.09,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.13
hsa-miR-1246,64.52,37.4,54.09,67.56,67.69,37.28
hsa-miR-1247-5p,0.41,1.07,1.0,0.0,0.0,0.0
hsa-miR-1248,1.66,1.07,2.5,1.51,1.35,1.89
hsa-miR-1249-3p,1.24,2.67,3.5,1.61,1.71,4.91
hsa-miR-1251-5p,0.28,0.0,0.67,0.0,0.54,0.0
hsa-miR-1255a,0.14,0.0,1.17,1.01,0.45,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.7,0.27,0.0
hsa-miR-1256,0.41,0.0,0.33,0.0,0.0,0.13
hsa-miR-125a-3p,2.07,2.67,12.82,8.16,5.23,7.94
hsa-miR-125a-5p,2992.87,2318.16,4088.22,2698.86,1580.13,3948.29
hsa-miR-125b-1-3p,15.06,25.29,30.96,28.09,44.86,21.54
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.2,1.81,0.5
hsa-miR-125b-5p,3154.51,2913.9,4879.44,3514.91,3661.37,4942.7
hsa-miR-126-3p,324.65,180.77,352.67,279.9,165.62,272.94
hsa-miR-126-5p,62.72,39.72,67.57,70.68,50.36,63.73
hsa-miR-1260b,4.97,6.77,5.33,1.61,11.1,12.85
hsa-miR-1262,0.41,0.36,1.5,2.01,3.61,0.88
hsa-miR-1264,0.28,0.53,0.67,0.3,0.0,0.38
hsa-miR-1266-5p,0.0,0.0,0.67,0.0,0.0,0.38
hsa-miR-1267,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-1268a,2.35,1.78,1.83,0.81,0.09,0.0
hsa-miR-1268b,0.0,3.92,6.99,0.0,1.9,1.01
hsa-miR-127-3p,44.9,23.51,207.87,201.17,179.7,61.97
hsa-miR-127-5p,2.49,1.42,9.65,6.04,6.59,0.0
hsa-miR-1270,0.41,2.49,4.66,2.62,1.17,1.26
hsa-miR-1271-3p,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1271-5p,0.69,0.71,4.83,3.12,3.61,1.26
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.18,0.0
hsa-miR-1273h-5p,0.0,0.0,0.33,0.1,0.09,0.25
hsa-miR-1275,0.83,0.36,10.32,4.93,1.99,2.27
hsa-miR-1276,0.0,0.0,0.0,0.4,0.0,0.13
hsa-miR-1277-3p,0.83,1.6,3.83,1.11,0.18,0.76
