miRNA,SRR17326410
hsa-miR-100-5p,27318
hsa-let-7b-5p,10853
hsa-miR-125b-5p,8365
hsa-miR-92a-3p,3574
hsa-miR-21-5p,5183
hsa-let-7a-5p,5186
hsa-miR-222-3p,5808
hsa-let-7i-5p,2534
hsa-miR-99b-5p,3117
hsa-miR-10a-5p,2437
hsa-miR-10b-5p,2329
hsa-miR-125a-5p,3180
hsa-miR-221-3p,1948
hsa-miR-26a-5p,1245
hsa-miR-23a-3p,2503
hsa-miR-199a-5p,957
hsa-miR-148a-3p,769
hsa-let-7f-5p,999
hsa-miR-143-3p,1355
hsa-miR-127-3p,995
hsa-miR-145-5p,800
hsa-miR-30d-5p,799
hsa-miR-191-5p,781
hsa-miR-409-3p,1143
hsa-miR-365a-3p,433
hsa-miR-199b-3p,646
hsa-miR-99a-5p,652
hsa-let-7g-5p,531
hsa-miR-25-3p,382
hsa-miR-423-5p,376
hsa-miR-92b-3p,526
hsa-miR-320a-3p,940
hsa-miR-615-3p,559
hsa-miR-574-3p,370
hsa-miR-30c-5p,562
hsa-let-7c-5p,316
hsa-miR-199a-3p,317
hsa-miR-27b-3p,450
hsa-miR-197-3p,271
hsa-miR-224-5p,411
hsa-miR-532-5p,208
hsa-let-7d-3p,254
hsa-miR-29a-3p,403
hsa-let-7e-5p,293
hsa-miR-323a-3p,252
hsa-miR-493-5p,175
hsa-miR-28-3p,236
hsa-miR-30a-5p,186
hsa-let-7d-5p,179
hsa-miR-484,127
hsa-miR-128-3p,187
hsa-miR-654-3p,172
hsa-miR-23b-3p,282
hsa-miR-151a-3p,192
hsa-miR-193b-3p,92
hsa-miR-485-3p,105
hsa-miR-30a-3p,126
hsa-miR-381-3p,72
hsa-miR-328-3p,70
hsa-miR-433-3p,94
hsa-miR-221-5p,114
hsa-miR-365b-3p,151
hsa-miR-181a-5p,110
hsa-miR-152-3p,92
hsa-miR-382-5p,63
hsa-miR-196a-5p,78
hsa-miR-543,112
hsa-miR-22-3p,72
hsa-miR-99b-3p,72
hsa-miR-342-3p,65
hsa-miR-155-5p,68
hsa-miR-125b-1-3p,119
hsa-miR-130b-5p,63
hsa-miR-494-3p,47
hsa-miR-181b-5p,87
hsa-miR-423-3p,55
hsa-miR-193a-5p,68
hsa-miR-26b-5p,61
hsa-miR-186-5p,66
hsa-miR-1307-3p,99
hsa-miR-664a-3p,47
hsa-miR-24-3p,59
hsa-miR-27a-3p,51
hsa-miR-106b-3p,95
hsa-miR-424-3p,38
hsa-miR-361-5p,35
