miRNA,SRR24491950,SRR24491954,SRR24491972,SRR24491975,SRR24491978,SRR24491983,SRR24491984,SRR24491989,SRR24491994,SRR24491998,SRR24492002,SRR24492007,SRR24492011,SRR24492014,SRR24492015,SRR24492019,SRR24492023,SRR24492040,SRR24492050,SRR24492054,SRR24492059,SRR24492063,SRR24492068,SRR24492072,SRR24492076,SRR24492080,SRR24491958,SRR24491963,SRR24491967,SRR24491970,SRR24492028,SRR24492031,SRR24492035,SRR24492047,SRR24492056
hsa-let-7a-3p,0.0,0.0,0.0,0.0,33.46,0.0,171.74,5.45,0.0,29.03,0.0,0.0,0.0,3.05,0.0,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,679.87,466.03,1702.05,897.03,905.92,945.07,1427.09,665.15,1443.69,1014.77,1420.36,2343.46,936.33,64.01,2156.74,1682.65,10635.48,347.87,590.51,65.75,945.22,502.85,0.0,382.18,0.0,6333.34,0.0,343.9,188.55,341.31,3215.77,468.14,370.93,2510.71,324.33
hsa-let-7b-3p,0.0,0.0,0.0,0.0,46.33,0.75,44.32,10.9,0.0,0.0,0.0,36.7,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,17.07,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,951.82,2692.63,384.89,931.35,5559.06,2079.75,10750.84,2578.82,6768.88,8390.99,1325.08,1263.48,3077.65,106.68,3417.45,1065.68,7588.11,596.36,3176.85,226.46,1297.09,70.25,0.0,687.92,862.86,3077.65,878.75,573.17,81.8,132.26,1887.34,601.89,749.39,2732.54,350.42
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,221.53,478.7,189.99,479.76,169.01,999.62,1026.38,241.53,150.29,782.25,9.14,0.0,791.83,3311.88,2.26,102.27,0.0,407.06,269.91,0.0,305.74,761.34,918.79,0.0,0.0,26.34,25.6,550.81,68.9,98.08,776.41,50.43
hsa-let-7d-3p,0.0,0.0,0.0,109.2,25.74,139.48,155.12,119.95,122.44,85.92,28.81,213.2,0.0,27.43,0.0,19.8,38.57,65.51,32.99,0.0,0.0,0.0,0.0,0.0,0.0,59.34,0.0,0.0,0.0,42.66,16.2,97.28,7.54,0.0,38.26
hsa-let-7d-5p,0.0,0.0,171.06,6.24,36.03,166.24,48.75,79.05,107.82,53.41,42.1,153.78,0.0,6.1,197.96,92.38,82.66,0.0,85.77,0.0,0.0,0.0,0.0,0.0,0.0,190.31,0.0,0.0,2.77,46.93,76.95,14.19,123.22,0.0,25.22
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,32.76,66.91,182.83,97.5,68.15,107.82,285.62,106.36,111.84,0.0,6.1,0.0,135.27,435.34,0.0,105.57,7.31,0.0,0.0,0.0,0.0,0.0,239.42,7.2,0.0,4.16,12.8,101.25,42.56,42.75,352.91,33.91
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,10.29,0.0,23.27,0.0,0.0,33.67,0.0,6.99,0.0,30.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1541.04,10.36,2411.95,739.47,1248.21,3646.82,2345.62,673.33,3296.72,2142.16,2898.33,5221.68,2366.51,265.17,4355.16,3137.64,8679.22,799.66,715.86,277.6,1207.4,617.47,677.76,687.92,0.0,11330.43,0.0,0.0,54.99,964.2,2920.12,859.27,658.86,3670.28,1220.82
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,761.22,202.81,113.24,539.45,313.56,149.93,217.47,140.49,243.74,487.57,0.0,70.1,1177.35,201.26,529.02,198.79,92.37,0.0,0.0,40.67,0.0,0.0,0.0,417.45,0.0,0.0,6.93,29.86,311.86,162.13,94.3,0.0,135.65
hsa-let-7i-3p,0.0,0.0,0.0,0.0,10.29,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,21.38,0.0,0.0
hsa-let-7i-5p,45.32,2154.1,1060.57,304.21,1273.95,1214.6,698.03,646.07,911.9,867.31,363.4,740.96,280.5,91.44,1542.02,593.88,1030.48,293.66,214.43,14.61,62.09,88.74,985.83,611.48,0.0,1301.45,0.0,0.0,12.48,115.19,433.36,127.67,451.4,1361.23,57.39
hsa-miR-1-3p,0.0,0.0,0.0,0.0,5.15,0.0,9.97,0.0,0.0,5.81,19.94,64.66,0.0,9.14,0.0,0.0,11.02,90.36,0.0,0.0,0.0,25.88,0.0,0.0,0.0,4.09,0.0,0.0,0.0,8.53,36.45,0.0,5.03,0.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,434.96,1197.42,324.49,162.14,949.21,64.26,166.29,246.71,49.93,230.45,106.6,355.57,161.54,1875.43,174.86,71.64,255.26,280.41,21.92,351.87,59.16,0.0,0.0,0.0,51.16,439.38,0.0,3.23,170.66,166.05,255.35,225.07,5.04,362.59
hsa-miR-101-3p,0.0,900.99,128.3,302.65,658.85,922.07,729.06,727.85,948.45,9128.26,68.69,713.0,1236.59,131.06,229.22,197.96,308.59,257.52,1613.17,0.0,255.28,55.46,0.0,152.87,0.0,349.92,0.0,335.99,10.17,170.66,202.5,387.08,676.47,0.0,121.73
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0
hsa-miR-10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,20.71,0.0,0.0,0.0,0.0,1.11,0.0,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,0.0,243.37,190.45,781.84,839.86,76.33,169.95,502.74,0.0,50.68,229.14,42.67,229.22,19.8,286.55,262.04,98.97,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,4.27,36.45,832.92,1364.25,0.0,86.08
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.11,2.73,0.0,0.0,0.0,10.49,0.0,0.0,0.0,0.0,16.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,16.21,8.8,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,46.8,429.8,110.45,649.28,169.01,652.4,332.06,6.65,61.16,221.24,36.58,114.61,49.49,143.28,76.8,254.02,0.0,0.0,0.0,0.0,0.0,0.0,141.2,381.75,0.0,9.7,34.13,40.5,170.23,110.65,0.0,133.91
hsa-miR-106b-5p,0.0,0.0,0.0,18.72,0.0,0.0,22.16,5.45,47.51,56.89,0.0,26.21,0.0,0.0,0.0,23.1,16.53,0.0,42.89,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
