miRNA,GSM3059089,GSM3059090,GSM3059091,GSM3059095,GSM3059096,GSM3059097
hsa-miR-141-3p,204.01,92.58,515.65,162.7,180.18,380.17
hsa-miR-141-5p,0.0,0.0,14.73,2.29,1.27,6.28
hsa-miR-142-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-142-5p,38.86,12.34,213.63,9.17,12.69,44.62
hsa-miR-143-3p,5003.18,3228.0,22548.64,5040.82,2130.41,3813.69
hsa-miR-143-5p,0.0,0.0,0.0,1.15,1.27,0.0
hsa-miR-144-3p,9.71,12.34,228.36,6.3,0.0,18.22
hsa-miR-144-5p,0.0,0.0,95.76,0.57,5.08,15.08
hsa-miR-145-3p,0.0,0.0,0.0,3.44,0.0,3.14
hsa-miR-145-5p,4.86,6.17,29.47,2.29,0.0,5.66
hsa-miR-1468-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-146a-5p,4.86,6.17,7.37,13.75,3.81,13.2
hsa-miR-146b-3p,0.0,0.0,0.0,1.72,1.27,0.0
hsa-miR-146b-5p,9.71,0.0,14.73,8.02,1.27,6.28
hsa-miR-148a-3p,966.63,419.7,942.9,500.13,340.05,554.24
hsa-miR-148a-5p,0.0,18.52,0.0,0.57,0.0,0.0
hsa-miR-148b-3p,53.43,18.52,44.2,20.05,17.76,35.19
hsa-miR-148b-5p,0.0,0.0,0.0,1.15,2.54,0.63
hsa-miR-149-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-149-5p,29.14,18.52,29.47,29.79,22.84,46.5
hsa-miR-150-5p,19.43,6.17,14.73,4.01,6.34,3.14
hsa-miR-151a-3p,126.29,61.72,191.53,112.29,82.48,155.84
hsa-miR-151a-5p,97.15,12.34,147.33,73.9,45.68,161.5
hsa-miR-151b,0.0,0.0,0.0,10.31,5.08,22.62
hsa-miR-152-3p,43.72,0.0,7.37,5.73,6.34,3.77
hsa-miR-152-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-153-3p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.0,0.0,0.57,1.27,1.26
hsa-miR-154-5p,9.71,0.0,0.0,2.29,3.81,0.63
