miRNA,GSM3059089,GSM3059090,GSM3059091,GSM3059095,GSM3059096,GSM3059097
hsa-miR-4662a-5p,0.0,6.17,0.0,0.0,1.27,1.26
hsa-miR-4708-3p,0.0,0.0,0.0,2.29,2.54,1.26
hsa-miR-4714-3p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-4720-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-4724-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-4728-3p,0.0,0.0,0.0,1.72,0.0,1.26
hsa-miR-4732-3p,9.71,0.0,0.0,1.72,2.54,2.51
hsa-miR-4732-5p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-4745-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-4746-5p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-4767,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-4775,0.0,0.0,0.0,1.72,0.0,0.0
hsa-miR-4800-3p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-4800-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-483-3p,626.61,154.3,198.89,90.52,79.94,96.14
hsa-miR-483-5p,38.86,24.69,14.73,13.18,12.69,10.68
hsa-miR-484,63.15,12.34,58.93,16.04,30.45,22.62
hsa-miR-485-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-485-5p,58.29,6.17,7.37,25.78,17.76,20.11
hsa-miR-486-3p,4.86,0.0,7.37,2.86,0.0,1.26
hsa-miR-486-5p,2253.86,1302.31,2872.91,2300.71,93.9,2009.59
hsa-miR-487a-5p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-487b-3p,4.86,0.0,22.1,2.29,1.27,3.77
hsa-miR-487b-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-489-3p,4.86,0.0,0.0,4.58,1.27,8.17
hsa-miR-490-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-493-3p,19.43,0.0,22.1,1.72,0.0,1.89
hsa-miR-493-5p,43.72,37.03,88.4,18.33,16.5,41.47
hsa-miR-494-3p,0.0,0.0,7.37,0.0,0.0,1.89
hsa-miR-494-5p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-miR-495-3p,0.0,0.0,0.0,1.72,0.0,1.26
hsa-miR-497-5p,19.43,18.52,7.37,10.31,8.88,13.82
hsa-miR-498-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-498-5p,77.72,6.17,22.1,26.35,22.84,41.47
hsa-miR-499a-5p,0.0,0.0,0.0,0.0,2.54,0.0
hsa-miR-500a-3p,19.43,6.17,0.0,8.59,11.42,21.37
hsa-miR-501-3p,9.71,18.52,7.37,6.3,7.61,6.28
hsa-miR-5010-3p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-5010-5p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-502-3p,0.0,0.0,0.0,2.86,0.0,1.89
hsa-miR-502-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-503-3p,0.0,0.0,0.0,1.15,0.0,0.63
hsa-miR-503-5p,38.86,0.0,7.37,5.16,2.54,6.28
hsa-miR-504-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-504-5p,9.71,0.0,7.37,0.57,1.27,2.51
hsa-miR-505-3p,0.0,0.0,0.0,1.15,0.0,1.26
hsa-miR-509-3p,29.14,37.03,7.37,36.66,10.15,15.71
hsa-miR-511-5p,9.71,6.17,0.0,8.02,3.81,8.8
hsa-miR-512-3p,2088.71,641.9,581.95,826.67,530.38,1231.01
hsa-miR-512-5p,4.86,0.0,7.37,2.86,2.54,0.0
hsa-miR-514a-3p,0.0,0.0,0.0,1.15,0.0,1.26
hsa-miR-515-3p,53.43,37.03,14.73,22.92,8.88,28.91
hsa-miR-515-5p,136.01,117.27,640.88,58.43,63.44,138.87
hsa-miR-516a-3p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-516a-5p,903.49,401.19,1819.51,316.81,288.03,666.09
hsa-miR-516b-5p,3259.35,1203.56,2556.15,1318.21,898.35,2289.85
hsa-miR-517-5p,393.45,104.93,397.79,269.26,173.83,393.37
hsa-miR-517a-3p,1156.07,827.06,7.37,271.55,272.8,1525.1
hsa-miR-517b-3p,2657.03,185.16,906.07,1141.76,498.66,187.89
hsa-miR-517c-3p,315.73,104.93,125.23,146.66,101.51,184.75
hsa-miR-5189-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-518a-3p,24.29,12.34,22.1,22.92,26.65,30.79
hsa-miR-518a-5p,24.29,24.69,7.37,20.05,19.03,50.9
hsa-miR-518b,58.29,61.72,169.43,71.61,46.95,69.12
hsa-miR-518c-3p,87.43,30.86,213.63,56.14,65.98,130.7
hsa-miR-518c-5p,29.14,6.17,7.37,12.6,15.23,43.99
hsa-miR-518d-3p,4.86,0.0,0.0,1.15,1.27,0.63
hsa-miR-518d-5p,4.86,0.0,0.0,4.01,16.5,0.0
hsa-miR-518e-3p,291.45,18.52,257.82,95.1,83.74,152.7
hsa-miR-518e-5p,165.15,0.0,110.5,53.85,13.96,0.0
hsa-miR-518f-3p,4.86,6.17,66.3,17.76,16.5,24.51
hsa-miR-518f-5p,29.14,0.0,14.73,4.58,2.54,42.73
hsa-miR-5191,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-519a-2-5p,0.0,0.0,29.47,34.95,3.81,7.54
hsa-miR-519a-3p,684.9,123.44,132.6,187.33,77.4,178.46
hsa-miR-519a-5p,48.57,12.34,14.73,21.2,77.4,27.02
hsa-miR-519b-3p,4.86,0.0,7.37,2.29,2.54,7.54
hsa-miR-519b-5p,0.0,55.55,0.0,1.15,58.37,0.0
hsa-miR-519c-3p,1248.37,308.6,316.76,387.84,163.68,450.55
hsa-miR-519c-5p,38.86,24.69,66.3,11.46,6.34,44.62
hsa-miR-519d-3p,34.0,12.34,51.56,15.47,22.84,42.1
hsa-miR-519d-5p,92.29,12.34,66.3,25.78,34.26,28.28
hsa-miR-519e-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-519e-5p,4.86,0.0,7.37,0.57,0.0,2.51
hsa-miR-520a-3p,2632.74,561.66,456.72,1331.96,739.74,1745.03
hsa-miR-520a-5p,77.72,24.69,73.66,36.09,25.38,68.49
hsa-miR-520b-5p,68.0,37.03,58.93,0.57,24.11,37.07
hsa-miR-520c-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-520c-5p,0.0,24.69,0.0,0.0,0.0,3.77
hsa-miR-520d-3p,816.05,265.4,235.73,356.33,222.05,341.21
hsa-miR-520d-5p,72.86,18.52,95.76,21.2,10.15,42.73
hsa-miR-520e-5p,4.86,0.0,0.0,1.15,1.27,1.89
hsa-miR-520f-3p,34.0,18.52,7.37,14.32,2.54,8.17
hsa-miR-520f-5p,9.71,18.52,7.37,2.86,1.27,3.77
hsa-miR-520g-3p,34.0,12.34,29.47,20.05,10.15,29.53
hsa-miR-520g-5p,0.0,0.0,22.1,0.0,2.54,0.0
hsa-miR-520h,0.0,0.0,29.47,1.72,5.08,10.68
hsa-miR-521,0.0,0.0,0.0,0.0,0.0,2.51
hsa-miR-522-3p,568.32,141.96,88.4,204.52,69.79,174.06
hsa-miR-522-5p,213.73,30.86,44.2,109.42,3.81,186.0
hsa-miR-523-3p,4.86,0.0,7.37,2.86,1.27,4.4
hsa-miR-523-5p,24.29,12.34,44.2,13.75,0.0,76.66
hsa-miR-524-3p,19.43,18.52,14.73,23.49,12.69,25.76
hsa-miR-524-5p,145.72,18.52,58.93,53.28,26.65,77.92
hsa-miR-525-3p,4.86,0.0,36.83,1.72,1.27,3.14
hsa-miR-525-5p,505.18,160.47,132.6,259.52,142.11,449.93
hsa-miR-526a-5p,0.0,0.0,22.1,21.2,6.34,12.57
hsa-miR-526b-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-526b-5p,72.86,30.86,147.33,72.18,44.41,121.91
hsa-miR-527,38.86,0.0,66.3,2.86,1.27,6.28
hsa-miR-532-3p,4.86,0.0,0.0,3.44,2.54,0.63
hsa-miR-532-5p,82.58,12.34,66.3,42.97,20.3,66.61
hsa-miR-539-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-539-5p,0.0,0.0,0.0,0.0,2.54,0.63
hsa-miR-541-3p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-542-3p,0.0,0.0,22.1,5.16,0.0,5.03
hsa-miR-542-5p,9.71,0.0,7.37,2.29,1.27,3.14
hsa-miR-543,4.86,0.0,7.37,3.44,2.54,3.14
hsa-miR-548ad-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-548ai,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-548an,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-548b-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-548d-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-548e-3p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-548e-5p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-miR-548i,0.0,0.0,0.0,0.0,0.0,2.51
hsa-miR-548k,14.57,0.0,0.0,5.73,1.27,5.66
hsa-miR-548o-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-548q,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-548w,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-550a-3p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-550a-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-551b-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-551b-5p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-5581-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-561-5p,14.57,12.34,0.0,5.73,7.61,19.48
hsa-miR-570-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-570-5p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-574-3p,29.14,6.17,36.83,2.86,1.27,3.77
hsa-miR-574-5p,106.86,104.93,0.0,32.08,25.38,29.53
hsa-miR-576-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-576-5p,0.0,0.0,7.37,0.0,1.27,0.63
hsa-miR-579-5p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-582-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-584-5p,898.63,432.05,228.36,706.94,756.24,1368.0
hsa-miR-589-5p,0.0,0.0,0.0,1.72,5.08,3.77
hsa-miR-590-3p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-592,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6085,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-615-3p,9.71,0.0,0.0,6.3,1.27,2.51
hsa-miR-616-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-616-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-619-5p,0.0,0.0,0.0,3.44,3.81,0.63
hsa-miR-624-5p,9.71,0.0,0.0,0.57,0.0,0.63
hsa-miR-625-3p,0.0,0.0,0.0,3.44,0.0,4.4
hsa-miR-625-5p,0.0,0.0,14.73,0.0,0.0,0.0
hsa-miR-628-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-628-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-629-3p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-629-5p,0.0,0.0,0.0,9.17,2.54,13.82
hsa-miR-6499-5p,19.43,24.69,14.73,0.57,7.61,0.63
hsa-miR-6501-5p,0.0,0.0,0.0,0.0,3.81,1.26
hsa-miR-6509-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-651-5p,4.86,0.0,0.0,0.57,0.0,0.63
hsa-miR-6511a-3p,9.71,0.0,0.0,2.29,3.81,4.4
hsa-miR-6511a-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6511b-3p,43.72,0.0,0.0,2.86,6.34,2.51
hsa-miR-6511b-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-652-3p,4.86,12.34,14.73,9.74,25.38,27.65
hsa-miR-6529-5p,0.0,0.0,0.0,0.0,1.27,1.89
hsa-miR-654-3p,4.86,6.17,22.1,8.59,6.34,22.62
hsa-miR-654-5p,19.43,0.0,36.83,12.6,7.61,5.66
hsa-miR-655-3p,0.0,0.0,7.37,0.57,0.0,0.0
hsa-miR-656-3p,0.0,6.17,0.0,0.0,0.0,1.89
hsa-miR-656-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-660-3p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-660-5p,58.29,55.55,73.66,28.07,38.07,50.27
hsa-miR-664a-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-664a-5p,14.57,0.0,0.0,4.01,0.0,3.77
hsa-miR-665,14.57,0.0,7.37,10.88,1.27,5.03
hsa-miR-668-3p,0.0,6.17,0.0,1.15,1.27,1.89
hsa-miR-671-3p,4.86,0.0,7.37,4.01,1.27,4.4
hsa-miR-671-5p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-miR-6724-5p,0.0,0.0,0.0,0.0,5.08,0.0
hsa-miR-6735-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6737-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6740-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6741-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-675-3p,14.57,6.17,0.0,9.17,3.81,4.4
hsa-miR-675-5p,4.86,6.17,0.0,15.47,3.81,4.4
hsa-miR-6756-3p,4.86,0.0,0.0,0.0,1.27,0.0
hsa-miR-676-3p,0.0,0.0,0.0,0.0,2.54,0.0
hsa-miR-6762-3p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-6774-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-6784-3p,0.0,0.0,7.37,0.0,1.27,2.51
hsa-miR-6786-3p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-miR-6795-5p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-6827-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6840-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-6845-5p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-miR-6852-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-6862-5p,0.0,0.0,0.0,1.15,0.0,0.63
hsa-miR-6881-3p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-6887-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-7110-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-744-5p,68.0,61.72,58.93,34.37,31.72,39.59
hsa-miR-758-3p,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-760,0.0,0.0,0.0,0.0,0.0,3.77
hsa-miR-766-3p,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-767-5p,4.86,0.0,0.0,7.45,3.81,5.66
hsa-miR-769-5p,4.86,0.0,14.73,2.86,3.81,4.4
hsa-miR-7705,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-7706,14.57,12.34,7.37,10.88,2.54,5.03
hsa-miR-7850-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-8086,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-873-3p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-874-3p,14.57,0.0,0.0,4.58,3.81,5.03
hsa-miR-874-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-877-5p,0.0,0.0,0.0,0.0,3.81,0.0
hsa-miR-887-3p,0.0,0.0,7.37,0.0,0.0,0.0
hsa-miR-887-5p,0.0,0.0,0.0,1.72,0.0,0.0
hsa-miR-889-3p,14.57,0.0,132.6,10.88,5.08,12.57
hsa-miR-9-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-9-5p,4.86,0.0,7.37,1.15,1.27,1.26
hsa-miR-92a-1-5p,4.86,0.0,0.0,2.29,5.08,0.63
hsa-miR-92a-3p,17496.56,4727.81,2305.69,5693.33,5497.94,8081.7
hsa-miR-92b-3p,1190.08,228.37,103.13,476.64,315.94,481.97
hsa-miR-93-3p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-93-5p,53.43,24.69,73.66,32.65,25.38,43.99
hsa-miR-934,0.0,0.0,0.0,0.0,0.0,3.77
hsa-miR-937-3p,0.0,6.17,0.0,1.15,0.0,2.51
hsa-miR-939-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-939-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-941,19.43,12.34,14.73,26.93,25.38,21.37
hsa-miR-942-5p,4.86,0.0,0.0,0.0,0.0,2.51
hsa-miR-944,0.0,0.0,0.0,0.57,0.0,2.51
hsa-miR-96-5p,0.0,0.0,0.0,1.15,0.0,0.63
hsa-miR-98-5p,29.14,0.0,7.37,3.44,8.88,3.77
hsa-miR-99a-5p,0.0,0.0,14.73,1.72,2.54,1.26
hsa-miR-99b-3p,19.43,18.52,0.0,4.01,1.27,7.54
hsa-miR-99b-5p,952.06,320.95,832.41,1014.01,427.6,1094.02
hsa-mir-12121-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-12136-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-mir-1268b-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-1269a-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-1273c-5p,0.0,0.0,0.0,4.01,1.27,1.89
hsa-mir-1283-2-5p,4.86,12.34,22.1,5.16,5.08,11.94
hsa-mir-1291-5p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-mir-1303-3p,0.0,0.0,0.0,1.15,0.0,1.26
hsa-mir-1323-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-1843-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-2110-5p,0.0,0.0,0.0,2.86,2.54,0.0
hsa-mir-3159-5p,0.0,0.0,0.0,0.0,3.81,3.14
hsa-mir-3648-1-5p,0.0,0.0,0.0,0.57,3.81,1.26
hsa-mir-3648-2-5p,0.0,6.17,0.0,0.57,5.08,0.0
hsa-mir-3909-3p,0.0,0.0,0.0,1.15,0.0,1.89
hsa-mir-3918-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-3976-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-mir-421-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-4430-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-mir-4460-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-mir-518b-3p,4.86,0.0,0.0,12.6,7.61,15.71
hsa-mir-520h-3p,0.0,6.17,0.0,4.01,2.54,5.03
hsa-mir-521-1-3p,0.0,0.0,14.73,0.57,0.0,2.51
hsa-mir-527-5p,0.0,6.17,0.0,1.72,1.27,0.63
hsa-mir-636-3p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-mir-641-5p,4.86,0.0,0.0,0.0,0.0,0.0
hsa-mir-663a-5p,0.0,0.0,0.0,0.0,0.0,1.89
hsa-mir-8086-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-mir-934-5p,0.0,0.0,0.0,0.57,0.0,0.0
