miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-miR-619-5p,0.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-622,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-624-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-624-5p,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-625-3p,4.0,23.0,1.0,3.0,11.0,36.0,1.0,5.0,29.0,3.0,14.0,0.0
hsa-miR-625-5p,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-627-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
hsa-miR-627-5p,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-628-3p,0.0,4.0,0.0,0.0,1.0,3.0,0.0,6.0,5.0,0.0,3.0,1.0
hsa-miR-628-5p,0.0,9.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0
hsa-miR-629-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
hsa-miR-629-5p,20.0,52.0,18.0,10.0,59.0,155.0,7.0,49.0,176.0,31.0,181.0,109.0
hsa-miR-636,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-639,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-641,1.0,9.0,4.0,1.0,4.0,8.0,0.0,7.0,6.0,3.0,10.0,3.0
hsa-miR-642a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
hsa-miR-643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-6500-3p,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-6501-5p,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-6505-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-6505-5p,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
hsa-miR-651-5p,16.0,43.0,30.0,31.0,20.0,84.0,4.0,30.0,71.0,3.0,51.0,131.0
hsa-miR-6510-3p,1.0,6.0,6.0,0.0,21.0,32.0,0.0,5.0,3.0,1.0,4.0,12.0
hsa-miR-6511a-3p,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-6511a-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-6511b-3p,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
hsa-miR-6513-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-6513-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6514-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-6515-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0
hsa-miR-6515-5p,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hsa-miR-6516-3p,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
hsa-miR-6516-5p,0.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,2.0,2.0
hsa-miR-652-3p,23.0,92.0,29.0,13.0,27.0,75.0,11.0,66.0,144.0,25.0,72.0,96.0
hsa-miR-652-5p,0.0,4.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-6529-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
hsa-miR-653-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-654-3p,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0
hsa-miR-654-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-656-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-659-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
