miRNA,SRR25747421,SRR25747422,SRR25747423,SRR25747424,SRR25747425,SRR25747426,SRR25747427,SRR25747428,SRR25747429
hsa-let-7a-2-3p,7.36,0.0,0.0,0.44,0.0,0.24,0.19,0.16,0.12
hsa-let-7a-3p,37.06,6.26,41.33,13.32,5.46,3.49,8.25,6.25,11.78
hsa-let-7a-5p,7382.03,1500.65,2418.37,458.36,172.98,98.55,702.04,423.16,757.11
hsa-let-7b-3p,4.3,2.49,6.35,0.33,0.34,0.06,0.25,0.21,0.37
hsa-let-7b-5p,4948.05,884.52,1193.08,617.89,274.09,181.48,1097.86,733.05,1189.13
hsa-let-7c-3p,5.0,0.0,0.0,0.0,0.0,0.06,0.38,0.0,0.0
hsa-let-7c-5p,629.8,98.76,108.45,55.89,19.38,13.58,47.75,32.79,48.52
hsa-let-7d-3p,228.21,19.71,41.41,3.6,3.6,2.4,1.51,2.4,0.55
hsa-let-7d-5p,385.35,54.65,93.04,24.83,10.65,5.53,32.19,24.08,44.49
hsa-let-7e-3p,5.83,1.42,6.65,0.44,0.11,0.0,0.57,0.21,0.49
hsa-let-7e-5p,329.68,60.91,112.61,13.54,1.97,2.82,12.28,9.67,19.77
hsa-let-7f-1-3p,6.66,1.35,6.5,0.05,0.17,0.3,0.25,0.0,0.55
hsa-let-7f-2-3p,0.97,0.0,0.15,0.27,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1801.81,316.57,605.56,151.46,70.8,43.03,207.64,142.96,256.56
hsa-let-7g-3p,0.0,0.07,0.0,0.71,0.17,0.12,0.0,0.11,0.0
hsa-let-7g-5p,671.17,126.44,258.23,133.94,61.79,45.43,215.26,153.37,254.97
hsa-let-7i-3p,1.8,0.64,0.44,0.6,0.45,0.18,0.76,0.48,2.69
hsa-let-7i-5p,1065.54,161.59,360.76,302.64,132.26,100.05,1187.94,800.44,1391.25
hsa-miR-1-3p,14.16,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.06
hsa-miR-100-5p,2659.83,455.32,1979.75,538.64,194.27,120.24,962.35,489.11,835.41
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
hsa-miR-101-3p,1.25,0.28,0.15,0.05,0.11,0.06,0.0,0.11,0.24
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0
hsa-miR-10396b-5p,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.69,0.43,0.22,0.82,1.75,0.06,0.0,0.11,0.61
hsa-miR-103a-2-5p,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.14,2.21,0.88,2.89,0.73,0.36,1.07,1.17,0.49
hsa-miR-10401-3p,0.0,1.14,1.24,0.0,0.17,0.24,0.5,0.16,0.67
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11,0.0
hsa-miR-106a-5p,0.14,0.14,0.0,0.0,0.0,0.0,0.06,0.11,0.0
hsa-miR-106b-3p,0.42,0.64,0.15,0.11,0.11,0.18,0.0,0.32,0.0
hsa-miR-106b-5p,1.39,0.57,0.07,0.11,0.06,0.18,0.13,0.11,0.31
hsa-miR-107,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
hsa-miR-10a-3p,7.22,1.71,1.9,6.39,2.65,0.96,1.76,1.01,2.01
hsa-miR-10a-5p,895.08,154.62,335.06,10.37,6.2,3.12,19.15,8.49,13.61
hsa-miR-10b-3p,0.0,0.0,0.0,0.82,0.06,0.0,0.25,0.0,0.0
