miRNA,SRR25790678,SRR25790679,SRR25790680,SRR25790681,SRR25790683,SRR25790684,SRR25790685,SRR25790686,SRR25790687,SRR25790688,SRR25790689,SRR25790690
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,105.0,785.0,182.0,46.0,164.0,2875.0,1260.0,892.0,122.0,848.0,248.0,181.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,0.0,4.0,0.0,0.0
hsa-let-7b-5p,511.0,3469.0,603.0,161.0,477.0,10475.0,4016.0,4300.0,365.0,2696.0,1026.0,938.0
hsa-let-7c-5p,19.0,414.0,31.0,60.0,46.0,49.0,347.0,153.0,40.0,123.0,281.0,83.0
hsa-let-7d-3p,5.0,49.0,24.0,6.0,9.0,16.0,14.0,58.0,9.0,59.0,9.0,35.0
hsa-let-7d-5p,8.0,117.0,15.0,7.0,7.0,147.0,102.0,31.0,14.0,72.0,16.0,50.0
hsa-let-7e-5p,3.0,6.0,7.0,5.0,6.0,9.0,233.0,153.0,1.0,36.0,0.0,22.0
hsa-let-7f-5p,34.0,271.0,68.0,26.0,35.0,589.0,393.0,402.0,65.0,199.0,207.0,105.0
hsa-let-7g-5p,24.0,116.0,34.0,33.0,14.0,176.0,189.0,154.0,49.0,138.0,93.0,37.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,8.0,84.0,18.0,22.0,41.0,97.0,52.0,57.0,27.0,102.0,109.0,47.0
hsa-miR-1-3p,0.0,2.0,0.0,0.0,0.0,4.0,0.0,30.0,35.0,0.0,0.0,4.0
hsa-miR-100-5p,2.0,5.0,6.0,4.0,3.0,5.0,17.0,21.0,5.0,87.0,56.0,3.0
hsa-miR-101-3p,8.0,11.0,6.0,9.0,9.0,13.0,18.0,57.0,6.0,43.0,44.0,28.0
hsa-miR-103a-3p,1.0,20.0,1.0,1.0,1.0,15.0,12.0,6.0,8.0,1.0,1.0,5.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
hsa-miR-106b-3p,1.0,10.0,3.0,0.0,1.0,15.0,0.0,0.0,1.0,15.0,29.0,1.0
hsa-miR-106b-5p,0.0,3.0,9.0,4.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0
hsa-miR-10a-5p,9.0,13.0,22.0,4.0,39.0,6.0,183.0,50.0,26.0,65.0,77.0,14.0
