miRNA,SRR24875824,SRR24875825,SRR24875826,SRR24875827,SRR24875828,SRR24875829,SRR24875830,SRR24875831,SRR24875832
hsa-let-7a-5p,3798.64,2698.35,4247.29,3341.15,8361.62,3339.79,14985.51,19770.42,889.17
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0
hsa-let-7b-5p,19758.5,41823.03,20208.33,24788.6,67792.88,25015.9,49700.43,25196.83,23246.23
hsa-let-7c-5p,540.83,1761.36,226.77,927.09,782.79,949.57,790.99,859.87,111.6
hsa-let-7d-3p,182.77,237.48,179.78,88.45,251.09,89.33,39.84,58.61,161.68
hsa-let-7d-5p,0.17,364.66,0.0,95.75,0.16,102.67,268.86,251.69,0.18
hsa-let-7e-5p,483.5,386.19,500.47,717.56,2610.98,726.35,1014.43,1026.2,170.57
hsa-let-7f-5p,1162.53,1344.04,1194.51,1364.39,2142.09,1391.47,3973.78,6013.39,425.53
hsa-let-7g-5p,23.93,366.48,25.25,117.64,124.05,112.04,236.67,312.0,0.91
hsa-let-7i-5p,162.3,223.23,162.42,242.48,793.05,237.42,382.34,307.61,2.18
hsa-miR-1-3p,0.85,962.16,0.64,62.58,200.27,59.52,54.1,6.21,0.54
hsa-miR-100-5p,17.01,360.19,16.48,129.56,231.68,118.71,19.55,45.92,0.36
hsa-miR-101-3p,48.09,148.05,41.26,0.0,100.85,0.11,0.0,0.0,0.0
hsa-miR-10399-3p,0.06,125.03,0.0,0.0,0.0,0.0,0.15,15.27,0.0
hsa-miR-103a-3p,40.32,0.5,0.0,0.0,0.32,0.0,5.59,95.36,0.18
hsa-miR-10526-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,30.11,0.17,31.15,39.29,26.36,37.24,55.27,28.67,173.3
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.16,0.0,5.29,0.0,0.0
hsa-miR-10a-5p,555.46,2789.76,568.21,2136.05,4799.62,2180.25,776.44,1197.36,706.61
hsa-miR-10b-5p,1601.57,6722.68,1659.68,3621.3,8430.12,3607.34,1494.67,2558.3,377.62
hsa-miR-11400,17.3,4.8,17.88,96.71,0.0,95.68,1.03,64.6,4.36
hsa-miR-1180-3p,19.73,0.0,19.11,0.0,0.16,0.11,22.34,0.0,0.0
hsa-miR-122-5p,85.74,1756.39,1414.79,842.51,1221.84,1066.55,958.13,1197.53,213.04
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-1246,5.44,4.47,4.5,259.98,303.17,259.05,197.27,12.63,2.0
hsa-miR-125a-3p,0.0,0.0,0.0,0.0,111.11,0.0,0.0,9.78,0.0
hsa-miR-125a-5p,50.47,338.66,50.09,154.89,373.72,166.06,67.32,82.72,0.54
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-125b-5p,15.14,154.18,13.44,0.11,80.8,0.0,11.17,29.61,0.0
hsa-miR-126-3p,191.85,1914.38,201.99,521.45,1412.49,498.41,368.67,316.07,306.67
hsa-miR-126-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.47,5.05,0.0
hsa-miR-127-3p,18.32,1.16,18.88,91.56,1.26,84.81,34.54,11.86,0.18
hsa-miR-1273h-5p,0.91,0.0,1.23,0.0,0.47,0.11,0.29,14.01,0.0
hsa-miR-1275,17.13,0.0,18.82,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,307.76,651.65,321.92,674.63,301.44,656.72,218.29,217.36,224.65
hsa-miR-1284,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,0.06,0.0,0.0,0.0,0.0,0.0,22.05,0.0,0.0
hsa-miR-1285-5p,0.0,106.81,0.06,0.11,0.0,0.0,0.0,20.82,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-1290,0.0,0.33,0.0,0.11,0.0,0.11,0.0,0.05,0.0
hsa-miR-1291,0.0,0.66,0.0,0.21,0.0,0.32,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72,0.0
hsa-miR-1301-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,25.16,0.0
hsa-miR-1303,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,100.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,17.52,0.0,20.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,44.65,0.0,47.03,0.0,0.0,0.0
hsa-miR-1307-3p,81.43,827.85,82.0,38.43,115.37,41.87,189.48,22.36,147.53
hsa-miR-130a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-130b-3p,0.0,105.99,0.0,0.0,0.0,0.0,0.0,5.11,0.18
hsa-miR-130b-5p,82.0,579.12,79.19,108.73,112.21,105.58,119.07,22.52,173.66
hsa-miR-132-5p,0.0,0.0,0.0,44.98,0.0,35.95,8.67,0.0,0.0
hsa-miR-133a-3p,0.0,0.0,0.06,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-134-5p,20.64,19.38,22.74,0.0,118.05,0.11,1.18,35.7,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,0.18
hsa-miR-135a-3p,0.0,0.0,0.0,0.0,0.0,0.0,19.55,0.0,0.0
hsa-miR-139-3p,126.18,166.6,129.4,168.84,385.4,168.75,111.13,108.43,0.0
hsa-miR-139-5p,87.05,535.89,88.31,266.31,1660.43,265.51,437.32,470.53,2.18
hsa-miR-140-3p,120.79,165.27,125.83,667.33,613.92,640.47,808.34,414.28,1.09
hsa-miR-141-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-142-3p,13.16,0.33,11.46,0.0,0.16,0.22,1.03,15.82,96.9
hsa-miR-142-5p,28.01,0.0,33.26,54.85,13.57,58.66,48.07,10.49,0.0
hsa-miR-143-3p,90.96,1334.27,100.06,255.36,98.01,269.81,183.45,39.99,2.0
hsa-miR-143-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.36
hsa-miR-146a-5p,136.16,237.14,139.22,128.59,44.03,141.74,214.03,286.07,196.34
hsa-miR-146b-5p,59.32,300.07,66.45,130.2,293.7,128.4,158.17,210.44,0.91
hsa-miR-148a-3p,1641.38,3841.51,1722.39,3103.07,3686.2,3091.28,5935.46,3703.87,970.64
hsa-miR-148b-3p,0.0,136.95,0.0,33.7,0.16,37.13,9.41,0.0,0.0
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,0.0,0.0,17.35,0.0,0.0
hsa-miR-149-3p,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0
hsa-miR-150-3p,16.96,113.6,19.99,0.0,202.17,0.22,68.35,102.66,820.94
hsa-miR-150-5p,61.59,0.0,69.84,146.63,0.16,148.09,0.59,18.62,177.11
hsa-miR-151a-3p,13956.56,29340.33,14487.16,18957.93,44765.51,18834.73,37165.81,21295.77,14439.86
hsa-miR-151a-5p,0.0,0.0,0.0,0.0,116.63,0.0,33.81,2.75,0.0
hsa-miR-152-3p,40.32,0.0,41.03,0.11,6.94,0.22,60.42,56.63,0.36
hsa-miR-155-5p,0.0,0.0,0.0,55.07,0.0,60.7,6.47,33.51,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0
hsa-miR-16-2-3p,0.0,0.0,0.0,27.37,0.0,24.22,18.37,6.87,0.0
hsa-miR-16-5p,0.06,0.0,0.0,0.0,22.09,0.22,0.15,24.0,0.0
hsa-miR-181a-2-3p,53.87,212.97,55.46,133.21,0.16,148.41,37.63,23.89,0.18
hsa-miR-181a-5p,0.06,0.0,0.06,46.8,0.0,45.74,4.41,19.66,0.18
hsa-miR-181b-5p,0.0,0.17,0.0,0.0,0.16,0.0,0.0,10.27,0.0
hsa-miR-181d-3p,4.59,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,220.88,0.5,219.29,51.09,211.16,51.87,122.01,286.79,342.42
hsa-miR-1827,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.0,0.0
hsa-miR-183-5p,85.86,341.81,91.58,44.33,82.38,40.68,99.66,39.06,0.36
hsa-miR-184,0.0,113.11,0.0,168.09,5.21,183.28,20.43,24.28,0.36
hsa-miR-1843,0.06,0.0,0.0,19.43,0.0,17.76,0.0,0.0,0.0
hsa-miR-185-3p,0.0,3.48,0.0,50.88,0.0,50.48,23.23,0.0,0.0
hsa-miR-185-5p,17.13,0.0,19.52,0.0,0.16,0.0,24.55,38.95,0.0
hsa-miR-186-5p,0.0,0.0,0.0,10.09,0.0,11.95,0.0,8.73,84.2
hsa-miR-1908-5p,18.15,0.0,19.81,46.69,0.0,44.34,0.0,0.0,0.0
hsa-miR-191-5p,133.83,200.21,137.23,177.75,50.19,178.01,306.05,131.72,253.14
hsa-miR-192-5p,0.11,3.15,0.0,36.28,0.0,36.7,2.06,0.05,0.18
hsa-miR-193a-5p,2.61,0.0,2.1,45.51,180.23,50.8,0.0,0.16,0.0
hsa-miR-193b-5p,20.13,0.0,21.27,0.0,0.0,0.0,0.0,9.83,0.0
hsa-miR-194-5p,20.36,0.0,19.93,0.0,0.0,0.0,0.29,0.0,96.54
hsa-miR-195-3p,0.0,102.34,0.0,0.0,57.76,0.0,0.0,10.55,0.18
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0
hsa-miR-197-5p,0.0,0.0,0.0,52.06,0.0,49.94,0.0,0.0,0.0
hsa-miR-199a-3p,22.23,0.0,20.46,0.0,0.0,0.11,0.73,0.0,0.0
hsa-miR-199a-5p,0.0,0.0,0.0,0.0,0.0,0.11,37.78,15.6,0.0
hsa-miR-199b-3p,0.06,0.0,0.06,0.21,0.0,0.0,4.85,0.0,0.0
hsa-miR-200a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
hsa-miR-200b-3p,0.0,79.66,0.06,0.0,0.0,0.0,13.67,0.0,0.0
hsa-miR-200c-3p,18.94,0.0,16.01,0.0,0.0,0.0,0.29,0.0,0.18
hsa-miR-203a-3p,0.0,0.0,0.0,0.0,73.39,0.11,0.0,0.0,92.55
hsa-miR-206,0.34,321.93,0.0,0.43,1.26,1.18,43.81,0.0,1.81
hsa-miR-20a-5p,0.0,0.17,0.0,45.83,0.0,48.86,0.0,0.0,0.0
hsa-miR-21-5p,222.24,306.86,237.11,491.29,426.59,500.45,364.41,221.2,771.21
hsa-miR-2110,18.26,0.0,17.01,0.0,0.0,0.0,5.29,38.45,0.18
hsa-miR-214-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
hsa-miR-218-5p,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.0,0.18
hsa-miR-219a-1-3p,0.0,0.17,0.0,0.0,0.0,0.0,0.0,9.89,0.0
hsa-miR-22-3p,37.99,288.98,39.22,53.03,0.0,45.2,47.04,0.27,0.36
hsa-miR-22-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0
hsa-miR-221-3p,18.6,107.81,22.09,23.83,2.53,20.56,0.29,31.2,0.0
hsa-miR-221-5p,0.0,0.0,0.0,0.11,114.26,0.86,0.0,10.38,0.0
hsa-miR-222-3p,919.59,1470.73,944.24,667.22,3247.15,653.06,1810.42,4078.49,842.89
hsa-miR-223-5p,62.32,253.04,64.17,41.75,1.74,41.44,64.24,77.73,180.55
hsa-miR-224-5p,42.53,379.07,42.96,46.26,63.92,45.2,34.54,22.36,0.18
hsa-miR-23a-3p,19.39,0.17,19.93,91.88,0.16,88.25,95.55,21.97,0.18
hsa-miR-23b-3p,0.0,0.0,0.0,48.52,0.16,44.66,3.67,19.34,0.0
hsa-miR-23b-5p,40.94,0.0,41.73,0.21,110.32,0.0,0.0,11.48,0.0
