miRNA,SRR15602382,SRR15602383,SRR15602384
hsa-let-7a-5p,1770.92,2625.28,2595.82
hsa-let-7b-3p,27.97,0.0,0.0
hsa-let-7b-5p,14578.91,18282.3,21460.97
hsa-let-7c-5p,252.11,57.13,149.9
hsa-let-7d-5p,1.09,0.0,0.31
hsa-let-7e-5p,26.16,4.13,4.04
hsa-let-7f-1-3p,0.0,0.0,16.48
hsa-let-7f-5p,231.4,138.01,165.76
hsa-let-7g-5p,21.07,1.03,38.87
hsa-let-7i-5p,18.16,41.64,46.03
hsa-miR-1-3p,26.52,0.0,0.0
hsa-miR-101-3p,388.69,329.71,878.85
hsa-miR-10395-3p,0.0,24.44,0.0
hsa-miR-103a-3p,2506.53,2538.2,5316.03
hsa-miR-10526-3p,0.0,0.0,21.77
hsa-miR-106b-3p,0.0,0.0,0.31
hsa-miR-106b-5p,0.36,0.0,0.0
hsa-miR-107,57.76,0.34,68.42
hsa-miR-10a-5p,45.04,0.0,69.35
hsa-miR-1180-3p,0.0,0.0,0.31
hsa-miR-12136,1.82,0.69,0.93
hsa-miR-122-5p,29.79,0.34,76.81
hsa-miR-1226-3p,0.0,0.34,0.0
hsa-miR-1244,0.0,19.27,0.0
hsa-miR-1246,1.09,35.1,2.49
hsa-miR-125a-5p,31.6,15.49,118.18
hsa-miR-125b-5p,43.23,45.09,156.74
hsa-miR-1262,0.0,0.0,0.31
hsa-miR-127-3p,48.68,97.05,218.94
hsa-miR-128-1-5p,0.0,0.0,0.31
hsa-miR-1285-5p,31.97,0.0,0.0
hsa-miR-1289,0.0,0.69,0.0
hsa-miR-1293,0.36,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.31
hsa-miR-1306-5p,21.8,0.34,0.93
hsa-miR-1307-3p,763.95,591.62,870.14
hsa-miR-130b-5p,0.0,0.0,0.31
hsa-miR-132-3p,0.0,0.0,38.56
hsa-miR-134-5p,0.0,0.0,24.57
hsa-miR-139-3p,0.0,0.0,59.71
hsa-miR-140-3p,1.09,0.69,2.18
hsa-miR-142-3p,9201.13,10228.88,6377.12
hsa-miR-142-5p,131.87,0.0,196.54
hsa-miR-143-3p,0.0,0.69,0.31
hsa-miR-144-5p,51.22,0.69,118.8
hsa-miR-145-5p,25.79,0.0,0.0
hsa-miR-148a-3p,0.73,0.34,0.62
hsa-miR-148b-3p,0.0,0.34,0.62
hsa-miR-151a-3p,2.91,3.44,45.09
hsa-miR-152-3p,151.12,153.84,270.56
hsa-miR-15a-3p,0.0,0.0,0.31
hsa-miR-15a-5p,29.06,33.04,0.0
hsa-miR-15b-3p,21.8,0.0,0.0
hsa-miR-16-5p,803.9,611.23,1463.82
hsa-miR-17-5p,0.73,0.69,1.24
hsa-miR-181a-5p,0.36,0.0,0.0
hsa-miR-181b-5p,95.18,30.97,113.2
hsa-miR-182-5p,731.98,986.72,1154.7
hsa-miR-183-5p,0.73,0.34,0.0
hsa-miR-1843,24.34,0.0,0.0
hsa-miR-185-5p,0.73,1.03,1.55
hsa-miR-186-3p,20.71,0.0,0.0
hsa-miR-18a-5p,0.73,0.34,0.31
hsa-miR-18b-5p,0.0,0.0,1.24
hsa-miR-191-5p,33.78,94.99,42.92
hsa-miR-193a-5p,0.73,1.03,2.18
hsa-miR-193b-5p,2.18,3.44,2.49
hsa-miR-194-5p,65.75,0.0,125.64
hsa-miR-195-5p,0.0,72.27,0.0
hsa-miR-196a-5p,3342.04,2204.02,4015.48
hsa-miR-196b-5p,234.31,365.5,354.53
hsa-miR-199a-3p,43.23,6.19,0.93
hsa-miR-199b-3p,0.36,37.51,6.84
hsa-miR-19b-3p,0.36,0.0,0.31
hsa-miR-200c-3p,228.13,228.87,222.05
hsa-miR-206,0.0,27.19,67.8
hsa-miR-20a-5p,0.36,0.69,0.31
hsa-miR-21-3p,0.0,0.0,1.55
hsa-miR-21-5p,13.8,41.99,89.88
hsa-miR-215-5p,21.43,0.0,0.0
hsa-miR-218-5p,20.34,0.0,0.0
hsa-miR-221-3p,1.09,0.0,0.62
hsa-miR-222-3p,21.07,32.01,0.31
hsa-miR-223-3p,120.6,201.34,123.46
hsa-miR-223-5p,0.0,27.53,40.12
hsa-miR-224-5p,4.72,2.41,13.37
hsa-miR-23a-3p,1441.07,832.88,1853.49
hsa-miR-24-3p,29.06,0.0,2.49
hsa-miR-25-3p,4.36,4.47,15.55
hsa-miR-25-5p,0.0,29.6,0.0
hsa-miR-26a-5p,0.0,0.0,2.8
hsa-miR-26b-5p,0.36,0.0,22.08
hsa-miR-27b-3p,0.0,0.0,0.31
hsa-miR-27b-5p,0.0,35.45,0.0
hsa-miR-28-3p,232.85,139.04,403.66
hsa-miR-29b-1-5p,0.36,0.0,0.31
hsa-miR-29c-3p,0.36,0.0,0.0
hsa-miR-3064-5p,0.0,0.0,37.32
hsa-miR-30a-5p,39.6,33.04,32.03
hsa-miR-30d-5p,9.81,0.34,0.0
hsa-miR-30e-5p,53.04,27.19,77.44
hsa-miR-31-5p,0.0,0.0,0.31
hsa-miR-3182,202.34,128.37,31.41
hsa-miR-3192-5p,0.0,27.53,0.0
hsa-miR-320a-3p,5353.8,5124.59,5824.49
hsa-miR-320b,132.23,127.68,1.55
hsa-miR-320c,79.19,69.52,1.87
hsa-miR-320d,35.24,6.54,47.27
hsa-miR-320e,0.0,0.0,0.31
hsa-miR-324-3p,18.53,30.97,76.19
hsa-miR-324-5p,27.97,30.29,1.24
hsa-miR-335-5p,0.0,0.0,0.31
hsa-miR-342-3p,0.0,0.34,0.0
hsa-miR-342-5p,0.0,0.69,0.0
hsa-miR-34a-5p,21.8,0.34,0.0
hsa-miR-3665,1.09,0.0,0.0
hsa-miR-378c,0.0,0.0,0.31
hsa-miR-378d,30.51,0.0,0.0
hsa-miR-379-5p,0.36,0.0,0.0
hsa-miR-3916,1.45,0.34,0.93
hsa-miR-3940-5p,0.0,66.77,0.0
hsa-miR-3960,0.73,1.38,0.31
hsa-miR-412-5p,0.36,0.0,0.0
hsa-miR-423-5p,0.36,1.38,0.0
hsa-miR-424-5p,0.36,0.34,32.34
hsa-miR-425-5p,0.73,0.34,0.62
hsa-miR-432-5p,799.91,1643.38,1343.78
hsa-miR-4448,16.71,0.0,0.0
hsa-miR-4516,0.0,0.34,0.31
hsa-miR-451a,116.61,0.0,55.36
hsa-miR-452-3p,0.73,0.0,0.31
hsa-miR-4652-5p,33.42,30.97,0.0
hsa-miR-4660,0.0,0.0,40.74
hsa-miR-4707-5p,0.0,0.0,33.59
hsa-miR-4716-3p,32.69,0.0,0.93
hsa-miR-4720-5p,0.0,0.34,0.0
hsa-miR-483-5p,0.0,0.0,0.31
hsa-miR-486-5p,0.36,0.34,46.65
hsa-miR-491-5p,0.0,0.0,0.62
hsa-miR-499a-5p,22.52,0.0,0.0
hsa-miR-5187-5p,30.15,21.34,10.57
hsa-miR-542-3p,25.79,0.34,0.0
hsa-miR-5698,22.16,0.0,0.0
hsa-miR-574-5p,0.36,0.0,0.0
hsa-miR-576-5p,0.0,0.0,0.31
hsa-miR-582-3p,22.89,0.69,0.0
hsa-miR-582-5p,22.16,0.0,0.0
hsa-miR-584-5p,0.0,0.0,43.54
hsa-miR-6072,5.09,0.0,0.0
hsa-miR-628-3p,0.0,0.0,0.31
hsa-miR-660-5p,27.24,0.0,0.0
hsa-miR-671-5p,0.0,0.0,0.62
hsa-miR-6724-5p,19.98,0.0,0.0
hsa-miR-6745,0.36,0.0,0.0
hsa-miR-6751-5p,22.16,0.0,0.0
hsa-miR-6753-3p,0.0,0.69,0.0
hsa-miR-6810-5p,25.07,0.0,0.0
hsa-miR-6851-5p,0.0,20.31,0.0
hsa-miR-6859-3p,15.98,0.0,0.0
hsa-miR-7-5p,0.36,0.0,0.0
hsa-miR-7108-5p,0.0,0.34,0.0
hsa-miR-7110-3p,47.59,0.0,0.62
hsa-miR-744-5p,0.36,38.2,58.78
hsa-miR-760,35.24,0.0,0.62
hsa-miR-769-3p,0.0,0.0,28.92
hsa-miR-7706,0.36,0.0,0.31
hsa-miR-7851-3p,0.0,41.3,0.0
hsa-miR-8485,0.36,2.06,0.0
hsa-miR-9-3p,0.0,0.0,80.55
hsa-miR-92a-3p,1.82,1.03,1.55
hsa-miR-93-3p,0.0,0.0,0.31
hsa-miR-93-5p,7.63,8.26,22.08
hsa-miR-98-5p,0.0,2.41,1.87
hsa-mir-1231-5p,0.36,0.0,0.0
hsa-mir-1273c-5p,0.0,28.57,0.0
hsa-mir-3929-3p,0.0,0.0,0.31
hsa-mir-4460-5p,20.71,0.0,0.31
hsa-mir-451a-5p,28.7,0.0,0.0
hsa-mir-587-5p,29.42,0.0,0.0
hsa-mir-6165-5p,0.0,41.3,0.0
hsa-mir-9902-2-5p,0.36,0.0,0.0
